prompt_id	physical_start	physical_end	authority_page_count	article_start	article_end	printed_start	printed_end	cumulative_source_on_complete	cumulative_french_on_complete	cumulative_apparatus_on_complete	cumulative_final_on_complete	mode
P01	1	6	6	0	5	0	107	6	6	6	6	END_TO_END_PAGE_UNIT
P02	7	12	6	6	11	108	113	12	12	12	12	END_TO_END_PAGE_UNIT
P03	13	18	6	12	17	114	119	18	18	18	18	END_TO_END_PAGE_UNIT
P04	19	24	6	18	23	120	125	24	24	24	24	END_TO_END_PAGE_UNIT
P05	25	30	6	24	29	126	131	30	30	30	30	END_TO_END_PAGE_UNIT
P06	31	36	6	30	35	132	137	36	36	36	36	END_TO_END_PAGE_UNIT
P07	37	42	6	36	41	138	143	42	42	42	42	END_TO_END_PAGE_UNIT
P08	43	48	6	42	47	144	149	48	48	48	48	END_TO_END_PAGE_UNIT
P09	49	54	6	48	53	150	155	54	54	54	54	END_TO_END_PAGE_UNIT
P10	55	60	6	54	59	156	161	60	60	60	60	END_TO_END_PAGE_UNIT_FINAL_AUDIT
