"key","value"
"parent_frontier","5838ea80af6b99128ac8c2dd39da686d27eb0478"
"routed_branch_frontier","49d0983c2d071a6885d18d969bc85f26f14033e8"
"prior_frontier","61f213fafabc80e526dcb5a169b9a5e47732e4d8"
"intermediate_frontier","a942e99d597d24bdc6fb0822cae5f7716a0f9004"
"current_parent_frontier","5838ea80af6b99128ac8c2dd39da686d27eb0478"
"olp_source_use_fable_49d_packet","C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\OLP_49D0983C_SOURCE_USE_FABLE_A942_ROUTE_20260707"
"olp_interlinear_terminology_49d_packet","C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\OLP_49D0983C_INTERLINEAR_TERMINOLOGY_A942_ROUTE_20260707"
"olp_review_boundary_49d_packet","C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\OLP_49D0983C_REVIEW_BOUNDARY_A942_ROUTE_20260707"
"source_use_transfer_note_sha256","4D40350BB81DB7FCBEC7486A0B4E0FCE666F68BA0222E2EE37C557EBC485F189"
"interlinear_transfer_note_sha256","FB0FE90F381664975CF2F66EFDF6B524D99DD3F1FAEE6BBD6FC5901C28AE72BB"
"review_boundary_transfer_note_sha256","12055BB14853829BBAB08E63896FDE469488BF99F3C32703AFA232C3076877E7"
"handling","B3-safe source-use/provenance/gap/Fable, review-only, and generated-draft/non-canonical route package set; no review/approval/license/gate/source-certification/final/translation-completion claim"
