file,pages,bytes,sha256,actionable_pdf_hits_total,actionable_pdf_hits
10-11 English Translation - al-Kashi - Miftah al-Hisab.pdf,30,209117,05196c4ccb4c153a52d4b1009ed09cc9de3c838c85c2fdf264e647a70764dfe0,0,"{""replacement_char"": 0, ""white_square"": 0, ""black_square"": 0, ""title_key_leak"": 0, ""tcb_internal"": 0, ""sectioncolor"": 0, ""commentarycolor"": 0, ""local_mnt_path"": 0, ""local_windows_path"": 0, ""chatgpt"": 0, ""claude"": 0, ""transcription system_agent"": 0, ""html_404"": 0, ""nginx"": 0, ""overfull_text"": 0}"
10-12 English Translation - al-Khwarizmi - Algebra.pdf,34,177245,648092210eb051c20d9e866c3125c6e4fcbe72a1931106d3874187320d0a6f45,0,"{""replacement_char"": 0, ""white_square"": 0, ""black_square"": 0, ""title_key_leak"": 0, ""tcb_internal"": 0, ""sectioncolor"": 0, ""commentarycolor"": 0, ""local_mnt_path"": 0, ""local_windows_path"": 0, ""chatgpt"": 0, ""claude"": 0, ""transcription system_agent"": 0, ""html_404"": 0, ""nginx"": 0, ""overfull_text"": 0}"
10-14 English Translation - Robert of Chester and Karpinski.pdf,28,169546,82acda8f09c46d06f79f964eb98f4613ca8f6f4182eb7d39296c2319da1946de,0,"{""replacement_char"": 0, ""white_square"": 0, ""black_square"": 0, ""title_key_leak"": 0, ""tcb_internal"": 0, ""sectioncolor"": 0, ""commentarycolor"": 0, ""local_mnt_path"": 0, ""local_windows_path"": 0, ""chatgpt"": 0, ""claude"": 0, ""transcription system_agent"": 0, ""html_404"": 0, ""nginx"": 0, ""overfull_text"": 0}"
10-15 English Translation - Omar Khayyam - Treatise on Algebra.pdf,15,125405,28df2cbc08fde1734eb7d1caccb5a9f7766aa8e1f7bb334394bf8976c7df8990,0,"{""replacement_char"": 0, ""white_square"": 0, ""black_square"": 0, ""title_key_leak"": 0, ""tcb_internal"": 0, ""sectioncolor"": 0, ""commentarycolor"": 0, ""local_mnt_path"": 0, ""local_windows_path"": 0, ""chatgpt"": 0, ""claude"": 0, ""transcription system_agent"": 0, ""html_404"": 0, ""nginx"": 0, ""overfull_text"": 0}"
10-16 English Translation - Rosen - Algebra of Mohammed Ben Musa.pdf,42,305968,808150723a7d58fcb2d9e0941b104909d91f7b4b9a3d15244b4d810015595092,0,"{""replacement_char"": 0, ""white_square"": 0, ""black_square"": 0, ""title_key_leak"": 0, ""tcb_internal"": 0, ""sectioncolor"": 0, ""commentarycolor"": 0, ""local_mnt_path"": 0, ""local_windows_path"": 0, ""chatgpt"": 0, ""claude"": 0, ""transcription system_agent"": 0, ""html_404"": 0, ""nginx"": 0, ""overfull_text"": 0}"
30-04 Arabic Translation - al-Kashi - Miftah al-Hisab.pdf,29,178540,ad478a6d50dd9c8aa16a0d8e78757504cd1bf2f073f46d358305ee7ef6e6f4de,0,"{""replacement_char"": 0, ""white_square"": 0, ""black_square"": 0, ""title_key_leak"": 0, ""tcb_internal"": 0, ""sectioncolor"": 0, ""commentarycolor"": 0, ""local_mnt_path"": 0, ""local_windows_path"": 0, ""chatgpt"": 0, ""claude"": 0, ""transcription system_agent"": 0, ""html_404"": 0, ""nginx"": 0, ""overfull_text"": 0}"
60-01 Islamic Original - al-Kashi - Miftah al-Hisab.pdf,27,164979,07b472176eb323b8933c84f591d05d33e542fafe8cf7faba1972f308d67ff883,0,"{""replacement_char"": 0, ""white_square"": 0, ""black_square"": 0, ""title_key_leak"": 0, ""tcb_internal"": 0, ""sectioncolor"": 0, ""commentarycolor"": 0, ""local_mnt_path"": 0, ""local_windows_path"": 0, ""chatgpt"": 0, ""claude"": 0, ""transcription system_agent"": 0, ""html_404"": 0, ""nginx"": 0, ""overfull_text"": 0}"
60-02 Islamic Original - al-Khwarizmi - Algebra.pdf,33,174533,9f8a7fa3696da64fbbbca97ac9f1eb4f8a931ec192fdaa2c41fa6efa5befe19d,0,"{""replacement_char"": 0, ""white_square"": 0, ""black_square"": 0, ""title_key_leak"": 0, ""tcb_internal"": 0, ""sectioncolor"": 0, ""commentarycolor"": 0, ""local_mnt_path"": 0, ""local_windows_path"": 0, ""chatgpt"": 0, ""claude"": 0, ""transcription system_agent"": 0, ""html_404"": 0, ""nginx"": 0, ""overfull_text"": 0}"
60-04 Islamic Original - Omar Khayyam - Treatise on Algebra.pdf,15,125405,28df2cbc08fde1734eb7d1caccb5a9f7766aa8e1f7bb334394bf8976c7df8990,0,"{""replacement_char"": 0, ""white_square"": 0, ""black_square"": 0, ""title_key_leak"": 0, ""tcb_internal"": 0, ""sectioncolor"": 0, ""commentarycolor"": 0, ""local_mnt_path"": 0, ""local_windows_path"": 0, ""chatgpt"": 0, ""claude"": 0, ""transcription system_agent"": 0, ""html_404"": 0, ""nginx"": 0, ""overfull_text"": 0}"
70-05 Reference Text - Smith-Karpinski - Numerals.pdf,23,136739,db4a134cbca2618cb0483bfe45014562b41c5ba2798d5c19cda4a35a5d766521,0,"{""replacement_char"": 0, ""white_square"": 0, ""black_square"": 0, ""title_key_leak"": 0, ""tcb_internal"": 0, ""sectioncolor"": 0, ""commentarycolor"": 0, ""local_mnt_path"": 0, ""local_windows_path"": 0, ""chatgpt"": 0, ""claude"": 0, ""transcription system_agent"": 0, ""html_404"": 0, ""nginx"": 0, ""overfull_text"": 0}"
