surface,path,relative_path,role,disposition,bytes,sha256,git_blob_sha1,origin
source,sources/noether/zh-r3/auth.json,auth.json,sealed build and provenance evidence,exact sealed checkpoint,904,7650B48129E5605D5F9B405F395DF549CF90C253919E821C62DFECAD8D1AEE98,9d9f98f246414e320c5b8eee1322da2f291f7f77,producer:auth.json
source,sources/noether/zh-r3/build.json,build.json,sealed build and provenance evidence,exact sealed checkpoint,1573,C1E1A218B23B868FD6F3329D1A23680E8994F8FCA1DD20CEA0BC3E743C3498D8,22d95add33795859b17245c369218adfdf630719,producer:build.json
source,sources/noether/zh-r3/extract.py,extract.py,sealed build and provenance evidence,exact sealed checkpoint,2317,9484F132B7614FFD46170B6F1DE5FA3CD04A652F2A566E0208757DE143132BC4,b180f9c1bf22a3135bef812df2edc74c4daa0100,producer:extract.py
source,sources/noether/zh-r3/fonts/NotoSansCJKsc-Bold.otf,fonts/NotoSansCJKsc-Bold.otf,sealed font dependency,exact sealed checkpoint,17002248,B5F0D1A190A7F9B43C310A8850630AF12553DF32C4C050543F9059732D9B4C0A,ff4c0450e8a5bf0290fbb6013a72dc61a10e8e56,producer:fonts/NotoSansCJKsc-Bold.otf
source,sources/noether/zh-r3/fonts/NotoSansCJKsc-Regular.otf,fonts/NotoSansCJKsc-Regular.otf,sealed font dependency,exact sealed checkpoint,16437364,2C76254F6FC379FDDFCE0A7E84FB5385BB135D3E399294F6EEB6680D0365B74B,dc15562470b4f842321894787a0d066879ccff8b,producer:fonts/NotoSansCJKsc-Regular.otf
source,sources/noether/zh-r3/fonts/NotoSansMono-Bold.ttf,fonts/NotoSansMono-Bold.ttf,sealed font dependency,exact sealed checkpoint,525664,BEB857BD799A114DE7D5D90CC75CC69F4B6EE8D401F4AB20697E6F9719A66DFC,612de0288a5f1272977d6aa55031ebeaa00bc5ba,producer:fonts/NotoSansMono-Bold.ttf
source,sources/noether/zh-r3/fonts/NotoSansMono-Regular.ttf,fonts/NotoSansMono-Regular.ttf,sealed font dependency,exact sealed checkpoint,512836,D9E2B23D19F8230BE7146F409A52B1D23117E635E28F2E2892CF91B7382F325B,541efd808dfb0b88972ab8390cb1328e4bbd9a06,producer:fonts/NotoSansMono-Regular.ttf
source,sources/noether/zh-r3/fonts/NotoSerifCJKsc-Bold.otf,fonts/NotoSerifCJKsc-Bold.otf,sealed font dependency,exact sealed checkpoint,25521460,8AF07D4B6C2E82BCC72A30E066EAF295F11B9424F4AAD2EAA9FE0E9C3B38FC73,f1bd9c86c5765f3358815fb84b19003fd5711747,producer:fonts/NotoSerifCJKsc-Bold.otf
source,sources/noether/zh-r3/fonts/NotoSerifCJKsc-Regular.otf,fonts/NotoSerifCJKsc-Regular.otf,sealed font dependency,exact sealed checkpoint,24543080,2A2EAE2628DF83556C54018C41E20FA532C1B862C5256AE8B3F23FEB918D12CA,cba8a4783cc38574ac7cda52cae7d9b4241c07a5,producer:fonts/NotoSerifCJKsc-Regular.otf
source,sources/noether/zh-r3/hans.json,hans.json,sealed build and provenance evidence,exact sealed checkpoint,455,84A00FED2E88AA60293A84DC5D917A3BAF1C7149A4A4FFEB38B0D83F8B0603C8,4410f77afe73f5f458b53c5a57017ed929b272d4,producer:hans.json
source,sources/noether/zh-r3/hans.py,hans.py,sealed build and provenance evidence,exact sealed checkpoint,2068,EA0EA221AFD3230640D9390516B2C185FFEDD737988AC6B7EF59D261A8E1D63F,25f82b6db2bbd964fc4e8ee03948423d406271b9,producer:hans.py
source,sources/noether/zh-r3/intake.json,intake.json,sealed build and provenance evidence,exact sealed checkpoint,3059,3951E442ECC7A453AFE91E0FA18545480942E3F982F6E25467CF99D8836FB829,0e3e5d4b65b3b28c551349926593d61d6ce7b966,producer:intake.json
source,sources/noether/zh-r3/manifest.csv,manifest.csv,sealed integrity control,exact sealed checkpoint,38010,7C11EB2F3672A67F303DB280F362238509BA5DFC7934795E9E71BF714932892A,72bf3f94b8a7200d5c4dd0fe8ca793822731b24c,producer:manifest.csv
source,sources/noether/zh-r3/pass1.log,pass1.log,sealed build and provenance evidence,exact sealed checkpoint,59928,F293E3AD43520DB49F0E55DDD5ACA404E63D5B450F78951180951D0C29A7715E,1b5b1f0fdce07fa2b5cc5416ff0791337f7c4e04,producer:pass1.log
source,sources/noether/zh-r3/pass1.txt,pass1.txt,sealed build and provenance evidence,exact sealed checkpoint,16948,D4A306CFBD808A33915CC574E80A64B358AE6C4C13AF1DC4AB2DF1AF5452378A,942341ea3851873e412904884ab567ef28f240d2,producer:pass1.txt
source,sources/noether/zh-r3/pass2.log,pass2.log,sealed build and provenance evidence,exact sealed checkpoint,53046,A175D7FF68FC7A0CD41F9F93725495D6ECF506F469865C49328C06075865792C,e9bdcd2abdbcb0d929ce289827c7897a3f3ca9e9,producer:pass2.log
source,sources/noether/zh-r3/pass2.txt,pass2.txt,sealed build and provenance evidence,exact sealed checkpoint,9795,5B0D616DC3A52DF93FA46BC09344105AFEEBB7E51E292ED3BC6F6976BA8BDBFA,d9bed78f15c7ea46388f71b42f031d1057b6878c,producer:pass2.txt
source,sources/noether/zh-r3/qa.json,qa.json,sealed build and provenance evidence,exact sealed checkpoint,12078,B3CEBF3B86EDBCDE7A204B26E48EDA90A013AA3793DE2A05E068A43F8E7515B4,bee855eb135d056ce1432d1095358e1192dd2b80,producer:qa.json
source,sources/noether/zh-r3/qa.py,qa.py,sealed build and provenance evidence,exact sealed checkpoint,5535,941D1F6CC88B77641A0641D30DAA299A8953AB2BFB82BCCFD971AB2721CF12E8,714fb3b552d067f74748fe958a6132cfbcd89226,producer:qa.py
