register_id,lexeme_id,english_concept,mathematical_domain,use_class,review_priority,supported_branch_count,effective_branch_number_D,marginal_intelligibility_proxy,jp_generated_draft_form,zh_hans_generated_draft_form,ko_source_attested_form,register_rule,formula_neighboring_rule,adverse_or_do_not_use_flags,blocker_or_gap_note,source_basis_rollup,status
CJK-PRE::module,cjklex-0001,module,module_theory,register_scaffold_candidate_tri_branch,high,3,3.0,1.0,加群,模,가군,May be used as a generated-draft interlinear comparison key in review packets; do not treat as accepted terminology.,Use scaffold only beside already anchored formulas; preserve TeX macros/variables; keep CJK/Hangul outside math mode; verify font coverage before PDF use.,DNU-CJK-GAP-0020: source_canon_insufficient,"Need an opened Korean row-level corpus queue plus Korean target-language mathematical witnesses with URL, access/license signal, hash, and local path. Current Korean material is source-discovery/crosswalk or weak-lead evidence only, not scoped draft translation support.",ja-src-001 Matsumura commutative-ring TeX source | ja-pdf-002 Ando algebra lecture-note PDF set | ja-pdf-003 Nagai invariant-theory PDF witness | ja-pdf-004 Ryoya Ando commutative-algebra PDF witness | CJK-native source-support/codepoint ledgers | zh-Hans-src-001 AlJabr-1 TeX source repository | zh-Hans-src-002 AlJabr-2 TeX source repository | CJK-native source-support/codepoint ledgers | ko-wiki-abstract-algebra 추상대수학 rev 41744985 count 4; native-source-bodies/ko/wiki-bodies/ko-wiki-abstract-algebra_추상대수학_wikitext_20260705.txt | ko-wiki-ring-theory 환론 rev 39056267 count 1; native-source-bodies/ko/wiki-bodies/ko-wiki-ring-theory_환론_wikitext_20260705.txt | ko-wiki-module 가군 rev 41652760 count 82; native-source-bodies/ko/wiki-bodies/ko-wiki-module_가군_wikitext_20260705.txt | ko-wiki-field 체 (수학) rev 41649269 count 3; native-source-bodies/ko/wiki-bodies/ko-wiki-field_체_수학_wikitext_20260705.txt | ko-wiki-ideal 아이디얼 rev 39160743 count 6; native-source-bodies/ko/wiki-bodies/ko-wiki-ideal_아이디얼_wikitext_20260705.txt | ko-wiki-commutative-algebra 가환대수학 rev 41811027 count 5; native-source-bodies/ko/wiki-bodies/ko-wiki-commutative-algebra_가환대수학_wikitext_20260705.txt | ko-wiki-linear-algebra 선형대수학 rev 41811221 count 16; native-source-bodies/ko/wiki-bodies/ko-wiki-linear-algebra_선형대수학_wikitext_20260705.txt | ko-wiki-backfill-irreducible-representation 기약표현 rev 41663389 count 2; native-source-bodies/ko/wiki-bodies/backfill-20260705/ko-wiki-backfill-irreducible-representation_기약표현_raw_wikitext_20260705.txt | ko-wiki-backfill-semisimple-ring 반단순환 rev 39375212 count 15; native-source-bodies/ko/wiki-bodies/backfill-20260705/ko-wiki-backfill-semisimple-ring_반단순환_raw_wikitext_20260705.txt | ko-wiki-backfill-hopf-algebra 호프 대수 rev 41657185 count 1; native-source-bodies/ko/wiki-bodies/backfill-20260705/ko-wiki-backfill-hopf-algebra_호프_대수_raw_wikitext_20260705.txt | ko-wiki-backfill-decomposition-algebra 분해 (대수학) rev 39792326 count 51; native-source-bodies/ko/wiki-bodies/backfill-20260705/ko-wiki-backfill-decomposition-algebra_분해_대수학_raw_wikitext_20260705.txt | ko-wiki-backfill-noetherian-ring 뇌터 환 rev 39051386 count 44; native-source-bodies/ko/wiki-bodies/backfill-20260705/ko-wiki-backfill-noetherian-ring_뇌터_환_raw_wikitext_20260705.txt | ko-wiki-backfill-localization 국소화 (환론) rev 41904060 count 8; native-source-bodies/ko/wiki-bodies/backfill-20260705/ko-wiki-backfill-localization_국소화_환론_raw_wikitext_20260705.txt | ko-wiki-backfill-weierstrass-preparation 바이어스트라스 준비 정리 rev 39731383 count 1; native-source-bodies/ko/wiki-bodies/backfill-20260705/ko-wiki-backfill-weierstrass-preparation_바이어스트라스_준비_정리_raw_wikitext_20260705.txt | ko-wiki-backfill-galois-cohomology 갈루아 코호몰로지 rev 39593007 count 2; native-source-bodies/ko/wiki-bodies/backfill-20260705/ko-wiki-backfill-galois-cohomology_갈루아_코호몰로지_raw_wikitext_20260705.txt | ko-wiki-backfill-homomorphism-theorem 준동형 정리 rev 39209009 count 5; native-source-bodies/ko/wiki-bodies/backfill-20260705/ko-wiki-backfill-homomorphism-theorem_준동형_정리_raw_wikitext_20260705.txt | ko-wiki-backfill-flat-module 평탄 가군 rev 39344899 count 65; native-source-bodies/ko/wiki-bodies/backfill-20260705/ko-wiki-backfill-flat-module_평탄_가군_raw_wikitext_20260705.txt | ko-wiki-backfill-quiver-representation 화살집 표현 rev 39479528 count 15; native-source-bodies/ko/wiki-bodies/backfill-20260705/ko-wiki-backfill-quiver-representation_화살집_표현_raw_wikitext_20260705.txt | ko-wiki-backfill-prime-ideal 소 아이디얼 rev 41653113 count 3; native-source-bodies/ko/wiki-bodies/backfill-20260705/ko-wiki-backfill-prime-ideal_소_아이디얼_raw_wikitext_20260705.txt | ko-wiki-backfill-primary-ideal 으뜸 아이디얼 rev 39160791 count 39; native-source-bodies/ko/wiki-bodies/backfill-20260705/ko-wiki-backfill-primary-ideal_으뜸_아이디얼_raw_wikitext_20260705.txt,generated-draft/non-canonical/controlled pre-translation register; not native review/not accepted terminology/not gate promotion/not source certification/not completion
CJK-PRE::simple_module,cjklex-0002,simple module,module_theory,register_scaffold_candidate_gap_backfill_required,high,2,2.0,0.666667,単純加群,,단순 가군,May be used only as a gap-backfill scaffold; missing branch evidence must be resolved before row-level translation use.,Use scaffold only beside already anchored formulas; preserve TeX macros/variables; keep CJK/Hangul outside math mode; verify font coverage before PDF use.,DNU-CJK-GAP-0023: source_canon_insufficient,"Need an opened Korean row-level corpus queue plus Korean target-language mathematical witnesses with URL, access/license signal, hash, and local path. Current Korean material is source-discovery/crosswalk or weak-lead evidence only, not scoped draft translation support.",ja-src-001 Matsumura commutative-ring TeX source | ja-pdf-002 Ando algebra lecture-note PDF set | ja-pdf-003 Nagai invariant-theory PDF witness | ja-pdf-004 Ryoya Ando commutative-algebra PDF witness | CJK-native source-support/codepoint ledgers | ko-wiki-module 가군 rev 41652760 count 1; native-source-bodies/ko/wiki-bodies/ko-wiki-module_가군_wikitext_20260705.txt | ko-wiki-backfill-irreducible-representation 기약표현 rev 41663389 count 2; native-source-bodies/ko/wiki-bodies/backfill-20260705/ko-wiki-backfill-irreducible-representation_기약표현_raw_wikitext_20260705.txt | ko-wiki-backfill-semisimple-ring 반단순환 rev 39375212 count 8; native-source-bodies/ko/wiki-bodies/backfill-20260705/ko-wiki-backfill-semisimple-ring_반단순환_raw_wikitext_20260705.txt | ko-wiki-backfill-decomposition-algebra 분해 (대수학) rev 39792326 count 1; native-source-bodies/ko/wiki-bodies/backfill-20260705/ko-wiki-backfill-decomposition-algebra_분해_대수학_raw_wikitext_20260705.txt | ko-wiki-backfill-noetherian-ring 뇌터 환 rev 39051386 count 1; native-source-bodies/ko/wiki-bodies/backfill-20260705/ko-wiki-backfill-noetherian-ring_뇌터_환_raw_wikitext_20260705.txt,generated-draft/non-canonical/controlled pre-translation register; not native review/not accepted terminology/not gate promotion/not source certification/not completion
CJK-PRE::free_module,cjklex-0003,free module,module_theory,register_scaffold_candidate_gap_backfill_required,high,2,2.0,0.666667,自由加群,,자유 가군,May be used only as a gap-backfill scaffold; missing branch evidence must be resolved before row-level translation use.,Use scaffold only beside already anchored formulas; preserve TeX macros/variables; keep CJK/Hangul outside math mode; verify font coverage before PDF use.,DNU-CJK-GAP-0019: source_canon_insufficient,"Need an opened Korean row-level corpus queue plus Korean target-language mathematical witnesses with URL, access/license signal, hash, and local path. Current Korean material is source-discovery/crosswalk or weak-lead evidence only, not scoped draft translation support.",ja-src-001 Matsumura commutative-ring TeX source | ja-pdf-002 Ando algebra lecture-note PDF set | ja-pdf-003 Nagai invariant-theory PDF witness | ja-pdf-004 Ryoya Ando commutative-algebra PDF witness | CJK-native source-support/codepoint ledgers | ko-wiki-module 가군 rev 41652760 count 4; native-source-bodies/ko/wiki-bodies/ko-wiki-module_가군_wikitext_20260705.txt | ko-wiki-field 체 (수학) rev 41649269 count 1; native-source-bodies/ko/wiki-bodies/ko-wiki-field_체_수학_wikitext_20260705.txt | ko-wiki-linear-algebra 선형대수학 rev 41811221 count 1; native-source-bodies/ko/wiki-bodies/ko-wiki-linear-algebra_선형대수학_wikitext_20260705.txt | ko-wiki-backfill-decomposition-algebra 분해 (대수학) rev 39792326 count 2; native-source-bodies/ko/wiki-bodies/backfill-20260705/ko-wiki-backfill-decomposition-algebra_분해_대수학_raw_wikitext_20260705.txt | ko-wiki-backfill-quiver-representation 화살집 표현 rev 39479528 count 1; native-source-bodies/ko/wiki-bodies/backfill-20260705/ko-wiki-backfill-quiver-representation_화살집_표현_raw_wikitext_20260705.txt,generated-draft/non-canonical/controlled pre-translation register; not native review/not accepted terminology/not gate promotion/not source certification/not completion
CJK-PRE::submodule,cjklex-0004,submodule,module_theory,register_scaffold_candidate_tri_branch,high,3,3.0,1.0,部分加群,子模,부분 가군 | 부분가군,May be used as a generated-draft interlinear comparison key in review packets; do not treat as accepted terminology.,Use scaffold only beside already anchored formulas; preserve TeX macros/variables; keep CJK/Hangul outside math mode; verify font coverage before PDF use.,DNU-CJK-GAP-0024: source_canon_insufficient,"Need an opened Korean row-level corpus queue plus Korean target-language mathematical witnesses with URL, access/license signal, hash, and local path. Current Korean material is source-discovery/crosswalk or weak-lead evidence only, not scoped draft translation support.",ja-src-001 Matsumura commutative-ring TeX source | ja-pdf-002 Ando algebra lecture-note PDF set | ja-pdf-003 Nagai invariant-theory PDF witness | ja-pdf-004 Ryoya Ando commutative-algebra PDF witness | CJK-native source-support/codepoint ledgers | zh-Hans-src-001 AlJabr-1 TeX source repository | zh-Hans-src-002 AlJabr-2 TeX source repository | CJK-native source-support/codepoint ledgers | ko-wiki-module 가군 rev 41652760 count 2; native-source-bodies/ko/wiki-bodies/ko-wiki-module_가군_wikitext_20260705.txt | ko-wiki-ideal 아이디얼 rev 39160743 count 2; native-source-bodies/ko/wiki-bodies/ko-wiki-ideal_아이디얼_wikitext_20260705.txt | ko-wiki-backfill-noetherian-ring 뇌터 환 rev 39051386 count 4; native-source-bodies/ko/wiki-bodies/backfill-20260705/ko-wiki-backfill-noetherian-ring_뇌터_환_raw_wikitext_20260705.txt | ko-wiki-backfill-homomorphism-theorem 준동형 정리 rev 39209009 count 1; native-source-bodies/ko/wiki-bodies/backfill-20260705/ko-wiki-backfill-homomorphism-theorem_준동형_정리_raw_wikitext_20260705.txt | ko-wiki-backfill-primary-ideal 으뜸 아이디얼 rev 39160791 count 16; native-source-bodies/ko/wiki-bodies/backfill-20260705/ko-wiki-backfill-primary-ideal_으뜸_아이디얼_raw_wikitext_20260705.txt | ko-wiki-ideal 아이디얼 rev 39160743 count 1; native-source-bodies/ko/wiki-bodies/ko-wiki-ideal_아이디얼_wikitext_20260705.txt,generated-draft/non-canonical/controlled pre-translation register; not native review/not accepted terminology/not gate promotion/not source certification/not completion
CJK-PRE::lie_group,cjklex-0005,Lie group,representation_theory,register_scaffold_candidate_gap_backfill_required,high,2,2.0,0.666667,リー群,,리 군,May be used only as a gap-backfill scaffold; missing branch evidence must be resolved before row-level translation use.,Use scaffold only beside already anchored formulas; preserve TeX macros/variables; keep CJK/Hangul outside math mode; verify font coverage before PDF use.,DNU-CJK-GAP-0038: source_canon_insufficient,"Need an opened Korean row-level corpus queue plus Korean target-language mathematical witnesses with URL, access/license signal, hash, and local path. Current Korean material is source-discovery/crosswalk or weak-lead evidence only, not scoped draft translation support.",ja-src-001 Matsumura commutative-ring TeX source | ja-pdf-002 Ando algebra lecture-note PDF set | ja-pdf-003 Nagai invariant-theory PDF witness | ja-pdf-004 Ryoya Ando commutative-algebra PDF witness | CJK-native source-support/codepoint ledgers | ko-wiki-group-theory 군론 rev 41776557 count 1; native-source-bodies/ko/wiki-bodies/ko-wiki-group-theory_군론_wikitext_20260705.txt | ko-wiki-linear-algebra 선형대수학 rev 41811221 count 1; native-source-bodies/ko/wiki-bodies/ko-wiki-linear-algebra_선형대수학_wikitext_20260705.txt | ko-wiki-backfill-irreducible-representation 기약표현 rev 41663389 count 3; native-source-bodies/ko/wiki-bodies/backfill-20260705/ko-wiki-backfill-irreducible-representation_기약표현_raw_wikitext_20260705.txt | ko-wiki-backfill-hopf-algebra 호프 대수 rev 41657185 count 1; native-source-bodies/ko/wiki-bodies/backfill-20260705/ko-wiki-backfill-hopf-algebra_호프_대수_raw_wikitext_20260705.txt | ko-wiki-backfill-su2-representation SU(2)의 표현론 rev 39766810 count 5; native-source-bodies/ko/wiki-bodies/backfill-20260705/ko-wiki-backfill-su2-representation_SU_2_의_표현론_raw_wikitext_20260705.txt | ko-wiki-backfill-reductive-lie-algebra 가약 리 대수 rev 39482473 count 1; native-source-bodies/ko/wiki-bodies/backfill-20260705/ko-wiki-backfill-reductive-lie-algebra_가약_리_대수_raw_wikitext_20260705.txt,generated-draft/non-canonical/controlled pre-translation register; not native review/not accepted terminology/not gate promotion/not source certification/not completion
CJK-PRE::semisimple,cjklex-0006,semisimple,representation_theory,register_scaffold_candidate_tri_branch,high,3,3.0,1.0,半単純,半单,반단순,May be used as a generated-draft interlinear comparison key in review packets; do not treat as accepted terminology.,Use scaffold only beside already anchored formulas; preserve TeX macros/variables; keep CJK/Hangul outside math mode; verify font coverage before PDF use.,DNU-CJK-GAP-0046: source_canon_insufficient,"Need an opened Korean row-level corpus queue plus Korean target-language mathematical witnesses with URL, access/license signal, hash, and local path. Current Korean material is source-discovery/crosswalk or weak-lead evidence only, not scoped draft translation support.",ja-src-001 Matsumura commutative-ring TeX source | ja-pdf-002 Ando algebra lecture-note PDF set | ja-pdf-003 Nagai invariant-theory PDF witness | ja-pdf-004 Ryoya Ando commutative-algebra PDF witness | CJK-native source-support/codepoint ledgers | zh-Hans-src-001 AlJabr-1 TeX source repository | zh-Hans-src-002 AlJabr-2 TeX source repository | CJK-native source-support/codepoint ledgers | ko-wiki-backfill-semisimple-ring 반단순환 rev 39375212 count 24; native-source-bodies/ko/wiki-bodies/backfill-20260705/ko-wiki-backfill-semisimple-ring_반단순환_raw_wikitext_20260705.txt | ko-wiki-backfill-decomposition-algebra 분해 (대수학) rev 39792326 count 2; native-source-bodies/ko/wiki-bodies/backfill-20260705/ko-wiki-backfill-decomposition-algebra_분해_대수학_raw_wikitext_20260705.txt | ko-wiki-backfill-su2-representation SU(2)의 표현론 rev 39766810 count 3; native-source-bodies/ko/wiki-bodies/backfill-20260705/ko-wiki-backfill-su2-representation_SU_2_의_표현론_raw_wikitext_20260705.txt | ko-wiki-backfill-reductive-lie-algebra 가약 리 대수 rev 39482473 count 1; native-source-bodies/ko/wiki-bodies/backfill-20260705/ko-wiki-backfill-reductive-lie-algebra_가약_리_대수_raw_wikitext_20260705.txt,generated-draft/non-canonical/controlled pre-translation register; not native review/not accepted terminology/not gate promotion/not source certification/not completion
CJK-PRE::completely_reducible,cjklex-0007,completely reducible,representation_theory,register_scaffold_candidate_tri_branch,high,3,3.0,1.0,完全可約,完全可约,완전 가약,May be used as a generated-draft interlinear comparison key in review packets; do not treat as accepted terminology.,Use scaffold only beside already anchored formulas; preserve TeX macros/variables; keep CJK/Hangul outside math mode; verify font coverage before PDF use.,DNU-CJK-GAP-0040: source_canon_insufficient,"Need an opened Korean row-level corpus queue plus Korean target-language mathematical witnesses with URL, access/license signal, hash, and local path. Current Korean material is source-discovery/crosswalk or weak-lead evidence only, not scoped draft translation support.",ja-src-001 Matsumura commutative-ring TeX source | ja-pdf-002 Ando algebra lecture-note PDF set | ja-pdf-003 Nagai invariant-theory PDF witness | ja-pdf-004 Ryoya Ando commutative-algebra PDF witness | CJK-native source-support/codepoint ledgers | zh-Hans-src-001 AlJabr-1 TeX source repository | zh-Hans-src-002 AlJabr-2 TeX source repository | CJK-native source-support/codepoint ledgers | ko-wiki-backfill-reductive-lie-algebra 가약 리 대수 rev 39482473 count 5; native-source-bodies/ko/wiki-bodies/backfill-20260705/ko-wiki-backfill-reductive-lie-algebra_가약_리_대수_raw_wikitext_20260705.txt,generated-draft/non-canonical/controlled pre-translation register; not native review/not accepted terminology/not gate promotion/not source certification/not completion
CJK-PRE::character,cjklex-0008,character,representation_theory,register_scaffold_candidate_tri_branch,high,3,3.0,1.0,指標,特征标,지표,May be used as a generated-draft interlinear comparison key in review packets; do not treat as accepted terminology.,Use scaffold only beside already anchored formulas; preserve TeX macros/variables; keep CJK/Hangul outside math mode; verify font coverage before PDF use.,DNU-CJK-GAP-0039: source_canon_insufficient,"Need an opened Korean row-level corpus queue plus Korean target-language mathematical witnesses with URL, access/license signal, hash, and local path. Current Korean material is source-discovery/crosswalk or weak-lead evidence only, not scoped draft translation support.",ja-src-001 Matsumura commutative-ring TeX source | ja-pdf-002 Ando algebra lecture-note PDF set | ja-pdf-003 Nagai invariant-theory PDF witness | ja-pdf-004 Ryoya Ando commutative-algebra PDF witness | CJK-native source-support/codepoint ledgers | zh-Hans-src-001 AlJabr-1 TeX source repository | zh-Hans-src-002 AlJabr-2 TeX source repository | CJK-native source-support/codepoint ledgers | ko-wiki-linear-algebra 선형대수학 rev 41811221 count 2; native-source-bodies/ko/wiki-bodies/ko-wiki-linear-algebra_선형대수학_wikitext_20260705.txt | ko-wiki-backfill-irreducible-representation 기약표현 rev 41663389 count 2; native-source-bodies/ko/wiki-bodies/backfill-20260705/ko-wiki-backfill-irreducible-representation_기약표현_raw_wikitext_20260705.txt | ko-wiki-backfill-su2-representation SU(2)의 표현론 rev 39766810 count 2; native-source-bodies/ko/wiki-bodies/backfill-20260705/ko-wiki-backfill-su2-representation_SU_2_의_표현론_raw_wikitext_20260705.txt | ko-wiki-backfill-algebraic-number-field 대수적 수체 rev 41743364 count 1; native-source-bodies/ko/wiki-bodies/backfill-20260705/ko-wiki-backfill-algebraic-number-field_대수적_수체_raw_wikitext_20260705.txt,generated-draft/non-canonical/controlled pre-translation register; not native review/not accepted terminology/not gate promotion/not source certification/not completion
CJK-PRE::irreducible_representation,cjklex-0009,irreducible representation,representation_theory,register_scaffold_candidate_tri_branch,high,3,3.0,1.0,既約表現,不可约表示,기약 표현 | 기약표현,May be used as a generated-draft interlinear comparison key in review packets; do not treat as accepted terminology.,Use scaffold only beside already anchored formulas; preserve TeX macros/variables; keep CJK/Hangul outside math mode; verify font coverage before PDF use.,DNU-CJK-GAP-0043: source_canon_insufficient,"Need an opened Korean row-level corpus queue plus Korean target-language mathematical witnesses with URL, access/license signal, hash, and local path. Current Korean material is source-discovery/crosswalk or weak-lead evidence only, not scoped draft translation support.",ja-src-001 Matsumura commutative-ring TeX source | ja-pdf-002 Ando algebra lecture-note PDF set | ja-pdf-003 Nagai invariant-theory PDF witness | ja-pdf-004 Ryoya Ando commutative-algebra PDF witness | CJK-native source-support/codepoint ledgers | zh-Hans-src-001 AlJabr-1 TeX source repository | zh-Hans-src-002 AlJabr-2 TeX source repository | CJK-native source-support/codepoint ledgers | ko-wiki-backfill-irreducible-representation 기약표현 rev 41663389 count 18; native-source-bodies/ko/wiki-bodies/backfill-20260705/ko-wiki-backfill-irreducible-representation_기약표현_raw_wikitext_20260705.txt | ko-wiki-backfill-su2-representation SU(2)의 표현론 rev 39766810 count 9; native-source-bodies/ko/wiki-bodies/backfill-20260705/ko-wiki-backfill-su2-representation_SU_2_의_표현론_raw_wikitext_20260705.txt | ko-wiki-backfill-reductive-lie-algebra 가약 리 대수 rev 39482473 count 1; native-source-bodies/ko/wiki-bodies/backfill-20260705/ko-wiki-backfill-reductive-lie-algebra_가약_리_대수_raw_wikitext_20260705.txt | ko-wiki-backfill-su2-representation SU(2)의 표현론 rev 39766810 count 1; native-source-bodies/ko/wiki-bodies/backfill-20260705/ko-wiki-backfill-su2-representation_SU_2_의_표현론_raw_wikitext_20260705.txt,generated-draft/non-canonical/controlled pre-translation register; not native review/not accepted terminology/not gate promotion/not source certification/not completion
CJK-PRE::group_ring_group_algebra,cjklex-0010,group ring/group algebra,representation_theory,register_scaffold_candidate_gap_backfill_required,high,2,2.0,0.666667,群環／群代数,,군환 | 군대수,May be used only as a gap-backfill scaffold; missing branch evidence must be resolved before row-level translation use.,Use scaffold only beside already anchored formulas; preserve TeX macros/variables; keep CJK/Hangul outside math mode; verify font coverage before PDF use.,DNU-CJK-GAP-0042: source_canon_insufficient,"Need an opened Korean row-level corpus queue plus Korean target-language mathematical witnesses with URL, access/license signal, hash, and local path. Current Korean material is source-discovery/crosswalk or weak-lead evidence only, not scoped draft translation support.",ja-src-001 Matsumura commutative-ring TeX source | ja-pdf-002 Ando algebra lecture-note PDF set | ja-pdf-003 Nagai invariant-theory PDF witness | ja-pdf-004 Ryoya Ando commutative-algebra PDF witness | CJK-native source-support/codepoint ledgers | ko-wiki-ring-theory 환론 rev 39056267 count 1; native-source-bodies/ko/wiki-bodies/ko-wiki-ring-theory_환론_wikitext_20260705.txt | ko-wiki-module 가군 rev 41652760 count 1; native-source-bodies/ko/wiki-bodies/ko-wiki-module_가군_wikitext_20260705.txt | ko-wiki-backfill-semisimple-ring 반단순환 rev 39375212 count 2; native-source-bodies/ko/wiki-bodies/backfill-20260705/ko-wiki-backfill-semisimple-ring_반단순환_raw_wikitext_20260705.txt | ko-wiki-backfill-hopf-algebra 호프 대수 rev 41657185 count 1; native-source-bodies/ko/wiki-bodies/backfill-20260705/ko-wiki-backfill-hopf-algebra_호프_대수_raw_wikitext_20260705.txt | ko-wiki-backfill-decomposition-algebra 분해 (대수학) rev 39792326 count 1; native-source-bodies/ko/wiki-bodies/backfill-20260705/ko-wiki-backfill-decomposition-algebra_분해_대수학_raw_wikitext_20260705.txt | ko-wiki-backfill-noetherian-ring 뇌터 환 rev 39051386 count 6; native-source-bodies/ko/wiki-bodies/backfill-20260705/ko-wiki-backfill-noetherian-ring_뇌터_환_raw_wikitext_20260705.txt,generated-draft/non-canonical/controlled pre-translation register; not native review/not accepted terminology/not gate promotion/not source certification/not completion
