"relative_path","bytes","sha256","source_use"
"B3_UPLOADER_READY_SUMMARY.csv","704","a7fe94715c7ba512d26ea7699ba426ffef46a6091e821dc68385077d5c536196","branch-provenance/source-use-review"
"branch-visible-arabic-rtl-intake/ARABIC_2BBDBFE5_BLOCKERS_AND_RECOVERY_ROWS_20260706.csv","4904","030f8bb2b3c45da44c4cbeded00fb4b8be04f166ec27fcbe5355304faf58966a","source-use/gap/review-only-intake"
"branch-visible-arabic-rtl-intake/ARABIC_2BBDBFE5_LANGUAGE_GATE_BOUNDARY_ROWS_20260706.csv","1671","eb36ac1892521f9a01699572888e11267782b7642377872853302a9932e546a2","source-use/gap/review-only-intake"
"branch-visible-arabic-rtl-intake/ARABIC_2BBDBFE5_SIX_ROW_SOURCE_USE_GAP_STATUS_20260706.csv","8026","61cde4d7833e67f68d6690be7f364f28f0cf526cc8c9ffdf4218b28883019b78","source-use/gap/review-only-intake"
"branch-visible-arabic-rtl-intake/BRANCH_VISIBLE_R3_8B_SOURCE_USE_GAP_AUDIT_COPY_LEDGER_20260706.csv","7685","406375cb90b341035e32e403cf5a4ab5c7764f612f1f2770edbf8fa7cc31ad7d","source-use/gap/review-only-intake"
"branch-visible-arabic-rtl-intake/PACKAGE_VALIDATION.json","980","c39669acb8444959b8b301c7cd204c012aab27bc716dfa8eb4afb1cc21b91620","source-use/gap/review-only-intake"
"PACKAGE_VALIDATION.json","1147","b4ddd90e88e15e3d671b9e324f2f01d5914a33cf682f616ef3eb6ef60d77f69f","package-metadata"
"R3_8466D686_BRANCH_DELTA_FROM_2BBDBFE5.csv","52189","ddcb61d64973e525dc17d8d0890ec3597594e3e9ea92c9894701346d28b8c6f5","branch-provenance/source-use-review"
"R3_8466D686_BRANCH_RELEVANT_PACKET_INDEX.csv","24041","15e1368bb97ef17c27803f53b722f17928cea96e346b6cf4ef0455ae9c54dffd","branch-provenance/source-use-review"
"R3_8466D686_MUTUAL_WAKE_APPENDIX.csv","743","441c7b3a201e911730893e167789e8d3b189a446b71077f54cb9102b7e9fa977","mutual-watch-ledger"
"R3_8466D686_RESET_AND_MUTUAL_WAKE_RULES.csv","560","9667802982aa863a0fa9afdcb17d2352745c6636f8d3b56003f4754ba882b654","mutual-watch-ledger"
"R3_8466D686_SELECTED_ARABIC_RTL_INTAKE_ROWS.csv","3325","97e3b5555063451f1b88055895027bcdc09c4cc2e9bac5362fe804903dd7db06","package-metadata"
"R3_8466D686_SOURCE_USE_FACT_CHANGE_AUDIT.csv","906","6e2d74511f2a4153331240ca85b4436cde37d300698b34366adecadd75334dd1","branch-provenance/source-use-review"
"README.md","1261","287a5da31691ad779133300f32bf987b59cbb531458f923c9394db5b2edc335b","package-metadata"
