"field","value"
"packet","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_8466D686_2BBD_FRONTIER_SOURCE_USE_GAP_AUDIT_20260706\R3_8466D686_2BBD_FRONTIER_SOURCE_USE_GAP_AUDIT_20260706_20260706T174351Z"
"frontier","8466d68637b8d7d83dc0665b392bb6d7d35f0257"
"prior_frontier","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3"
"branch_delta_rows","137"
"branch_relevant_files_indexed","45"
"r3_prior_packet_hash_matches","19"
"r3_prior_packet_hash_mismatches","0"
"arabic_rtl_intake_files_indexed","26"
"selected_arabic_intake_files_copied","5"
"new_generated_draft_rows","none_warranted"
"raw_source_zip_copied","false"
"language_lane_git_push","false"
