kind,ref,title,expose,tex_line,src_page_est
section,,Introduction,I,313,1
section,,Définition et propriétés formelles des complexes dualisants,I,327,2
statement,1.1,Définition 1.1,I,331,2
statement,1.2,Remarques 1.2,I,338,2
statement,1.3,Proposition 1.3 (cf.~[H]~1.7.6),I,349,3
statement,1.3.1,Remarque 1.3.1,I,367,3
statement,1.4,Définition 1.4,I,370,4
statement,1.5,Proposition 1.5,I,379,4
statement,1.5.1,Lemme 1.5.1,I,387,4
statement,1.5.2,Remarque 1.5.2,I,405,5
statement,1.6,Proposition 1.6,I,408,5
statement,1.7,Définition 1.7,I,424,6
statement,1.8,Remarque 1.8,I,432,6
statement,1.9,Lemme 1.9 (cf. [H] II 4.3),I,457,8
statement,1.10,Notation 1.10,I,471,8
statement,1.11,Proposition 1.11 (cf. [H] V 2.6),I,474,8
statement,1.11.1,Remarque 1.11.1,I,506,10
statement,1.12,Proposition 1.12,I,512,10
statement,1.13,Corollaire 1.13,I,545,12
statement,1.14,Lemme 1.14,I,560,12
statement,1.15,Corollaire 1.15,I,573,13
statement,2,2. Unicité du complexe dualisant,I,580,13
statement,2.1,Théorème 2.1 (cf. [H] V 3.1),I,584,13
statement,2.2,Lemme 2.2 (cf. [H] V 3.3),I,631,16
diagram,D001,tikzcd,I,647,16
equation,*,,I,651,17
statement,3,3. Existence de complexes dualisants,I,680,18
statement,3.2.1,Proposition 3.2.1,I,769,22
statement,3.2.2,Remarque 3.2.2,I,787,23
statement,3.2.3,Corollaire 3.2.3,I,790,23
statement,3.2.4,Lemme 3.2.4,I,800,23
statement,3.2.5,Corollaire 3.2.5,I,818,24
statement,3.3.1,Proposition 3.3.1,I,827,25
diagram,D002,tikzcd,I,868,27
diagram,D003,tikzcd,I,879,27
statement,3.4.1,Théorème 3.4.1 (cf. [H] V 2.2),I,903,28
statement,3.4.2,Lemme 3.4.2,I,915,29
statement,3.4.3,Corollaire 3.4.3,I,935,30
statement,3.4.4,Corollaire 3.4.4,I,944,30
statement,3.4.5,Remarque 3.4.5,I,953,30
section,,4. Dualité locale,I,956,31
statement,4.1,4.1,I,960,31
statement,4.2,4.2,I,965,31
statement,4.2.3,Exercice 4.2.3,I,989,32
statement,4.3,4.3,I,1015,33
statement,4.3,Lemme 4.3,I,1018,33
diagram,D004,tikzcd,I,1029,34
statement,4.4,Lemme 4.4,I,1051,35
statement,4.5,4.5,I,1059,35
diagram,D005,tikzcd,I,1064,36
statement,4.5.4,Proposition 4.5.4,I,1133,39
statement,4.5.5,Remarque 4.5.5,I,1137,39
statement,4.5.6,Exercice 4.5.6,I,1145,39
statement,4.6,4.6,I,1153,40
statement,4.6.2,Exemple 4.6.2,I,1183,41
statement,4.7,4.7,I,1193,42
diagram,D006,tikzcd,I,1265,45
diagram,D007,tikzcd,I,1296,46
statement,4.7.16,Proposition 4.7.16,I,1324,48
diagram,D008,tikzpicture,I,1335,48
statement,4.7.17,Remarque 4.7.17,I,1354,49
section,,5. Dualité locale sur les courbes,I,1372,50
statement,5.1,Théorème 5.1,I,1374,50
statement,5.1.9,Lemme 5.1.9,I,1445,53
section,,Bibliographie,I,1484,55
section,,Appendice,I,1495,55
statement,1,1. Faisceaux constructibles,I,1502,56
diagram,D009,tikzcd,I,1533,57
statement,2,2. Dimension quasi-injective,I,1554,58
statement,3,3. Complexes dualisants: définition et propriétés formelles,I,1580,59
statement,4,4. Pureté absolue,I,1584,60
equation,4.1,,I,1587,60
equation,4.2,,I,1593,60
equation,4.3,,I,1611,61
statement,5,5. Majoration de la dimension quasi-injective,I,1622,61
equation,*,,I,1637,62
diagram,D010,tikzcd,I,1668,63
statement,6,6. Constructibilité de $RunderlineHom,I,1713,65
statement,7,7. Existence de complexes dualisants,I,1719,66
diagram,D011,tikzcd,I,1753,67
diagram,D012,tikzcd,I,1771,68
diagram,D013,tikzcd,I,1800,69
section,,Bibliographie,I,1819,70
statement,,Sommaire,I,1846,72
section,,Notations et rappels de formules de Künneth,III,1856,73
statement,1.1,1.1,III,1858,73
statement,1.2,1.2,III,1863,73
statement,1.3,1.3,III,1876,74
statement,1.4,1.4,III,1886,74
statement,1.5,1.5,III,1902,74
statement,1.6,1.6,III,1909,74
equation,1.6.1,,III,1915,75
equation,1.6.2,,III,1919,75
equation,1.6.3,,III,1923,75
equation,1.6.4,,III,1927,75
statement,1.7,1.7,III,1932,75
equation,1.7.1,,III,1938,75
equation,1.7.2,,III,1942,75
equation,1.7.3,,III,1948,76
statement,1.7.4,Proposition 1.7.4,III,1952,76
equation,1.7.5,,III,1970,76
equation,1.7.6,,III,1976,76
statement,1.8,1.8,III,1980,76
equation,1.8.1,,III,1982,76
section,,Fonctorialité de $uRHom$ et produits tensoriels externes,III,1987,77
statement,2.1,2.1,III,1989,77
equation,2.1.1,,III,1995,77
equation,2.1.2,,III,1999,77
equation,2.1.3,,III,2003,77
equation,2.1.4,,III,2007,77
equation,2.1.5,,III,2011,77
equation,2.1.6,,III,2021,78
statement,2.2,2.2,III,2025,78
equation,2.2.1,,III,2027,78
equation,2.2.2,,III,2031,78
equation,2.2.3,,III,2044,78
equation,2.2.4,,III,2048,78
statement,2.3,Proposition 2.3,III,2053,78
equation,1,,III,2057,79
diagram,D014,tikzcd,III,2064,79
equation,3,,III,2070,79
diagram,D015,tikzcd,III,2075,79
statement,2.4,2.4,III,2082,79
equation,2.4.0,,III,2095,80
diagram,D016,tikzpicture,III,2097,80
equation,2.4.1,,III,2129,81
diagram,D017,tag 2.4.1,III,2131,81
statement,2.5,Proposition 2.5,III,2143,81
equation,2.5.1,,III,2145,81
diagram,D018,tikzpicture,III,2147,81
statement,2.6,2.6,III,2167,82
diagram,D019,tikzcd,III,2170,82
statement,2.6.1,Corollaire 2.6.1,III,2178,82
equation,2.6.1.1,,III,2180,82
diagram,D020,tag 2.6.1.1,III,2181,82
diagram,D021,tikzcd,III,2188,82
diagram,D022,tikzcd,III,2203,83
diagram,D023,tikzcd,III,2233,83
diagram,D024,tikzcd,III,2244,84
statement,2.6.3,Lemme 2.6.3,III,2251,84
diagram,D025,tikzcd,III,2254,84
diagram,D026,tikzcd,III,2301,85
section,,Correspondances cohomologiques,III,2309,86
