item,tex/source form,Spanish policy,Japanese policy,notes
K field,\Kfield = \mathfrak{K},cuerpo / campo according to context,体,function field/body
system,\Ssys = \mathfrak{S},sistema,系,
integrality domain,\Jdom = \mathfrak{J},dominio de integridad,整性領域,
relatively integral domain,\Gdom = \mathfrak{G},dominio relativamente entero,相対的整領域,Paper 06 §§9-15
linear family,\Lsys = \mathfrak{L},familia lineal,線形族,
algebraic integers,[\Omega],enteros de [Ω],[Ω] の整数,Paper 06 §§14-15
unit epsilon,R_0=\eps,unidad; R_0=\varepsilon,単元; R_0=\varepsilon,keep macro if present
colon quotient,F(x):G(x),preserve colon quotient,コロン商を保持,do not silently convert to fraction
Lüroth,Lüroth,Lüroth,Lüroth,retain diacritic
Gattungsbereich,\emph{Gattungsbereich},retain italic German term,イタリックのドイツ語として保持,historical named concept
source anomaly,A_\tau(G_i(x)),preserve and audit,保持して監査に記録,Paper 06 §11 formula (6)
source abbreviation,in inf.,preserve,保持,Paper 06 §12 example
