"priority","lane","primary_table","row_index","target_language_or_access_target","source_title","source_url","missing_fields","recommended_action","non_claim_boundary"
"P2_context_field_gap","noether-arabic-rtl-source-evidence-draft-lane","noether-arabic-rtl-source-evidence-draft-lane/outputs/NOETHER_ARABIC_RTL_SOURCE_CANON_WITNESS_TABLE_NORMALIZED_20260704.csv","13","Rejected candidate","GitHub Arabic TeX false positive","https://raw.githubusercontent.com/Ag-ilies/pfe/fbd0c804af7c2bf2d151251ad0b39a40dec21809/Content/02_Chapter1/Text/chapter1.tex","topic_tags","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-arabic-rtl-source-evidence-draft-lane","noether-arabic-rtl-source-evidence-draft-lane/outputs/NOETHER_ARABIC_RTL_SOURCE_CANON_WITNESS_TABLE_NORMALIZED_20260704.csv","20","Arabic source-canon gap","Arabic TeX/LaTeX source corpus","","source_url; sha256_or_other_hash","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-arabic-rtl-source-evidence-draft-lane","noether-arabic-rtl-source-evidence-draft-lane/outputs/NOETHER_ARABIC_RTL_SOURCE_CANON_WITNESS_TABLE_NORMALIZED_20260704.csv","21","Arabic source-canon gap","Direct Arabic specialist classical invariant-theory source","","source_url; sha256_or_other_hash","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-arabic-rtl-source-evidence-draft-lane","noether-arabic-rtl-source-evidence-draft-lane/outputs/NOETHER_ARABIC_RTL_SOURCE_CANON_WITNESS_TABLE_NORMALIZED_20260704.csv","22","Arabic source-canon gap","Arabic covariant / binary forms source","","source_url; sha256_or_other_hash","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-arabic-rtl-source-evidence-draft-lane","noether-arabic-rtl-source-evidence-draft-lane/outputs/NOETHER_ARABIC_RTL_SOURCE_CANON_WITNESS_TABLE_NORMALIZED_20260704.csv","23","Arabic source-canon gap","Arabic Artinian / minimal-condition source","","source_url; sha256_or_other_hash","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-arabic-rtl-source-evidence-draft-lane","noether-arabic-rtl-source-evidence-draft-lane/outputs/NOETHER_ARABIC_RTL_SOURCE_CANON_WITNESS_TABLE_NORMALIZED_20260704.csv","24","Arabic source-canon gap","Arabic ring homomorphism/isomorphism contexts","","source_url; sha256_or_other_hash","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-arabic-rtl-source-evidence-draft-lane","noether-arabic-rtl-source-evidence-draft-lane/outputs/NOETHER_ARABIC_RTL_SOURCE_CANON_WITNESS_TABLE_NORMALIZED_20260704.csv","25","Arabic source-canon gap","License/reuse closure for Arabic witness set","","source_url; sha256_or_other_hash","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-arabic-rtl-source-evidence-draft-lane","noether-arabic-rtl-source-evidence-draft-lane/outputs/NOETHER_ARABIC_RTL_SOURCE_CANON_WITNESS_TABLE_NORMALIZED_20260704.csv","26","Arabic source-canon gap","Arabic direct TeX/arXiv invariant-theory source package","","source_url; sha256_or_other_hash","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-cjk-native-source-evidence","noether-cjk-native-source-evidence/outputs/NOETHER_CJK_SOURCE_CANON_FIELD_NORMALIZED_WITNESS_TABLE_20260704.json","19","zh-Hans","bulk_codepoint_redo_manifest","","source_url; sha256_or_other_hash","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-cjk-native-source-evidence","noether-cjk-native-source-evidence/outputs/NOETHER_CJK_SOURCE_CANON_FIELD_NORMALIZED_WITNESS_TABLE_20260704.json","20","CJK infrastructure","cjk_ctan_typesetting_infrastructure","https://ctan.org/pkg/ctex","sha256_or_other_hash","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
