"lane","primary_table","primary_table_sha256","audit_status_from_header_check","row_count","rows_with_any_critical_gap","rows_without_critical_gap","missing_field_counts","population_status","git_frontier_observed","non_claim_boundary"
"noether-arabic-rtl-source-evidence-draft-lane","noether-arabic-rtl-source-evidence-draft-lane/outputs/NOETHER_ARABIC_RTL_SOURCE_CANON_WITNESS_TABLE_NORMALIZED_20260704.csv","C70D17AFC7CA804738EDD376A86E432AD26B9336810142EB8AA62D6143505A4B","required_fields_present_by_alias","26","8","18","topic_tags=1; source_url=7; sha256_or_other_hash=7","some_rows_have_population_gaps","13e4cec082166897bbc43c6c1d07a1dcaf7a22d8","row-population audit only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"noether-cjk-native-source-evidence","noether-cjk-native-source-evidence/outputs/NOETHER_CJK_SOURCE_CANON_FIELD_NORMALIZED_WITNESS_TABLE_20260704.json","BF65A4661F0A445D7C86E56A90AE348074A182BFFC51C24D003C9048C7727A2E","required_fields_present_by_alias","39","15","24","source_url=14; license_or_access_signal=13; sha256_or_other_hash=2","some_rows_have_population_gaps","13e4cec082166897bbc43c6c1d07a1dcaf7a22d8","row-population audit only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"noether-cjk-source-evidence-draft-lane","noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_SOURCE_CANON_WITNESS_TABLE_20260704.json","9F5A261B7E4AC69D4CA1DBEC919DEA6A1CEF1C38F684119E57D81C911AAE6EBC","partial_required_field_coverage","9","9","0","evidence_tier=9; sha256_or_other_hash=9","all_rows_have_one_or_more_population_gaps","13e4cec082166897bbc43c6c1d07a1dcaf7a22d8","row-population audit only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"noether-olp-relation-function-support","noether-olp-relation-function-support/outputs/SESSION_K_SOURCE_CANON_FIRST_WITNESS_REGISTER_20260704.csv","18A8EDB2FB9FD54CDB885A7BA864C971E209979C8D0728F0C27667283369D694","weak_required_field_coverage","17","17","0","target_language_or_access_target=17; evidence_tier=17; source_type=17; sha256_or_other_hash=17; source_language=17; gap_or_blocker_note=17; non_claim_boundary=17","all_rows_have_one_or_more_population_gaps","13e4cec082166897bbc43c6c1d07a1dcaf7a22d8","row-population audit only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"noether-persianate-tajik-source-evidence-draft-lane","noether-persianate-tajik-source-evidence-draft-lane/outputs/NOETHER_PERSIANATE_TAJIK_SOURCE_CANON_WITNESS_TABLE_20260704.json","C75EF869F9AF82C920975A4F0F3FB80C362178E8055C40E7EA007A6DDC7B14BB","required_fields_present_by_alias","12","3","9","source_url=3; sha256_or_other_hash=3","some_rows_have_population_gaps","13e4cec082166897bbc43c6c1d07a1dcaf7a22d8","row-population audit only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"noether-r2-pan-turkic-hard-blockers","noether-r2-pan-turkic-hard-blockers/outputs/NOETHER_R2_PAN_TURKIC_SOURCE_CANON_PROGRAM_NORMALIZED_REGISTER_20260704.json","BCCDA6DECD44184DCE5145CB2842D7425F1663BC4CA025FA8044C219CA2A96E8","required_fields_present_by_alias","61","0","61","","all_audited_rows_populated_for_critical_fields","13e4cec082166897bbc43c6c1d07a1dcaf7a22d8","row-population audit only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"noether-r3-arabic-persianate-linear-algebra","noether-r3-arabic-persianate-linear-algebra/outputs/R3_SOURCE_CANON_PROGRAM_ALIGNMENT_20260704T201340Z/R3_SOURCE_CANON_REQUIRED_SHAPE_WITNESS_TABLE_20260704T201340Z.json","1FCDF12B7A2AD3A3C481BB4607586453A67D5242DDBE48B1D75977B8D4C83653","required_fields_present_by_alias","22","4","18","source_url=3; license_or_access_signal=3; sha256_or_other_hash=4","some_rows_have_population_gaps","13e4cec082166897bbc43c6c1d07a1dcaf7a22d8","row-population audit only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"noether-r6-indigenous-creole-sign","noether-r6-indigenous-creole-sign/outputs/NOETHER_R6_SOURCE_CANON_STRICT_PROVENANCE_WITNESS_TABLE_20260704.csv","D083F8ADD01BD4B6CB144F925D5A0B19A9C5EE611C33702225DE1742C60FC0EB","weak_required_field_coverage","82","82","0","target_language_or_access_target=82; topic_tags=82; source_type=82; license_or_access_signal=82; source_language=82; gap_or_blocker_note=82; non_claim_boundary=82","all_rows_have_one_or_more_population_gaps","13e4cec082166897bbc43c6c1d07a1dcaf7a22d8","row-population audit only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"noether-r7-malay-sea-pacific","noether-r7-malay-sea-pacific/outputs/NOETHER_R7_SOURCE_CANON_REQUIRED_FIELD_WITNESS_TABLE_20260704.csv","98469BF68EF176B0FC7A550968543CE30EDE398CE2A9701009D9F7D4C7E57DC0","required_fields_present_by_alias","59","0","59","","all_audited_rows_populated_for_critical_fields","13e4cec082166897bbc43c6c1d07a1dcaf7a22d8","row-population audit only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"noether-r9-africa-horn-west","noether-r9-africa-horn-west/outputs/R9_SOURCE_CANON_REQUIRED_FIELD_WITNESS_TABLE_20260704.csv","EDE0B91E3664B5E6CE3716653DB3941E97F8B0D424FB57DD055DB6D72AD4B3EE","required_fields_present_by_alias","17","0","17","","all_audited_rows_populated_for_critical_fields","13e4cec082166897bbc43c6c1d07a1dcaf7a22d8","row-population audit only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
