row_id,row_type,artifact_or_scope,location_or_owner,status,evidence,decision_or_task,boundary
CJK-GOV-DOC-20260705-001,github_instruction_bus_read,AGENTS.md,codex/noether-pc-20260629@c8fd72191abb3e3841b571f2497ce719839c9deb,read_and_applied,git_blob_sha256=E4E6A7422E118543E5ADAB00ACFB32E8C097FE6F40153745A9E5D9CCAF0DCE6B,GitHub-tracked instruction bus is authoritative over local-only heartbeats and private thread notes for open-machine Noether coordination.,"Instruction read record only; no Git push, approval, license clearance, or translation completion claim."
CJK-GOV-DOC-20260705-002,github_instruction_bus_read,.github/copilot-instructions.md,codex/noether-pc-20260629@c8fd72191abb3e3841b571f2497ce719839c9deb,read_and_applied,git_blob_sha256=D553C306879C915C9B0132E6DF50F010FE8F9ADC9EB130C9295BC4DF9DBD50FF,GitHub-tracked instruction bus is authoritative over local-only heartbeats and private thread notes for open-machine Noether coordination.,"Instruction read record only; no Git push, approval, license clearance, or translation completion claim."
CJK-GOV-DOC-20260705-003,github_instruction_bus_read,noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_OPEN_MACHINE_GITHUB_COORDINATION_RULE_20260704.md,codex/noether-pc-20260629@c8fd72191abb3e3841b571f2497ce719839c9deb,read_and_applied,git_blob_sha256=D2B3A68F28C90C09A3BEAC978D78E336C375F9B44F13CD544771DCC7026BA127,GitHub-tracked instruction bus is authoritative over local-only heartbeats and private thread notes for open-machine Noether coordination.,"Instruction read record only; no Git push, approval, license clearance, or translation completion claim."
CJK-GOV-DOC-20260705-004,github_instruction_bus_read,noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_OPEN_MACHINE_GITHUB_COORDINATION_RULE_20260704.json,codex/noether-pc-20260629@c8fd72191abb3e3841b571f2497ce719839c9deb,read_and_applied,git_blob_sha256=E01C2CBA3FAF4A16A87E493E71AF2C0159A4AC120A0E42F650ED40CF4FE7CE10,GitHub-tracked instruction bus is authoritative over local-only heartbeats and private thread notes for open-machine Noether coordination.,"Instruction read record only; no Git push, approval, license clearance, or translation completion claim."
CJK-GOV-DOC-20260705-005,github_instruction_bus_read,noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SOURCE_CANON_SUFFICIENCY_TRANSLATION_TRANSITION_20260705.md,codex/noether-pc-20260629@c8fd72191abb3e3841b571f2497ce719839c9deb,read_and_applied,git_blob_sha256=A6504AFF333D3B58866F19D95A39BE171F67002952A566A13BDDE8C25A0C0EA2,GitHub-tracked instruction bus is authoritative over local-only heartbeats and private thread notes for open-machine Noether coordination.,"Instruction read record only; no Git push, approval, license clearance, or translation completion claim."
CJK-GOV-DOC-20260705-006,local_context_re_read,parent_consolidation_ledger,C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NOETHER_INTERLANGUAGE_TRANSLATION_CONSOLIDATION_LEDGER_20260704.md,read_when_local_access_exists,sha256=A1474CE44F37E2C4E9D34F3D658D581614D07980F5004286392791931E8682EC,Local context is supporting context only; GitHub-tracked governance remains the open-machine authority.,No local-only directive is promoted unless packaged/GitHub-visible.
CJK-GOV-DOC-20260705-007,local_context_re_read,source_canon_first_steering_record,C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NOETHER_SOURCE_CANON_FIRST_STEERING_RECORD_20260704.md,read_when_local_access_exists,sha256=531B9E358E52BDE20F613E75B8DE33558C05301CA971639E727DD584B34205C4,Local context is supporting context only; GitHub-tracked governance remains the open-machine authority.,No local-only directive is promoted unless packaged/GitHub-visible.
CJK-GOV-DOC-20260705-008,local_context_re_read,b3_durable_steward_log,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-pr-branch-steward\outputs\NOETHER_SESSION_B_COORDINATOR_RUN_LOG_20260704.md,read_when_local_access_exists,sha256=0A4F6C2FD0F0D341F879E2CAF45698FBBC27B51B604BDA3960DC6CDDCAD8344E,Local context is supporting context only; GitHub-tracked governance remains the open-machine authority.,No local-only directive is promoted unless packaged/GitHub-visible.
CJK-GOV-COMPARE-20260705-001,source_witness_to_split_lane_comparison,CJK native source findability vs CJK split draft glossary,CJK Native Source Evidence / CJK Split Lane,aligned_for_covered_rows,"findability_target_counts={""Japanese"": 9, ""Korean addendum/source routing"": 5, ""Simplified Chinese"": 7}; split_glossary_counts={""japanese"": 41, ""korean_addendum"": 48, ""simplified_chinese"": 34}",Japanese and Simplified Chinese foundational algebra rows have sufficient source-canon baseline for scoped draft support; Korean remains addendum/source-routing.,Not a native review or accepted-term claim.
CJK-GOV-COMPARE-20260705-002,sufficiency_transition_state,NOETHER_CJK_SOURCE_CANON_SUFFICIENCY_TRANSITION_DRAFT_SUPPORT_20260705,CJK Native Source Evidence outputs,transition_artifact_emitted,"transition_row_type_counts={""covered_draft_support"": 28, ""korean_addendum_support"": 10, ""retained_gap"": 10}; transition_sha256=81ABCE9482FF94B540EB73D0AE8A184E4A575F565F5406FDCCF92D39F1D5AC3B",Covered rows received draft-support/rendering/context/scaffold material; uncovered rows are retained as source-acquisition or review gaps.,Draft/non-canonical support only; no translation completion claim.
CJK-GOV-COMPARE-20260705-003,corpus_slice_context_check,CJK split corpus slices,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\NOETHER_CJK_DRAFT_CORPUS_TRANSLATION_SLICES_20260704.json,read_for_cross_lane_context,slice_count=19; blocker_count=8; sha256=4299693A39D87E6F158B51F66DF4F81566D255D21E06E805F506A5957501E26B,Native/source lane should support split-lane row decisions and not duplicate the large corpus-slice outputs.,Korean split rows stay addendum/source-discovery unless exact owner authority changes.
