edge_id,subject_id,predicate,object_id,object_type,provenance,status
JA-P21-E001,NOETHER-P21-JA,is_translation_of,NOETHER-P21-DE-SEALEDP31,source_unit,sealed whole-file and exact unit hashes; full source-target audit,verified
JA-P21-E002,NOETHER-P21-JA,semantically_revises,NOETHER-P21-JA-INHERITED,draft_translation,opening and central primes Riemann 78 Roman II h arguments Christoffel bracket varrho family apparatus and terminology repaired,verified
JA-P21-E003,NOETHER-P21-DE-SEALEDP31,is_source_checked_by,NOETHER-P21-DE-PRINT-AUDIT,source_audit,four printed pages 68-71 inspected at 1000 dpi,verified
JA-P21-E004,NOETHER-P21-DE-PRINT-AUDIT,reports_no_source_defect,NOETHER-P21-DE-SEALEDP31,source_unit,byte identity to the closed audited head and final original-detail review under JA-D034,verified-negative-control
JA-P21-E005,NOETHER-P21-DE-PRIME-CROP,supports,JA-P21-DEC-SOURCE-PRIME,decision_record,tight central-identity and numerator crops adjudicate neighboring prime loci independently,verified-local-diagnostic
JA-P21-E006,NOETHER-P21-DE-PRINT-AUDIT,supports,JA-P21-DEC-SOURCE-PRIME,decision_record,all four print pages and P31 span agree after targeted reinspection,verified
JA-P21-E007,JA-P21-DEC-SOURCE-PRIME,closes_source_defect_candidate_on,NOETHER-P21-DE-SEALEDP31,source_unit,JA-D034 explicitly closes both preliminary shared Noether authority review prime messages and authorizes no German edit,closed-no-source-defect
JA-P21-E008,NOETHER-P21-JA,is_structurally_mapped_by,NOETHER-P21-STRUCTURE,structural_artifact,26 structural rows and 23 resolving dependency edges,verified
JA-P21-E009,NOETHER-P21-STRUCTURE,contains_correspondence,NOETHER-P21-DISPLAY-MAP,structural_artifact,12 display rows keyed to structural display IDs,verified
JA-P21-E010,NOETHER-P21-STRUCTURE,contains_correspondence,NOETHER-P21-NOTE-MAP,structural_artifact,14 note rows numbered 149 through 162,verified
JA-P21-E011,JA-P21-EV-P23-CONTINUITY,supports,JA-P21-DEC-FORMAL,decision_record,differential-invariant expression terminology continuity,sense-checked
JA-P21-E012,JA-P21-EV-P23-CONTINUITY,supports,JA-P21-DEC-TRANSFORM,decision_record,contragredient and explicit cogredient paraphrase continuity,sense-checked
JA-P21-E013,JA-P21-EV-P23-CONTINUITY,supports,JA-P21-DEC-COVDERIV,decision_record,covariant-derivative terminology continuity,sense-checked
JA-P21-E014,JA-P21-EV-N35,supplies_witness_only,JA-P21-DEC-LAGRANGE,decision_record,earlier Japanese Lagrange-expression wording without independent standardization,held
JA-P21-E015,JA-P21-EV-N35,supplies_witness_only,JA-P21-DEC-NOETHER,decision_record,earlier Japanese divergence and identity-relation wording,held
