record_id,concept_id,channel,form_or_issue,scope,evidence_or_reason,disposition,source_id,source_class,concept_match,provenance_level,review_status,permitted_use,linked_decision_record
JA-P21-A001,noe.p21.source_pointer,adverse,stale R821 current-authority pointer,Paper 21 source authority,03_projects/noether/00_current_german_authority remains stale at R821 while the controlling sealed P31 whole-file SHA is A48CB5CD1716974B686AC1CBA681CA4B17BC72F9043B78AD2528ACA41FCF814F.,Never use the stale pointer as current authority; cite the exact P31 path hash and lines 12583-12674.,noether-current-pointer,generated_corpus,wrong_version,internally_reviewed,rejected,adverse_evidence,SOURCE_CHECK.md
JA-P21-A002,noe.p21.inherited_witness,adverse,inherited Japanese mathematical and apparatus drift,Japanese Paper 21 witness,The inherited reader lost source primes in f'(dx) and delta f' changed h^(1)(dx delta x) to h^(1)(dx dx) changed note 78 to 72 and dropped the Christoffel-series closing bracket.,Use the inherited Japanese only as a prose witness and source-check every mathematical object.,noether-ja-cumulative-v001,draft_translation,near,internally_reviewed,rejected,adverse_evidence,SOURCE_CHECK.md
JA-P21-A003,noe.p21.source_prime_audit,negative_control,resolved apparent numerator-prime defect,Sealed Paper 21 authority,Original-detail inspection of the correct 1000-dpi print confirms unprimed partial f/partial dx_i while f'(dx) and delta f' are primed; P31 is faithful at all disputed loci.,Do not route a German correction; prior preliminary messages to shared Noether authority review were withdrawn and explicitly closed.,p21-source-1000dpi-audit,canonical_audit,exact,internally_reviewed,accepted,negative_control,SOURCE_CHECK.md
JA-P21-A004,noe.p21.formal_calculus_of_variations,absence,no exact independent Japanese hit for 形式的変分法,Japanese terminology shelf,The selected phrase has curated P23/P21 continuity and exact German context but no independently recovered Japanese source for the complete historical compound.,Use the source-tethered phrase with its explicit method sense and keep lexical promotion held.,japanese-local-shelf,absence_record,ambiguous,internally_reviewed,held,adverse_evidence,decisions/NOE-P21-FORMAL-VARIATION-DIFFERENTIAL-INVARIANTS.ja.json
JA-P21-A005,noe.p21.differential_invariant,competitor,微分不変量,Japanese invariant-theory shelf,量 can attract an arbitrary invariant quantity while this text repeatedly speaks of constructed differential expressions and forms.,Use 微分不変式 in P21 and retain the expression-versus-quantity sense window.,p23-ja-terminology-continuity,generated_corpus,ambiguous,internally_reviewed,rejected,competitor_evidence,decisions/NOE-P21-FORMAL-VARIATION-DIFFERENTIAL-INVARIANTS.ja.json
JA-P21-A006,noe.p21.lagrange_expressions,competitor,ラグランジュ方程式,Paper 21 first-use locus,The source term names the expressions psi_i; with P21's displayed 2 psi_i normalization each is one half of the Euler-Lagrange left-hand side and defines the same zero equation rather than naming the full equation as a syntactic object.,Use ラグランジュ式 and retain the first-use normalization gloss.,noether-p31-sealed-p21,canonical_source_authority,wrong_sense,internally_reviewed,rejected,competitor_evidence,decisions/NOE-P21-LAGRANGE-EXPRESSION-CENTRAL-EQUATION.ja.json
JA-P21-A007,noe.p21.lagrange_central_equation,absence,no independently standardized exact Japanese historical label,Paper 21 central identity,N35_cum_JA uses ラグランジュの中央方程式 but is an inherited draft; the P21 target selects 中心方程式 and defines it as the integral-free identity corresponding to integration by parts.,Keep the label source-defined and do not claim external standardization.,noether-ja-n35-cumulative,draft_translation,near,internally_reviewed,held,adverse_evidence,decisions/NOE-P21-LAGRANGE-EXPRESSION-CENTRAL-EQUATION.ja.json
JA-P21-A008,noe.p21.contragredient,competitor,反変,Recovered cumulative glossary and tensor terminology,反変 carries a nearby tensor-variance sense whereas independent Japanese representation-theory sources attest 反傾表現 for the dual representation.,Use 反傾 and keep the exact dual-transformation sense explicit.,noether-ja-gloss-cumulative,draft_glossary,ambiguous,internally_reviewed,rejected,competitor_evidence,decisions/NOE-P21-TRANSFORMATION-LAWS.ja.json
JA-P21-A009,noe.p21.cogredient,absence,共変 or 同変 or 共傾 forced as an exact lexeme,Japanese terminology shelf,No exact Japanese lexeme was accepted for kogredient at the P21 transformation-law loci and each competitor carries a nearby modern sense.,Use d と同じ変換則に従う or dx と同じ変換則に従うベクトル and keep the lexical slot unresolved.,japanese-local-shelf,absence_record,ambiguous,internally_reviewed,held,adverse_evidence,decisions/NOE-P21-TRANSFORMATION-LAWS.ja.json
JA-P21-A010,noe.p21.covariant_derivative,competitor,共変導関数 or ordinary directional derivative,Paper 21 equations 143-146,The source construction is a connection-dependent derivative formed by cancellation of second differentials; the alternate compound and ordinary derivative can obscure that role.,Use independently attested 共変微分 and retain the connection/cancellation sense window.,ja-sho5toma-geometry,native_independent_target_source,near,internally_reviewed,rejected,competitor_evidence,decisions/NOE-P21-COVARIANT-DERIVATIVE.ja.json
JA-P21-A011,noe.p21.curvature_form,competitor,曲率テンソル or 曲率二形式,Paper 21 Riemann-Lipschitz construction,Modern curvature objects are related but the source explicitly defines the historical invariant K through equations 144-146 and a specific elimination procedure.,Use 曲率形式 only with the K-formula sense window; keep exact Japanese historical attestation held.,noether-p31-sealed-p21,canonical_source_authority,near,internally_reviewed,rejected,competitor_evidence,decisions/NOE-P21-CURVATURE-SECOND-VARIATION.ja.json
JA-P21-A012,noe.p21.second_variation_normal_form,competitor,Hessian or Morse normal form,Paper 21 equation 144,The source normal form is the displayed Omega combination reached from delta-squared f and is not the modern Hessian normal form at a critical point.,Use 第二変分の正規形 with the exact equation-144 sense; do not generalize the label.,noether-p31-sealed-p21,canonical_source_authority,wrong_sense,internally_reviewed,rejected,competitor_evidence,decisions/NOE-P21-CURVATURE-SECOND-VARIATION.ja.json
JA-P21-A013,noe.p21.parallel_displacement,homonym,ordinary Euclidean 平行移動,Japanese geometry shelf,Sho5Toma chapter1 line 181 uses 平行移動 for Euclidean translations while lines 527-531 define vector parallel translation along a curve; the same surface spans two distinct senses.,Use ベクトルの平行移動 plus explicit connection/curve gloss in P21; reject the Euclidean reading.,ja-sho5toma-geometry,native_independent_target_source,ambiguous,internally_reviewed,rejected,adverse_evidence,decisions/NOE-P21-PARALLEL-DISPLACEMENT.ja.json
JA-P21-A014,noe.p21.invariant_variational_problem,competitor,variational problem merely involving an invariant,Paper 21 Noether-theorem closing paragraph,The source defines the class by invariance of the single or multiple integral J under a group in Lie's sense.,Use 不変変分問題 only with the J-invariance sense window.,noether-p31-sealed-p21,canonical_source_authority,wrong_sense,internally_reviewed,rejected,competitor_evidence,decisions/NOE-P21-NOETHER-IDENTITY-CLUSTER.ja.json
JA-P21-A015,noe.p21.total_divergence,homonym,analytic divergence or blow-up,Paper 21 Noether-theorem closing paragraph,The relevant divergence is a total-divergence expression producing a boundary term; generic 発散 also names vector-field divergence divergent series and blow-up.,Use 全発散式 at first definition and 発散式 thereafter while preserving the boundary-term gloss.,ja-sho5toma-and-noether-p13,mixed_japanese_sources,ambiguous,internally_reviewed,rejected,adverse_evidence,decisions/NOE-P21-NOETHER-IDENTITY-CLUSTER.ja.json
JA-P21-A016,noe.p21.noether_identity_dependence,competitor,causal or statistical dependence,Paper 21 infinite-group theorem,The source states rho identities among Lagrange expressions and derivatives through order sigma; generic 従属関係 is underdetermined.,Use 恒等的従属関係 and retain the order-sigma Noether-identity sense.,noether-p31-sealed-p21,canonical_source_authority,wrong_sense,internally_reviewed,rejected,competitor_evidence,decisions/NOE-P21-NOETHER-IDENTITY-CLUSTER.ja.json
JA-P21-A017,noe.p21.cjk_dominance,adverse,Mandarin-Simplified retrieval dominance risk,Japanese terminology evidence shelf,Shared Han-character retrieval can overrepresent Simplified-Chinese forms for invariants transformation laws differential geometry divergence and dependence terminology.,Record qualitative risk or debt only; never use it as Japanese authority or a readiness scalar.,cjk-evidence-shelf,mixed_cjk_sources,not_applicable,internally_reviewed,rejected,adverse_evidence,TERMINOLOGY_AND_ADVERSE_LEDGER.csv
JA-P21-A018,noe.p21.certification_boundary,absence,no external or community certification,Entire Paper 21 terminology package,All records are internal source and Japanese-evidence review; no independent Japanese human-reader or community return exists.,Keep external_review and human_comprehension pending and prohibit auto-promotion.,p21-ja-internal-review,generated_corpus,not_applicable,internally_reviewed,held,adverse_evidence,decisions/
