structural_id,parent_id,order,unit_type,source_locator,target_locator,label,dependency_ids,source_state,target_state,review_state,publication_state,confidence,ambiguity_note
P21-JA-ROOT,,0,article,DE 12583-12674,JA TeX 20-146,Paper 21,,verified,complete,source_and_visual_checked,internal-final,high,
P21-JA-U00,P21-JA-ROOT,10,source_unit,DE 12583-12594,JA TeX 20-32,title publication subsection and opening,,verified,complete,source_and_visual_checked,internal-final,high,
P21-JA-U00-TITLE,P21-JA-U00,11,apparatus,DE 12583-12586,JA TeX 21-25,article title and publication citation,,verified,complete,source_and_visual_checked,internal-final,high,
P21-JA-U00-SUBSECTION,P21-JA-U00,12,subsection,DE 12588-12592,JA TeX 27-30,internal item 28 heading and note 149,P21-JA-U00-TITLE,verified,complete,source_and_visual_checked,internal-final,high,
P21-JA-U00-OPENING,P21-JA-U00,13,prose_unit,DE 12593,JA TeX 32,Riemann and Lipschitz opening program,P21-JA-U00-SUBSECTION,verified,complete,source_and_visual_checked,internal-final,high,
P21-JA-U01,P21-JA-ROOT,20,source_unit,DE 12595-12616,JA TeX 34-61,variation problem and central identity,P21-JA-U00-OPENING,verified,complete,source_and_visual_checked,internal-final,high,
P21-JA-D-U01-01,P21-JA-U01,21,equation,DE 12596-12598,JA TeX 37-39,nondegenerate Hessian determinant,P21-JA-U01,verified,complete,source_and_visual_checked,internal-final,high,
P21-JA-D-U01-02,P21-JA-U01,22,equation,DE 12600-12601,JA TeX 41-45,variational problem 140,P21-JA-D-U01-01,verified,complete,source_and_visual_checked,internal-final,high,
P21-JA-D-U01-03,P21-JA-U01,23,equation,DE 12603-12605,JA TeX 47-49,Lagrange expression system,P21-JA-D-U01-02,verified,complete,source_and_visual_checked,internal-final,high,
P21-JA-D-U01-04,P21-JA-U01,24,equation,DE 12607-12611,JA TeX 51-55,Lagrange central identity,P21-JA-D-U01-03,verified,complete,source_and_visual_checked,internal-final,high,
P21-JA-D-U01-05,P21-JA-U01,25,equation,DE 12613-12616,JA TeX 57-60,quadratic-form specialization,P21-JA-D-U01-04,verified,complete,source_and_visual_checked,internal-final,high,
P21-JA-U02,P21-JA-ROOT,30,source_unit,DE 12617-12644,JA TeX 63-102,identity system vectors and covariant derivative,P21-JA-D-U01-05,verified,complete,source_and_visual_checked,internal-final,high,
P21-JA-D-U02-06,P21-JA-U02,31,equation,DE 12618-12628,JA TeX 65-78,three-part identity system 141,P21-JA-U02,verified,complete,source_and_visual_checked,internal-final,high,
P21-JA-D-U02-07,P21-JA-U02,32,equation,DE 12630-12633,JA TeX 80-83,mixed Lagrange-expression vector,P21-JA-D-U02-06,verified,complete,source_and_visual_checked,internal-final,high,
P21-JA-D-U02-08,P21-JA-U02,33,equation,DE 12635-12637,JA TeX 85-90,cogredient vector 142,P21-JA-D-U02-07,verified,complete,source_and_visual_checked,internal-final,high,
P21-JA-D-U02-09,P21-JA-U02,34,equation,DE 12641-12643,JA TeX 94-101,covariant derivative 143,P21-JA-D-U02-08,verified,complete,source_and_visual_checked,internal-final,high,
P21-JA-U03,P21-JA-ROOT,40,source_unit,DE 12646-12660,JA TeX 104-130,curvature form and second variation,P21-JA-D-U02-09,verified,complete,source_and_visual_checked,internal-final,high,
P21-JA-D-U03-10,P21-JA-U03,41,equation,DE 12647-12649,JA TeX 106-113,second-variation normal form 144,P21-JA-U03,verified,complete,source_and_visual_checked,internal-final,high,
P21-JA-D-U03-11,P21-JA-U03,42,equation,DE 12651-12652,JA TeX 115-119,curvature form K 145,P21-JA-D-U03-10,verified,complete,source_and_visual_checked,internal-final,high,
P21-JA-D-U03-12,P21-JA-U03,43,equation,DE 12654-12659,JA TeX 121-129,equivalent curvature identity 146,P21-JA-D-U03-11,verified,complete,source_and_visual_checked,internal-final,high,
P21-JA-U04,P21-JA-ROOT,50,source_unit,DE 12662-12664,JA TeX 132-135,reduction theorem and parallel displacement,P21-JA-D-U03-12,verified,complete,source_and_visual_checked,internal-final,high,
P21-JA-U04-REDUCTION,P21-JA-U04,51,thematic_prose,DE 12662,JA TeX 133,reduction theorem and normal-coordinate argument,P21-JA-D-U03-12,verified,complete,source_and_visual_checked,internal-final,high,
P21-JA-U04-PARALLEL,P21-JA-U04,52,thematic_prose,DE 12664,JA TeX 135,parallel displacement and generalized setting,P21-JA-U04-REDUCTION,verified,complete,source_and_visual_checked,internal-final,high,
P21-JA-U05,P21-JA-ROOT,60,source_unit,DE 12666-12674,JA TeX 137-146,invariant variational problems and closure,P21-JA-U04-PARALLEL,verified,complete,source_and_visual_checked,internal-final,high,
P21-JA-U05-THEOREM,P21-JA-U05,61,thematic_prose,DE 12666,JA TeX 138,finite and infinite group Noether identity cluster,P21-JA-U04-PARALLEL,verified,complete,source_and_visual_checked,internal-final,high,
P21-JA-U05-CLOSURE,P21-JA-U05,62,apparatus,DE 12668-12674,JA TeX 140-146,March 1921 closure group end page clear and note reset,P21-JA-U05-THEOREM,verified,complete,source_and_visual_checked,internal-final,high,
