node_id,node_type,label,language,provenance,status,sense_window,excluded_senses
NOETHER-P21-DE-SEALEDP31,source_unit,Noether Paper 21 sealed German unit,de,sealed P31 whole-file A48CB5CD1716974B686AC1CBA681CA4B17BC72F9043B78AD2528ACA41FCF814F; lines 12583-12674; raw CRLF unit 21C8472242F1748C64E843DB028441C489D986AC8CA67590D470ABD4318FD8B6; LF-normalized unit BFA5B55C28335C9A2E7078CC7BBEC3EAD9274E3DCCB98ABF2D0B486B1D0BBD85,verified,Complete German Paper 21 from title through footnote reset,stale R821 pointer; inherited Japanese authority; unsealed candidate head
NOETHER-P21-DE-PRINT-AUDIT,source_audit,Paper 21 four-page original-print audit,de,Noether_Localmachine-assisted model_20260717_P21_FullPaperAudit_from_20260715_v28; four printed pages 68-71 at 1000 dpi; source PDF D2E539C2CF74FC0A63C6FA031F6D4EAE42C18AFE704338C495311A7E4B59CAC1,verified,Original-print control for all four P21 pages and disputed prime family,Japanese terminology authority; unaudited OCR or VLM transcription
NOETHER-P21-DE-PRIME-CROP,evidence_source,Paper 21 central-identity original-detail crops,de,tmp/source_inspection/P21_p405_central_identity_crop.png SHA-256 3B8BE1FDC49570A5634F28B111D810C4B5FC91BD6ED29E340CB1D9C92FFD252D; numerator native crop SHA-256 02C6BA1556A8D96B1355D9B1E85AB1E29BC5B3547B1155A7A463D79F050D9CAD,verified-local-diagnostic,Exact neighboring prime loci on printed page 68,open publication payload; external certification; inference from full-page scale
NOETHER-P21-JA-INHERITED,draft_translation,Inherited Japanese Paper 21,ja,cumulative reader whole SHA-256 4A284DF3FAC4D53D305659B539AF2FEB17902BFB4C254A7DF62A155C6BC23131; article witness lines 11440-11546; lines 11547-11568 are excluded Paper 22 setup,witness-only,Pre-change Japanese prose continuity and adverse-evidence locator,source authority; exact mathematics; current terminology authority
NOETHER-P21-JA,translation_unit,Source-reconciled Japanese Paper 21,ja,Noether_Paper21_Japanese_SourceReconciled_v001.tex SHA-256 C8766BF85B516A356649AF5C72CC6B0C09FBDA00078C49DE4E47217907F15F42; accepted PDF SHA-256 BC9F967A46E75BC905F2ED2BBA5F12634C1E62E05F5FFF5F6E941BB31D0E524F; three accepted visual records,source-build-visual-checked,Complete Japanese Paper 21 with 12 display objects and 14 notes source-keyed to sealed P31,external community or human certification; completion of the full Japanese Noether corpus
NOETHER-P21-STRUCTURE,structural_artifact,Paper 21 structural index,en,STRUCTURAL_INDEX.csv and STRUCTURAL_INDEX.json; 26 rows; 23 resolving dependency edges; three resolving visual-evidence records,source-build-visual-checked,Article six source units title subsection 12 displays thematic ranges closure and accepted page placement,external certification
NOETHER-P21-DISPLAY-MAP,structural_artifact,Paper 21 display correspondence,en,DISPLAY_CORRESPONDENCE.csv; 12 source-target rows,content-checked,Five unnumbered displays and tags 140 through 146,count-only parity without symbol checking
NOETHER-P21-NOTE-MAP,structural_artifact,Paper 21 footnote correspondence,en,FOOTNOTE_CORRESPONDENCE.csv; 14 source-target rows,content-checked,Continuous note sequence 149 through 162,superscript literature references treated as footnotes
JA-P21-DEC-SOURCE-PRIME,decision_record,Final Paper 21 prime and source-defect disposition,en,Japanese lane decision logbook JA-D034; central-identity original-detail crops and independent source audit,closed-no-source-defect,Opening f'(dx) and delta f' are primed; Hessian formula 140 numerator derivative and following prose f are unprimed,mechanical prime propagation; surviving P21 German correction; open source-defect route
JA-P21-EV-P23-CONTINUITY,evidence_source,Japanese Paper 23 curated continuity,ja,source-reconciled Japanese P23 terminology and decisions for transformation laws covariant derivative and differential invariants,sense-checked,Curated Japanese Noether-lane continuity used only with the P21 German sense,independent P21 certification; Mandarin-Simplified authorization
