mapping_id,source_object,source_locator,source_representation,target_object,target_locator,target_representation,relation,review_state,note
P21-JA-D-U01-01,DE-P21-D01,DE 12596-12598,bracket,JA-P21-D01,JA TeX 37-39,bracket,one_to_one,content_checked,Hessian determinant retains unprimed f under JA-D034
P21-JA-D-U01-02,DE-P21-D02,DE 12600-12601,srcnumdisplay,JA-P21-D02,JA TeX 41-45,equation_tag,equivalent_representation,content_checked,tag 140 retains unprimed integrand f(x-prime)
P21-JA-D-U01-03,DE-P21-D03,DE 12603-12605,bracket,JA-P21-D03,JA TeX 47-49,bracket,one_to_one,content_checked,left side is 2 psi_i and normalization is not collapsed
P21-JA-D-U01-04,DE-P21-D04,DE 12607-12611,bracket,JA-P21-D04,JA TeX 51-55,bracket,one_to_one,content_checked,central identity retains delta f-prime and the f-delta numerator uses unprimed f under JA-D034
P21-JA-D-U01-05,DE-P21-D05,DE 12613-12616,bracket,JA-P21-D05,JA TeX 57-60,bracket,one_to_one,content_checked,quadratic specialization preserves d delta and psi_mu arguments
P21-JA-D-U02-06,DE-P21-D06,DE 12618-12628,srcnumdisplay,JA-P21-D06,JA TeX 65-78,equation_tag_aligned,equivalent_representation,content_checked,three-part identity system 141 preserves D d delta and all vector arguments
P21-JA-D-U02-07,DE-P21-D07,DE 12630-12633,bracket,JA-P21-D07,JA TeX 80-83,bracket,one_to_one,content_checked,mixed psi vector preserves square-bracket Christoffel symbol
P21-JA-D-U02-08,DE-P21-D08,DE 12635-12637,srcnumdisplay,JA-P21-D08,JA TeX 85-90,equation_tag,equivalent_representation,content_checked,cogredient vector 142 preserves raised sigma and brace symbol
P21-JA-D-U02-09,DE-P21-D09,DE 12641-12643,srcnumdisplay,JA-P21-D09,JA TeX 94-101,equation_tag_aligned,equivalent_representation,content_checked,covariant derivative 143 preserves h arguments and both subtraction terms
P21-JA-D-U03-10,DE-P21-D10,DE 12647-12649,srcnumdisplay,JA-P21-D10,JA TeX 106-113,equation_tag_aligned,equivalent_representation,content_checked,second-variation normal form 144 preserves Omega and differential orders
P21-JA-D-U03-11,DE-P21-D11,DE 12651-12652,srcnumdisplay,JA-P21-D11,JA TeX 115-119,equation_tag,equivalent_representation,content_checked,curvature form 145 preserves sign and paired p-psi terms
P21-JA-D-U03-12,DE-P21-D12,DE 12654-12659,srcnumdisplay,JA-P21-D12,JA TeX 121-129,equation_tag_aligned,equivalent_representation,content_checked,equivalent curvature identity 146 preserves one-half K and terminal punctuation
