decision_id,evidence_class,authority_role,unit_id,source_term_or_delta,source_locator,target_locator,chosen_english_or_action,normalization_class,adverse_delta,rejected_alternative,motivation,status,confidence,record_revision,continuation_cursor,revisit_condition
SGA2-VIII-D2B-TERM-001,terminology,corrected_french_tex,SGA2-VIII-D2B-STEP,consiste à déduire b de d,French2796,step heading,is to deduce b from d,proof_register,none,derive d from b,preserve implication direction and concise register,applied_self_reviewed,high,1,French line2807 after blank2806,register revision
SGA2-VIII-D2B-TERM-002,terminology,corrected_french_tex,SGA2-VIII-D2B-EXT,on applique VII.2.3,French2798,citation sentence,Applying Proposition VII.2.3,citation_register,adds object type from source label,applying VII.2.3 without proposition,exact source label confirms proposition and improves English navigation,applied_self_reviewed,high,1,French line2807 after blank2806,citation revision
SGA2-VIII-D2B-TERM-003,structural_register,corrected_french_tex,SGA2-VIII-D2B-E2,numéro précédent,French2801,spectral-sequence sentence,preceding subsection,SGA_structure_register,minor expansion,preceding number,avoids opaque French structural calque and matches earlier unit,applied_self_reviewed,medium,1,French line2807 after blank2806,cumulative structure review
SGA2-VIII-D2B-TERM-004,notation_normalization,corrected_french_tex_plus_established_english_register,SGA2-VIII-D2B-EXT,SheafExt macro renders underlined Ext,French2799-2804,both displays,calligraphic sheaf Ext,SGA2_English_sheaf_Ext_typography,typographic departure only,underlined Ext,preserves degrees supports nesting and arguments while following sealed English units,applied_self_reviewed_pending_independent_notation_review,high,1,French line2807 after blank2806,SGA-wide notation policy revision
SGA2-VIII-D2B-TERM-005,notation_normalization,corrected_french_tex_branch,SGA2-VIII-D2B-EXT,active Fa branch,French2800-2805,three formula occurrences,calligraphic F,corrected_branch_and_English_typography,none,plain F,active corrected branch and established English sheaf symbol agree,applied_self_reviewed_pending_independent_notation_review,high,1,French line2807 after blank2806,authority branch revision
SGA2-VIII-D2B-TERM-006,notation,corrected_french_tex,SGA2-VIII-D2B-FIN,ast abutment,French2805,last clause,calligraphic H superscript star supportY,source_notation_preservation,none,bullet from comparison candidate,preserve exact French symbol and reject candidate drift,applied_self_reviewed,high,1,French line2807 after blank2806,notation revision
SGA2-VIII-D2B-TERM-007,source_oddity_disposition,corrected_french_tex_plus_context,SGA2-VIII-D2B-FIN,nombre fini de couples p-q tels que p+q=i,French2805,concluding sentence,preserve literal body plus visible source note,transparent_source_oddity,source omits contributing-term restriction,silently strengthen to nonzero E2 terms,keeps authority unchanged while preventing a false standalone reading,applied_disclosed_pending_independent_review,high,1,French line2807 after blank2806,new source witness or mathematical review
SGA2-VIII-D2B-TERM-008,comparison_disposition,comparison_only_not_authority,SGA2-VIII-D2B-CAND,jcreinhold lines468-485,current candidate,comparison controls only,retain comparison-only status,candidate_adverse_control,candidate changes star to bullet and genericizes Ext-F,promote candidate wording or formulas,all accepted content is rederived from French authority,recorded_not_promoted,high,1,French line2807 after blank2806,candidate revision
SGA2-VIII-D2B-TERM-009,target_typography_repair,corrected_french_context_unchanged,SGA2-VIII-D2B-TEXTQA,finite-projective-dimension explanation,target-only source note S,source note S,keep compound on one TeX source line,target_typography_hygiene,first render showed an unwanted space after the line-end hyphen,retain finite-projective- dimension,repair visible typography without changing the source disposition,applied_and_independently_render_reviewed,high,1,French line2807 after blank2806,target note revision
SGA2-VIII-D2B-TERM-010,searchable_text_repair,corrected_french_formula_unchanged,SGA2-VIII-D2B-TEXTQA,nested Ext display parentheses,French2800 and2803,two Ext displays,use ordinary parentheses,searchable_pdf_hygiene,PDF extraction emitted two U+0001 bytes from sizing commands,retain bigl-bigr sizing commands,keep formulas unchanged while producing clean searchable text,applied_and_independently_rebuild_extraction_reviewed,high,1,French line2807 after blank2806,PDF toolchain revision
SGA2-VIII-D2B-TERM-011,independent_review_disposition,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-D2B-REVIEW,whole bounded unit,French2796-2805,final TeX PDF extraction and render,seal bounded unit at reviewed target identity,independent_review_disposition,two target-only QA repairs resolved,promote the superseded defective target,all source formula terminology locator and cursor controls pass,independently_source_formula_terminology_build_render_reviewed_and_sealed,high,1,French line2807 after blank2806,target TeX or authority revision
