alignment_id,evidence_class,authority_role,unit_id,parent_id,source_tex_lines,original_printed_pages,physical_source_pdf_pages,recomposed_running_pages,target_locator,coverage_status,decision,status,confidence,adverse_delta,rejected_alternative,cross_references,continuation_cursor,revisit_condition,record_revision
SGA2-VIII-D2B-ALIGN-001,source_alignment,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-D2B,,2796-2805,93,82,74,complete bounded target,complete,include complete second step d-implies-b and stop before third step,self_gated_production_pending_independent_review,high,none,extend across blank2806 into third step,OUTBOUND:SGA2-VIII-III2II,French line2807 after blank2806,independent source review,1
SGA2-VIII-D2B-ALIGN-002,source_structure,corrected_french_tex,SGA2-VIII-D2B-STEP,SGA2-VIII-D2B,2796,93,82,74,italic step heading,complete,preserve direction d implies b,self_reviewed_logic_pass,high,none,reverse implication or omit heading,SGA2-VIII-D2B-DSET,French line2807 after blank2806,independent logic review,1
SGA2-VIII-D2B-ALIGN-003,formula_alignment,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-D2B-DSET,SGA2-VIII-D2B,2798,93,82,74,D-of-Z-q definition and exclusion,complete,preserve dimension set y-in-Z-q quantifier and q+i nonmembership,self_reviewed_formula_pass,high,none,replace nonmembership with inequality or drop q quantifier,SGA2-VIII-D2B-EXT,French line2807 after blank2806,independent formula review,1
SGA2-VIII-D2B-ALIGN-004,source_branch,corrected_french_tex,SGA2-VIII-D2B-EXT,SGA2-VIII-D2B,2798-2800,93,82,74,PropositionVII.2.3 and coherent Ext display,complete,use corrected citation and corrected calligraphic-F branch with exact degrees,self_reviewed_formula_branch_pass,high,active corrected branches differ from original,use original VIII.2.2 citation or plain-F branch,SGA2-VIII-D2B-E2,French line2807 after blank2806,independent branch review,1
SGA2-VIII-D2B-ALIGN-005,formula_alignment,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-D2B-E2,SGA2-VIII-D2B,2801-2804,93,82,74,spectral-sequence initial term,complete,preserve E2 p-q outer degreep inner degree-minus-q supportY and argument order,self_reviewed_formula_pass,high,none,change inner degree sign or drop support subscript,SGA2-VIII-D2B-FIN,French line2807 after blank2806,independent spectral-sequence review,1
SGA2-VIII-D2B-ALIGN-006,source_oddity,corrected_french_tex_plus_context,SGA2-VIII-D2B-FIN,SGA2-VIII-D2B,2805,93,82,74,finite-pairs sentence and abutment,complete,preserve literal sentence and disclose implicit contributing-term restriction; retain H-star abutment,self_reviewed_source_oddity_disclosed,high,literal arbitrary-integer statement false,silently add nonzero E2 restriction or replace star by bullet,SGA2-VIII-D2B-BOUND,French line2807 after blank2806,independent mathematical review,1
SGA2-VIII-D2B-ALIGN-007,page_coordinate_control,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-D2B-PAGE,SGA2-VIII-D2B,2796-2805,93,82,74,authority box and source render,complete,keep page systems distinct and record no marker inside unit,self_reviewed_page_mapping_pass,high,marker93 before unit and94 after,claim a marker inside unit,SGA2-VIII-D2B-BOUND,French line2807 after blank2806,source repagination,1
SGA2-VIII-D2B-ALIGN-008,comparison_control,comparison_only_not_authority,SGA2-VIII-D2B-CAND,SGA2-VIII-D2B,jcreinhold468-485 compared with French2796-2805,93,82,74,comparison ledger,complete_comparison_only,accept no wording formula citation or bullet without direct French check,comparison_audited_not_promoted,high,candidate changes star to bullet and uses generic Ext-F,promote candidate as independent English authority,COMPARISON:jcreinhold_e7a259f,French line2807 after blank2806,candidate revision,1
SGA2-VIII-D2B-ALIGN-009,boundary_control,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-D2B-BOUND,SGA2-VIII-D2B,2805-2807,93,82,74,outbound cursor,complete,stop after d-implies-b conclusion; blank2806 excluded; third step starts2807,self_reviewed_boundary_pass,high,physical82 continues,extend because same source page,OUTBOUND:SGA2-VIII-III2II,French line2807 after blank2806,next-unit integration,1
SGA2-VIII-D2B-ALIGN-010,independent_review,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-D2B-REVIEW,SGA2-VIII-D2B,2796-2807,93,82,74,full bounded unit and continuation cursor,complete_independent_review,accept after two target-only QA repairs with French unchanged,independent_review_pass_after_typography_and_text_extraction_repairs,high,first target had a spaced compound and two extracted U+0001 bytes,retain the first defective target identity,SGA2-VIII-D2B-TEXTQA|SGA2-VIII-D2B-BOUND,French line2807 after blank2806,target TeX or authority revision,1
