"public_filename","bytes","checksum"
"10 Reader PDF - Al-Kashi - Miftah al-Hisab.pdf","162231","eaec04d6f4d81b8a7fe7193b21b843d3"
"10 Reader PDF - Al-Khwarizmi - Al-Jabr wa-l-Muqabala.pdf","168015","f122f1953d2ab5961e53a83f458a1676"
"10 Reader PDF - Al-Tusi - Shakl al-Qatta.pdf","44545","7ed99a3bf05f8b1c88f087227aafdda8"
"10 Reader PDF - Aryabhata - Aryabhatiya.pdf","87411","3574eb361a64ba69eca778d2a592f4ae"
"10 Reader PDF - Bhaskara II - Bijaganita.pdf","288337","3f3def24d83f456e589a4b22c3656745"
"10 Reader PDF - Bhaskara II - Lilavati.pdf","68964","22cc14a61916dfc8a808efd7ba8be072"
"10 Reader PDF - Brahmagupta - Brahmasphutasiddhanta Complete Draft.pdf","25115966","04a4b5bfdaca550eaa5b7650a364b4cf"
"10 Reader PDF - Brahmagupta - Brahmasphutasiddhanta Part I.pdf","501206","b2ac3fc8fcdde7bb56d14ca7944b4a70"
"10 Reader PDF - Brahmagupta - Brahmasphutasiddhanta Part II.pdf","24304251","26ff0bc121ee9fba06fdccc515e9f448"
"10 Reader PDF - Brahmagupta - Brahmasphutasiddhanta Part III.pdf","311387","88388441fea65feb67c4858a6c4d56ca"
"10 Reader PDF - Cayley - Collected Papers Partial Draft.pdf","15420282","69c0862c55e2f2811b962fc3fc10ae0c"
"10 Reader PDF - Chinese Mathematics - Ceyuan Haijing Detail.pdf","1213497","f1424f5a5bfaa1cd132b96338466e579"
"10 Reader PDF - Darboux - Lessons on the General Theory of Surfaces.pdf","2189721","419a921e90d1c9d44b3618679ca52563"
"10 Reader PDF - Dedekind - Was sind und was sollen die Zahlen.pdf","617235","e10a0916a4a968f75cc8c27ea19cd84e"
"10 Reader PDF - Dirichlet - Mathematische Werke.pdf","1339982","bedd94bb45a9478f20ac31c105f4a8e6"
"10 Reader PDF - Fricke and Klein - Automorphic Functions Volume II.pdf","187221","75c18a05786759d64706821f12282b7a"
"10 Reader PDF - Hausdorff - Set Theory.pdf","3907428","17598921ffaf077638e45f3556358e48"
"10 Reader PDF - Hecke - Lectures on Algebraic Number Theory.pdf","1488119","9cc35b750a8f099b9e768cbe7e794a40"
"10 Reader PDF - Killing - Transformation Groups.pdf","114376","b35d5a2f5ac914df23ce52f09d0c7eec"
"10 Reader PDF - Kummer - Selected Papers.pdf","1459026","b7f7a28215fd3c196bfbc87a7b56b879"
"10 Reader PDF - Landau - Algebraic Numbers and Ideals.pdf","1464673","1661cadc7995f4ad5f5676f5dba9ec07"
"10 Reader PDF - Landau - Analytic and Geometric Number Theory.pdf","1094594","e379420071d5557464c12016e0c38f0a"
"10 Reader PDF - Landau - Distribution of Prime Numbers Volume I.pdf","1705697","df50187a0e99a3f0c1288149cb0878fb"
"10 Reader PDF - Landau - Distribution of Prime Numbers Volume II Chapter 5.pdf","190081","fa9ba688c81d8ba5e75120c0e51f44e6"
"10 Reader PDF - Landau - Distribution of Prime Numbers Volume II Part 7.pdf","185128","0dae06cceb37f11671ea724e4bd7782d"
"10 Reader PDF - Landau - Distribution of Prime Numbers Volume II.pdf","964421","98ed4eceecca9ebad5f7a74e014bf180"
"10 Reader PDF - Landau - Lectures on Number Theory Volume I.pdf","1417381","32403132c1cb1cd1a8d58bf3a42f6470"
"10 Reader PDF - Landau - Lectures on Number Theory Volume II.pdf","653395","ed4f63be5b3b99c8866c58c7623533b4"
"10 Reader PDF - Landau - Lectures on Number Theory Volume III.pdf","591865","e61779bb29aa8392330344da96703489"
"10 Reader PDF - Li Ye - Ceyuan Haijing and Fenlei Shishu.pdf","511534","40f5cf4ffdb2b12c115a71ab80c7c02d"
"10 Reader PDF - Li Ye - Ceyuan Haijing.pdf","538551","a31bd615ffc18064c132863cfd623b20"
"10 Reader PDF - Lie - Theory of Transformation Groups Volume I.pdf","401695","8657b0206fad94d376621c8846b9f4de"
"10 Reader PDF - Macaulay - Algebraic Theory of Modular Systems.pdf","290597","ba99e322cf17270dbf115dc52fbb5bd7"
"10 Reader PDF - Minkowski - Diophantine Approximations.pdf","1614368","e48a18fe26319c6ea097db6d1cad09b4"
"10 Reader PDF - Minkowski - Geometry of Numbers.pdf","1946598","31d07463190a3995cd196dfa4f38c5f0"
"10 Reader PDF - Nine Chapters on the Mathematical Art.pdf","576733","5c40d330556082a6362627f8b3a00c61"
"10 Reader PDF - Omar Khayyam - Sinaat al-Jabr.pdf","236858","cf85b954c7bbdcdd9ed874ce15277815"
"10 Reader PDF - Picard - Traite d analyse.pdf","2123122","e34d2eda14d2ad8391d6811b1e4b292f"
"10 Reader PDF - Qin Jiushao - Shushu Jiuzhang.pdf","754436","f71b89ffcec5e59369362dc6e0e7f7d3"
"10 Reader PDF - Riemann - Gesammelte Werke Complete Draft.pdf","2929141","81fe4e23ebf9ed5fd8fadf9f71e741d5"
"10 Reader PDF - Riemann - Selected Papers.pdf","1389110","a44b5da0cd2b5e6fdd11de1dc8be9649"
"10 Reader PDF - Rosen - Algebra of Mohammed ben Musa 1831.pdf","65227","4d97ce1f613aba2540ffef9b875da2bb"
"10 Reader PDF - Ruska - Zur aeltesten arabischen Algebra 1917.pdf","114046","a0ae069c73047e788341374e8d007caf"
"10 Reader PDF - SGA 1 - Revetements etales et groupe fondamental Modern French.pdf","2566756","5b1ff2d81439539148a92e8adb11e0be"
"10 Reader PDF - SGA 2 - Cohomologie locale Modern French.pdf","1576954","970e18b712340b5e3583baf898d134cd"
"10 Reader PDF - SGA 3 - Schemas en groupes Modern French.pdf","14162018","36c2a3f70c8ba41ae98fa0ece6480841"
"10 Reader PDF - SGA 4 - Theorie des topos et cohomologie etale Modern French.pdf","4851249","bc3e2fb69c2c2ed4eb61e41699fd8b11"
"10 Reader PDF - SGA 4 Expose I - English Translation Draft Through 8.8.pdf","1631829","885a39d16f8ac5580f26fa566e7e0044"
"10 Reader PDF - SGA 5 - Working LaTeX Compilation.pdf","1645919","01c18fea76c39820117dac5dec60dd7f"
"10 Reader PDF - SGA 6 - Working LaTeX Compilation.pdf","2819265","9e27cb12b5c544ab86710a01a180c708"
"10 Reader PDF - SGA 7 I - Working LaTeX Compilation.pdf","1877905","22e9212f1843e7d4b288a4c733e5d52b"
"10 Reader PDF - SGA 7 II - Working LaTeX Compilation.pdf","1383357","78e1a09b8a8af7971563d08d4bd4a109"
"10 Reader PDF - Sunzi - Suanjing.pdf","130015","f3d3a2a7669e8ea7774f26e43dbad0fc"
"10 Reader PDF - Weber - Lehrbuch der Algebra Page-Range Draft.pdf","1429231","cf82d800c9cfe4acc9e0b4b331539702"
"10 Reader PDF - Weber - Lehrbuch der Algebra Volume I Complete Draft.pdf","2533747","9d6a40269d0c4bcbbf02f8e37f04ab46"
"10 Reader PDF - Weber - Lehrbuch der Algebra Volume I.pdf","330069","99913c77bc0e4661dbd6855aace2dd03"
"10 Reader PDF - Yang Hui - Xiangjie Jiuzhang.pdf","567377","263899c9fdad91d7b0854df5d67c074a"
