"work","public_title","format","bytes","last_write_time"
"Weber","Lehrbuch der Algebra, Volume II: Preface and opening section","PDF","143456","2026-05-27 13:40:40"
"Weber","Lehrbuch der Algebra, Volume II: Preface and opening section","TeX","3912","2026-05-27 13:40:41"
"Weber","Lehrbuch der Algebra, Volume II: Group theory sections 2-6","PDF","36953","2026-05-27 13:40:20"
"Weber","Lehrbuch der Algebra, Volume II: Group theory sections 2-6","TeX","7664","2026-05-27 13:40:28"
"Weber","Lehrbuch der Algebra, Volume II: Composition series and metacyclic groups","PDF","161944","2026-05-27 14:41:39"
"Weber","Lehrbuch der Algebra, Volume II: Composition series and metacyclic groups","TeX","2595","2026-05-27 14:41:41"
"Noether","Invariant theory in n variables","PDF","175171","2026-05-27 14:41:57"
"Noether","Invariant theory in n variables","TeX","6501","2026-05-27 14:41:58"
"Noether","Finiteness theorem for invariants of finite groups","PDF","42228","2026-05-27 15:09:02"
"Noether","Finiteness theorem for invariants of finite groups","TeX","6570","2026-05-27 15:09:07"
"Weber","Lehrbuch der Algebra, Volume II: Abelian groups, bases, and invariants","PDF","222402","2026-05-27 16:16:38"
"Weber","Lehrbuch der Algebra, Volume II: Abelian groups, bases, and invariants","TeX","13416","2026-05-27 16:16:45"
"Weber","Lehrbuch der Algebra, Volume II: Group characters and reciprocal groups","PDF","219537","2026-05-27 16:59:50"
"Weber","Lehrbuch der Algebra, Volume II: Group characters and reciprocal groups","TeX","13622","2026-05-27 17:00:05"
"Noether","Integral rational representation of invariants","PDF","174218","2026-05-27 17:00:11"
"Noether","Integral rational representation of invariants","TeX","5332","2026-05-27 17:00:01"
"Weber","Lehrbuch der Algebra, Volume II: Lagrange resolvents","PDF","203892","2026-05-27 17:51:11"
"Weber","Lehrbuch der Algebra, Volume II: Lagrange resolvents","TeX","14934","2026-05-27 17:51:15"
"Weber","Lehrbuch der Algebra, Volume II: Linear substitutions","PDF","190858","2026-05-27 18:46:14"
"Weber","Lehrbuch der Algebra, Volume II: Linear substitutions","TeX","8419","2026-05-27 18:46:18"
"Noether","Integral rational representation of invariants, continuation","PDF","220560","2026-05-27 18:46:24"
"Noether","Integral rational representation of invariants, continuation","TeX","11006","2026-05-27 18:46:27"
"Weber and Noether","Current cumulative source package","ZIP","1387197","2026-05-27 17:51:17"
"Weber and Noether","Current translation package","ZIP","1804812","2026-05-27 18:46:45"
