filename,priority,issue_type,reasons,pages,blank_or_near_blank_count,blank_pages,garbage_chars_total,process_note_assessment,suggested_next_action
01 Combined English Translations.pdf,P1,square/missing glyphs in extracted text,garbage_chars=727,1213,24,"16, 751, 907, 910, 911, 921, 938, 941, 979, 990, 991, 995, 1007, 1012, 1013, 1016, 1017, 1037, 1151, 1153, 1157, 1158, 1163, 1164",727,no process-note hit; quality/layout issue only,recompile from TeX with verified CJK/Sanskrit fonts or replace damaged glyph runs from source TeX
02 Combined Modern Chinese Renderings.pdf,P1,square/missing glyphs in extracted text,garbage_chars=371,460,13,"17, 35, 90, 135, 175, 247, 276, 303, 321, 323, 360, 362, 446",371,no process-note hit; quality/layout issue only,recompile from TeX with verified CJK/Sanskrit fonts or replace damaged glyph runs from source TeX
04 Chinese Originals - Modern LaTeX.pdf,P1,square/missing glyphs in extracted text; process-pattern or placeholder text hit,garbage_chars=498; process_hits=1,587,14,"2, 28, 87, 109, 130, 155, 183, 218, 261, 376, 397, 413, 446, 507",498,possible placeholder/front-matter word; verify and replace if it is editorial scaffolding,recompile from TeX with verified CJK/Sanskrit fonts or replace damaged glyph runs from source TeX; review text context: in the history of math- ematics: • Symbolic algebra: The use of “元” (yuan) as a placeholder for the unknown predates Eur
06 Islamic and Arabic Originals - Modern LaTeX.pdf,P2,process-pattern or placeholder text hit,process_hits=1,228,36,"2, 40, 62, 167, 168, 170, 185, 187, 188, 189, 190, 191, 192, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206",0,likely manuscript-codex false positive; verify visually/textually before changing,"review text context: d (MS Hunt. 214, fols. 1–123), copied in 743 AH / 1342 CE. It forms part of the codex designated CMXXVIII, which also co"
"10-02 English Translation - Li Ye - Ceyuan Haijing, vols. 1-12.pdf",P1,square/missing glyphs in extracted text,garbage_chars=727,144,0,,727,no process-note hit; quality/layout issue only,recompile from TeX with verified CJK/Sanskrit fonts or replace damaged glyph runs from source TeX
10-18 English Translation - al-Muqaddasi - Ahsan al-Taqasim.pdf,P2,sparse/near-blank text extraction on several pages,many_blank_text_pages=6,15,6,"1, 3, 7, 8, 13, 14",0,no process-note hit; quality/layout issue only,"visually compare sampled pages to source scan; keep if these are intentional scan/plate pages, otherwise rebuild"
"20-02 Modern Chinese - Li Ye - Ceyuan Haijing, vols. 1-12.pdf",P1,square/missing glyphs in extracted text,garbage_chars=371,89,1,47,371,no process-note hit; quality/layout issue only,recompile from TeX with verified CJK/Sanskrit fonts or replace damaged glyph runs from source TeX
30-04 Arabic Translation - al-Kashi - Miftah al-Hisab.pdf,P2,sparse/near-blank text extraction on several pages,many_blank_text_pages=10,38,10,"2, 3, 4, 6, 10, 14, 18, 26, 30, 32",0,no process-note hit; quality/layout issue only,"visually compare sampled pages to source scan; keep if these are intentional scan/plate pages, otherwise rebuild"
"40-02 Chinese Original - Li Ye - Ceyuan Haijing, vols. 1-12.pdf",P1,square/missing glyphs in extracted text,garbage_chars=498,95,4,"2, 24, 45, 70",498,no process-note hit; quality/layout issue only,recompile from TeX with verified CJK/Sanskrit fonts or replace damaged glyph runs from source TeX
"40-08 Chinese Original - Zhu Shijie - Suanxue Qimeng, parts 1-2.pdf",P1,process-pattern or placeholder text hit,process_hits=1,52,0,,0,possible placeholder/front-matter word; verify and replace if it is editorial scaffolding,review text context: in the history of math- ematics: • Symbolic algebra: The use of “元” (yuan) as a placeholder for the unknown predates Eur
60-02 Islamic Original - al-Khwarizmi - Algebra.pdf,P2,process-pattern or placeholder text hit,process_hits=1,47,2,"14, 36",0,likely manuscript-codex false positive; verify visually/textually before changing,"review text context: d (MS Hunt. 214, fols. 1–123), copied in 743 AH / 1342 CE. It forms part of the codex designated CMXXVIII, which also co"
60-07 Islamic Original - Robert of Chester and Karpinski.pdf,P2,process-pattern or placeholder text hit,process_hits=10,204,29,"1, 3, 4, 5, 6, 7, 11, 16, 18, 59, 60, 61, 62, 71, 72, 73, 74, 90, 91, 92, 94, 119, 188, 199, 200",0,likely manuscript-codex false positive; verify visually/textually before changing,"review text context: TA MELBOURNE THE MACMILLAN CO. OF CANADA, Ltd. TORONTO Plate I. no lillli 4^^ Codex Vindobonensfs 4770, Fol. 1'''. ROBER | Fakhri, p. 29. ' The Algebra of Abu Kaviil, loc. cit. ^Scritti, Vol. I, p. i. 5 Codex Palat. 567, Biblioteca Nazionale,  | also in Zeitschrift f. Math, uiid Physik, Hist.-Ut. Abtheil., Vol. 45, 1900. ^ Codex Dresden C. 80. 3 Woepcke, Atti delV"
70-02 Reference Text - al-Muqaddasi - Ahsan al-Taqasim.pdf,P2,sparse/near-blank text extraction on several pages,many_blank_text_pages=6,15,6,"1, 3, 7, 8, 13, 14",0,no process-note hit; quality/layout issue only,"visually compare sampled pages to source scan; keep if these are intentional scan/plate pages, otherwise rebuild"
