filename,bytes,severity,reasons,pages,text_chars,blank_or_near_blank_text_pages,blank_or_near_blank_count,garbage_chars_total,garbage_chars_by_char,garbage_by_page,process_hits
00 Index - Non-European Mathematics Corpus.pdf,49821,ok,,5,8605,[],0,0,{},[],[]
01 Combined English Translations.pdf,10593999,review,garbage_chars=727; process_hits=2,1498,2714421,"[368, 968, 1154, 1176, 1193, 1221, 1264, 1275, 1276, 1280, 1292, 1297, 1298, 1301, 1302, 1322, 1436, 1438, 1442, 1443, 1448, 1449]",22,727,"{'■': 357, '□': 370}","[{'page': 267, 'garbage_chars': 2}, {'page': 268, 'garbage_chars': 6}, {'page': 269, 'garbage_chars': 27}, {'page': 270, 'garbage_chars': 28}, {'page': 271, 'garbage_chars': 22}, {'page': 272, 'garbage_chars': 23}, {'page': 273, 'garbage_chars': 19}, {'page': 274, 'garbage_chars': 30}, {'page': 275, 'garbage_chars': 10}, {'page': 276, 'garbage_chars': 22}, {'page': 277, 'garbage_chars': 25}, {'page': 278, 'garbage_chars': 6}, {'page': 279, 'garbage_chars': 50}, {'page': 280, 'garbage_chars': 23}, {'page': 281, 'garbage_chars': 32}, {'page': 282, 'garbage_chars': 39}, {'page': 283, 'garbage_chars': 30}, {'page': 284, 'garbage_chars': 40}, {'page': 285, 'garbage_chars': 29}, {'page': 286, 'garbage_chars': 20}, {'page': 287, 'garbage_chars': 24}, {'page': 288, 'garbage_chars': 16}, {'page': 289, 'garbage_chars': 24}, {'page': 290, 'garbage_chars': 16}, {'page': 291, 'garbage_chars': 24}]","[{'pattern': '\\bCodex\\b', 'match': 'codex', 'context': 'd (MS Hunt. 214, fols. 1–123), copied in 743 AH / 1342 CE. It forms part of the codex designated CMXXVIII, which also contains three other treatises on arithmetic and algebra. Editions and Translations: [1'}, {'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'thematical texts Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - English bilingual translation drafts. \x88 This combined PDF is meant for quick browsing across the curren'}]"
02 Combined Modern Chinese Renderings.pdf,5496916,review,garbage_chars=371; process_hits=1,515,474216,"[18, 36, 47, 87, 225, 277, 279, 281, 293, 331, 358, 376, 378, 415, 417, 501]",16,371,"{'■': 2, '□': 369}","[{'page': 226, 'garbage_chars': 2}, {'page': 227, 'garbage_chars': 10}, {'page': 228, 'garbage_chars': 21}, {'page': 229, 'garbage_chars': 12}, {'page': 230, 'garbage_chars': 21}, {'page': 231, 'garbage_chars': 20}, {'page': 232, 'garbage_chars': 10}, {'page': 233, 'garbage_chars': 14}, {'page': 234, 'garbage_chars': 18}, {'page': 235, 'garbage_chars': 20}, {'page': 236, 'garbage_chars': 24}, {'page': 237, 'garbage_chars': 27}, {'page': 238, 'garbage_chars': 15}, {'page': 239, 'garbage_chars': 18}, {'page': 240, 'garbage_chars': 27}, {'page': 241, 'garbage_chars': 14}, {'page': 242, 'garbage_chars': 14}, {'page': 243, 'garbage_chars': 22}, {'page': 244, 'garbage_chars': 24}, {'page': 245, 'garbage_chars': 29}, {'page': 246, 'garbage_chars': 9}]","[{'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'o modern Chinese Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - Classical-modern Chinese translation drafts. \x88 This combined PDF is meant for quick browsing across the'}]"
03 Combined Arabic Translation Drafts.pdf,1750748,review,process_hits=1,258,349526,"[3, 57, 146, 148, 149, 150, 152, 156, 160, 164, 172, 176, 178, 226]",14,0,{},[],"[{'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'and al-Khwarizmi Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - Arabic translation drafts. \x88 This combined PDF is meant for quick browsing across the current translati'}]"
04 Chinese Originals - Modern LaTeX.pdf,7482214,review,garbage_chars=498; process_hits=2,601,538732,"[66, 67, 91, 94, 129, 172, 234, 261, 424, 426, 456, 515, 517]",13,498,"{'■': 2, '□': 496}","[{'page': 283, 'garbage_chars': 1}, {'page': 284, 'garbage_chars': 28}, {'page': 285, 'garbage_chars': 30}, {'page': 286, 'garbage_chars': 19}, {'page': 287, 'garbage_chars': 21}, {'page': 288, 'garbage_chars': 20}, {'page': 289, 'garbage_chars': 16}, {'page': 290, 'garbage_chars': 8}, {'page': 291, 'garbage_chars': 22}, {'page': 292, 'garbage_chars': 31}, {'page': 293, 'garbage_chars': 33}, {'page': 294, 'garbage_chars': 29}, {'page': 295, 'garbage_chars': 43}, {'page': 296, 'garbage_chars': 22}, {'page': 297, 'garbage_chars': 28}, {'page': 298, 'garbage_chars': 24}, {'page': 299, 'garbage_chars': 14}, {'page': 300, 'garbage_chars': 23}, {'page': 301, 'garbage_chars': 40}, {'page': 302, 'garbage_chars': 29}, {'page': 303, 'garbage_chars': 16}, {'page': 305, 'garbage_chars': 1}]","[{'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'X working drafts Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - Chinese original-language modern LaTeX drafts. \x88 This combined PDF is meant for quick browsing across t'}, {'pattern': '\\bplaceholder\\b', 'match': 'placeholder', 'context': 'in the history of math- ematics: • Symbolic algebra: The use of “元” (yuan) as a placeholder for the unknown predates European alge- braic notation by centuries. • Polynomial equations: Chinese mathematicians cou'}]"
05 Indian Originals - Modern LaTeX.pdf,2189289,review,process_hits=1,387,386321,"[6, 18, 19, 22, 57, 83, 97, 108, 160, 179, 198, 199, 200, 202, 203, 227, 229, 241, 256, 278, 306, 331, 370]",23,0,{},[],"[{'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'X working drafts Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - Indian original-language modern LaTeX drafts. \x88 This combined PDF is meant for quick browsing across th'}]"
06 Islamic and Arabic Originals - Modern LaTeX.pdf,1003071,review,process_hits=2,167,319693,"[3, 41, 63]",3,0,{},[],"[{'pattern': '\\bCodex\\b', 'match': 'codex', 'context': 'd (MS Hunt. 214, fols. 1–123), copied in 743 AH / 1342 CE. It forms part of the codex designated CMXXVIII, which also contains three other treatises on arithmetic and algebra. Editions and Translations: [1'}, {'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'X working drafts Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - Islamic and Arabic mathematical original-language modern LaTeX drafts. \x88 This combined PDF is meant for'}]"
07 Historical References - Modern LaTeX.pdf,586040,review,process_hits=1,74,149251,"[2, 4, 8, 9, 14, 15]",6,0,{},[],"[{'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'X working drafts Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - Historical reference texts and witnesses. \x88 This combined PDF is meant for quick browsing across the cu'}]"
"10-01 English Translation - Nine Chapters, vols. 1-9.pdf",715733,review,process_hits=2,71,57107,[],0,0,{},[],"[{'pattern': '\\bsource\\s+TeX\\b', 'match': 'source TeX', 'context': 'English Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support material are in the ZIP artifacts. 1 九章算術 卷一至卷三 目次 卷一 方田 卷二 粟米 卷三 衰分 劉徽 李淳風 對照文本 劉徽九章算術注原序 卷第一：方田 卷第二：粟米'}, {'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'lish Translation Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - English Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support m'}]"
"10-02 English Translation - Li Ye - Ceyuan Haijing, vols. 1-12.pdf",1329133,review,garbage_chars=727; process_hits=2,145,333630,[],0,727,"{'■': 357, '□': 370}","[{'page': 60, 'garbage_chars': 2}, {'page': 61, 'garbage_chars': 6}, {'page': 62, 'garbage_chars': 27}, {'page': 63, 'garbage_chars': 28}, {'page': 64, 'garbage_chars': 22}, {'page': 65, 'garbage_chars': 23}, {'page': 66, 'garbage_chars': 19}, {'page': 67, 'garbage_chars': 30}, {'page': 68, 'garbage_chars': 10}, {'page': 69, 'garbage_chars': 22}, {'page': 70, 'garbage_chars': 25}, {'page': 71, 'garbage_chars': 6}, {'page': 72, 'garbage_chars': 50}, {'page': 73, 'garbage_chars': 23}, {'page': 74, 'garbage_chars': 32}, {'page': 75, 'garbage_chars': 39}, {'page': 76, 'garbage_chars': 30}, {'page': 77, 'garbage_chars': 40}, {'page': 78, 'garbage_chars': 29}, {'page': 79, 'garbage_chars': 20}, {'page': 80, 'garbage_chars': 24}, {'page': 81, 'garbage_chars': 16}, {'page': 82, 'garbage_chars': 24}, {'page': 83, 'garbage_chars': 16}, {'page': 84, 'garbage_chars': 24}]","[{'pattern': '\\bsource\\s+TeX\\b', 'match': 'source TeX', 'context': 'English Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support material are in the ZIP artifacts. 1 測圓海鏡 Sea Mirror of Circle Measurements 卷一—卷三 | Volumes I –III Bilingu'}, {'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'lish Translation Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - English Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support m'}]"
