branch,root,classification,files,bytes,zip_files,pdf_files,tex_files,md_files,csv_files,json_files
origin/codex/noether-pc-20260629,reader-pdfs,root/support or legacy file,430,1276355914,0,429,0,1,0,0
origin/codex/noether-pc-20260629,language-source-bodies/romance-b3-transfer-ready-20260706,source-body corpus package,110,1154585810,0,0,69,7,13,3
origin/codex/noether-pc-20260629,interlanguage-sidecar/20260704,interlanguage method/provenance package,626,749466515,27,137,217,48,47,47
origin/codex/noether-pc-20260629,sources/sga,legacy/source mirror package,403,646585741,0,68,98,54,58,7
origin/codex/noether-pc-20260629,language-source-bodies/rtl-persianate-arabic,source-body corpus package,317,391838129,2,54,1,25,17,23
origin/codex/noether-pc-20260629,language-source-bodies/r6-indigenous-creole-sign-20260705,source-body corpus package,195,364134758,0,43,0,38,49,28
origin/codex/noether-pc-20260629,sources/noether,legacy/source mirror package,610,356920290,0,294,231,12,14,5
origin/codex/noether-pc-20260629,language-source-bodies/rtl-persianate-arabic-20260705-r3-full-source-bodies,source-body corpus package,194,341335118,6,56,4,6,8,2
origin/codex/noether-pc-20260629,uploader-transfer/r3-whole-corpus-postpush-b3-handoff-20260706,uploader transfer/provenance package,20,331633334,6,0,0,2,3,1
origin/codex/noether-pc-20260629,sources/gauss,legacy/source mirror package,508,266534575,0,153,277,11,13,9
origin/codex/noether-pc-20260629,interlanguage-sidecar/20260706,interlanguage method/provenance package,413,213778049,32,4,0,107,66,143
origin/codex/noether-pc-20260629,language-source-bodies/slavic-non-ru-uk-20260705,source-body corpus package,221,206322311,6,34,4,20,34,16
origin/codex/noether-pc-20260629,sources/deligne,legacy/source mirror package,704,150746582,0,339,253,48,35,5
origin/codex/noether-pc-20260629,sources/non-european,legacy/source mirror package,549,147580082,0,196,231,10,24,46
origin/codex/noether-pc-20260629,language-source-bodies/arabic-rtl-source-bodies-20260705,source-body corpus package,133,146057964,0,27,0,5,7,7
origin/codex/noether-pc-20260629,noether-source-corpus-provenance/20260704,Noether source-corpus provenance package,550,140644842,5,0,521,4,13,2
origin/codex/noether-pc-20260629,sources/classical,legacy/source mirror package,811,136816845,0,292,427,17,7,1
origin/codex/noether-pc-20260629,sources/steinitz,legacy/source mirror package,177,135821093,0,60,58,5,2,1
origin/codex/noether-pc-20260629,publish_staging,root/support or legacy file,51,134332787,49,0,0,0,0,2
origin/codex/noether-pc-20260629,language-source-bodies/r7-malay-sea-pacific-20260705,source-body corpus package,59,117318109,0,28,0,3,2,1
origin/codex/noether-pc-20260629,transfer-audits/session12-20260705,transfer audit package,1075,106419762,2,0,0,144,772,24
origin/codex/noether-pc-20260629,noether-slavic-handoff/20260629,Noether Slavic handoff package,4486,97260874,0,0,50,1230,1349,995
origin/codex/noether-pc-20260629,language-source-bodies/persianate-tajik-source-bodies-20260705,source-body corpus package,60,92397501,2,16,0,6,1,3
origin/codex/noether-pc-20260629,sources/sylvester,legacy/source mirror package,20,76156899,0,8,3,3,2,1
origin/codex/noether-pc-20260629,interlanguage-sidecar/20260705,interlanguage method/provenance package,715,68087276,2,6,172,160,155,85
origin/codex/noether-pc-20260629,language-source-bodies/pan-turkic-source-bodies-20260705,source-body corpus package,282,67116263,3,20,33,36,61,3
origin/codex/noether-pc-20260629,sources/dirichlet,legacy/source mirror package,54,50476405,0,21,13,5,5,2
origin/codex/noether-pc-20260629,transfer-audits/old-b,transfer audit package,214,49880438,0,0,0,18,170,12
origin/codex/noether-pc-20260629,interlanguage-sidecar/fable-turkic-source-canon-pass-20260705,interlanguage method/provenance package,28,47950446,0,5,0,4,7,6
origin/codex/noether-pc-20260629,workflow,root/support or legacy file,228,43163332,8,66,0,51,12,55
origin/codex/noether-pc-20260629,handoff-bodies/olp-relation-function-support-20260705,handoff/support source-body package,207,26718197,1,1,3,32,25,37
origin/codex/noether-pc-20260629,noether-slavic-source-canon/20260704,Noether Slavic source-canon package,509,23718775,3,0,479,3,18,3
origin/codex/noether-pc-20260629,language-source-bodies/cjk,source-body corpus package,88,20199714,3,6,4,20,32,14
origin/codex/noether-pc-20260629,language-source-bodies/rtl-persianate-arabic-20260705-r3-witness-layer,source-body corpus package,15,18559223,3,4,3,2,1,1
origin/codex/noether-pc-20260629,sources/weber,legacy/source mirror package,31,18494524,0,10,9,6,0,3
origin/codex/noether-pc-20260629,language-source-bodies/cjk-draft-source-evidence-20260705,source-body corpus package,29,17235165,3,6,2,5,4,6
origin/codex/noether-pc-20260629,uploader-transfer/interlanguage-fable-6034c6b4-current-frontier-authority-routing-20260707,uploader transfer/provenance package,776,14726325,0,0,0,114,502,96
origin/codex/noether-pc-20260629,uploader-transfer/post-212df-output-drift-20260706,uploader transfer/provenance package,155,14196414,1,0,0,38,75,31
origin/codex/noether-pc-20260629,interlanguage-sidecar/whole-corpus-authority-routing-continuation-20260706,interlanguage method/provenance package,53,12058077,0,0,0,20,11,21
origin/codex/noether-pc-20260629,uploader-transfer/r3-cycle3-ur-ota-source-body-review-only-b3-handoff-20260706,uploader transfer/provenance package,10,11521136,1,0,0,2,6,0
origin/codex/noether-pc-20260629,interlanguage-sidecar/rtl-persianate-arabic-8e839c49-source-gated-draft-gap-row-refresh-20260706,interlanguage method/provenance package,22,9720616,0,0,0,1,19,1
origin/codex/noether-pc-20260629,manifests,root/support or legacy file,1752,8978400,0,0,0,324,15,1413
origin/codex/noether-pc-20260629,language-source-bodies/r9-africa-horn-west-20260705,source-body corpus package,16,8549953,2,1,1,2,1,2
origin/codex/noether-pc-20260629,uploader-transfer/cjk-source-evidence-draft-lane-28019a34-current-frontier-recovery-20260707,uploader transfer/provenance package,29,7128346,0,0,0,1,26,1
origin/codex/noether-pc-20260629,interlanguage-sidecar/rtl-persianate-arabic-fd3754d1-faa2-multilane-current-head-source-gated-audit-20260706,interlanguage method/provenance package,46,6797001,0,0,0,5,37,2
origin/codex/noether-pc-20260629,interlanguage-sidecar/arabic-rtl-faa2c330-token-reset-recovery-continuation-20260706,interlanguage method/provenance package,30,6549778,0,0,0,3,25,1
origin/codex/noether-pc-20260629,interlanguage-sidecar/rtl-persianate-arabic-9bbcb11b-local-zip-source-corpus-witness-20260706,interlanguage method/provenance package,14,6276844,0,0,0,1,11,1
origin/codex/noether-pc-20260629,interlanguage-sidecar/interlanguage-authority-ac6f4e-current-head-refresh-20260706,interlanguage method/provenance package,28,6179233,0,0,0,5,10,12
origin/codex/noether-pc-20260629,interlanguage-sidecar/rtl-persianate-arabic-faa2c330-0d-current-head-source-gated-boundary-20260706,interlanguage method/provenance package,18,6051707,0,0,0,1,15,1
origin/codex/noether-pc-20260629,uploader-transfer/interlanguage-method-authority-761bec88-current-frontier-authority-routing-20260707,uploader transfer/provenance package,370,6049692,0,0,0,49,240,53
origin/codex/noether-pc-20260629,interlanguage-sidecar/rtl-persianate-arabic-1233d6f-c33-current-head-source-gated-boundary-20260706,interlanguage method/provenance package,17,5980952,0,0,0,1,14,1
origin/codex/noether-pc-20260629,interlanguage-sidecar/rtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706,interlanguage method/provenance package,17,5972866,0,0,0,1,14,1
origin/codex/noether-pc-20260629,sources/ega,legacy/source mirror package,95,5564515,0,0,81,4,0,0
origin/codex/noether-pc-20260629,interlanguage-sidecar/rtl-persianate-arabic-c33e09eb-token-reset-source-gated-row-refresh-20260706,interlanguage method/provenance package,15,5027884,0,0,0,1,12,1
origin/codex/noether-pc-20260629,sources/ukrainian-applied-math,legacy/source mirror package,86,5009396,0,12,65,5,3,0
origin/codex/noether-pc-20260629,sources/riemann,legacy/source mirror package,30,4194738,0,0,12,4,2,7
origin/codex/noether-pc-20260629,uploader-transfer/old-b-9bbcb11b-readonly-pr-audit-20260706,uploader transfer/provenance package,20,3921223,0,0,0,1,17,1
origin/codex/noether-pc-20260629,uploader-transfer/old-b-963f5299-whole-corpus-readonly-audit-20260706,uploader transfer/provenance package,20,3897760,0,0,0,1,17,1
origin/codex/noether-pc-20260629,interlanguage-sidecar/rtl-persianate-arabic-68c877c0-romance-branch-boundary-source-gated-refresh-20260706,interlanguage method/provenance package,15,3759303,0,0,0,1,12,1
origin/codex/noether-pc-20260629,interlanguage-sidecar/rtl-persianate-arabic-8e491924-current-head-source-gated-continuation-20260706,interlanguage method/provenance package,14,3661794,0,0,0,1,11,1
origin/codex/noether-pc-20260629,uploader-transfer/old-b-81db4ba9-idle-retry-package-frontier-audit-20260706,uploader transfer/provenance package,17,3301301,0,0,0,1,14,1
origin/codex/noether-pc-20260629,interlanguage-sidecar/rtl-persianate-arabic-a2c52a42-branch-advance-delta-20260706,interlanguage method/provenance package,14,2846205,0,0,0,1,11,1
origin/codex/noether-pc-20260629,interlanguage-sidecar/interlanguage-ac6f4e-arabic-authority-support-20260706,interlanguage method/provenance package,26,2833720,0,0,0,5,10,10
origin/codex/noether-pc-20260629,release_candidates,root/support or legacy file,2,2802644,1,0,0,1,0,0
origin/codex/noether-pc-20260629,language-source-bodies/cjk-native-source-evidence-20260705,source-body corpus package,86,2773362,1,0,50,19,5,5
origin/codex/noether-pc-20260629,"""language-source-bodies",root/support or legacy file,190,2594895,0,0,0,0,0,0
origin/codex/noether-pc-20260629,uploader-transfer/interlanguage-fable-6034c6b4-fast-recovery-authority-routing-20260707,uploader transfer/provenance package,39,2547528,0,0,0,4,17,17
origin/codex/noether-pc-20260629,docs,root/support or legacy file,54,2418433,0,0,0,54,0,0
origin/codex/noether-pc-20260629,uploader-transfer/old-b-e58a9ef5-notloaded-recovery-audit-20260706,uploader transfer/provenance package,18,2406317,0,0,0,1,15,1
origin/codex/noether-pc-20260629,interlanguage-sidecar/interlanguage-authority-c7fb-body-linked-standardization-20260706,interlanguage method/provenance package,37,2269973,0,0,0,4,16,16
origin/codex/noether-pc-20260629,uploader-transfer/old-b-81db4ba9-still-current-body-metadata-audit-20260706,uploader transfer/provenance package,18,2141671,0,0,0,1,15,1
origin/codex/noether-pc-20260629,language-source-bodies/cjk-native-source-bodies-20260705,source-body corpus package,74,2080406,0,0,50,12,4,4
origin/codex/noether-pc-20260629,interlanguage-sidecar/interlanguage-fable-faa2c330-mutual-wake-standardization-refresh-20260706,interlanguage method/provenance package,69,2071328,0,0,0,4,17,17
origin/codex/noether-pc-20260629,language-source-bodies/romance-germanic-baselines-20260705-spanish-san-salvador,source-body corpus package,55,2050271,0,0,48,2,1,1
origin/codex/noether-pc-20260629,interlanguage-sidecar/non-slavic-core-e88470ea-current-head-branch-advance-queue-20260706,interlanguage method/provenance package,19,2009790,0,0,0,5,11,1
origin/codex/noether-pc-20260629,interlanguage-sidecar/20260707,interlanguage method/provenance package,206,2006398,0,0,0,24,141,28
origin/codex/noether-pc-20260629,transfer-audits/old-b-c7fb-steward-alignment-audit-20260706,transfer audit package,22,1935487,0,0,0,1,18,1
origin/codex/noether-pc-20260629,interlanguage-sidecar/rtl-persianate-arabic-ac6f4e-arabic-authority-support-integration-20260706,interlanguage method/provenance package,14,1891296,0,0,0,1,11,1
