structural_id,structure_type,parent_id,order,source_locator,target_locator,source_fragment_sha256,target_fragment_sha256,completion_state,review_state,publication_state,relation_count,relation_targets,continuation_cursor,notes
NOE-P29-KO-U04-ROOT-001,work_unit,,1,full-P29 lines 47-51,target TeX lines 12-16,4C1CE8C08942FBC5EC617F4B8B559092715236471D53183611E83A5748A04578,48DAE6AED4BA1A409C91086290E1C19FA8DB9012FB5F1DC838CD33CF716A3DDA,translated,internally_fidelity_checked,internal_checkpoint_not_published,2,NOE-P29-KO-U03-STEP-007|NOE-P29-KO-U04-PROOF-001,Full-P29 line 52 is blank; next substantive cursor is line 53.,Bounded normalization-construction stage; it does not complete item 2's proof.
NOE-P29-KO-U04-PROOF-001,proof_continuation,NOE-P29-KO-U04-ROOT-001,2,"full-P29 lines 47-51, continuation of item 2 proof",target TeX lines 12-16,4C1CE8C08942FBC5EC617F4B8B559092715236471D53183611E83A5748A04578,48DAE6AED4BA1A409C91086290E1C19FA8DB9012FB5F1DC838CD33CF716A3DDA,translated,internally_fidelity_checked,internal_checkpoint_not_published,2,NOE-P29-KO-U04-PARA-001|FULL-P29-LINE-053,Full-P29 line 52 is blank; next substantive cursor is line 53.,Proof continuation starts with the temporary infinite-coefficient-field hypothesis.
NOE-P29-KO-U04-PARA-001,paragraph,NOE-P29-KO-U04-PROOF-001,3,"full-P29 lines 47-51, one source paragraph","target TeX lines 12-16, one semantic paragraph",BE236299B70C560B200E0BAAD4AADFB07BB8D114BEF6D22BE72D94B335A28055,48DAE6AED4BA1A409C91086290E1C19FA8DB9012FB5F1DC838CD33CF716A3DDA,translated,internally_fidelity_checked,internal_checkpoint_not_published,2,NOE-P29-KO-U04-STEP-001|NOE-P29-KO-U04-STEP-009,Full-P29 line 52 is blank; next substantive cursor is line 53.,The display interrupts the TeX line flow but not the paragraph's semantic continuity.
NOE-P29-KO-U04-STEP-001,closed_prose_unit,NOE-P29-KO-U04-PARA-001,4,full-P29 line 47 sentence 1,target TeX line 12 sentence 1,93839D21DD61450C2A361CB5FD5ACA6D30279D7D0F6A5C335756C32AC21EB35B,42B9A784303A3024ACED7BC6C11F4D485062CABCA4870F61AA57824F8AF2378C,translated,internally_fidelity_checked,internal_checkpoint_not_published,1,NOE-P29-KO-U04-STEP-002,Full-P29 line 52 is blank; next substantive cursor is line 53.,Temporary infinite-field hypothesis; not asserted as a permanent theorem hypothesis.
NOE-P29-KO-U04-STEP-002,closed_prose_unit,NOE-P29-KO-U04-PARA-001,5,full-P29 line 47 sentence 2,target TeX line 12 sentence 2,53784B40E4ED833753DA0969887EF7FBD838543A42242822D3B7C00B9DCB10FF,226562B8CCB15A356F13C766D3AF62C4B8C5A74084F12B0D1D5E2EFAE9D20500,translated,internally_fidelity_checked,internal_checkpoint_not_published,2,NOE-P29-KO-U04-STEP-003|NOE-P29-KO-U04-STEP-007,Full-P29 line 52 is blank; next substantive cursor is line 53.,Trap-prone historical irreduzibles System is glossed as algebraically independent over P.
NOE-P29-KO-U04-STEP-003,closed_prose_unit,NOE-P29-KO-U04-PARA-001,6,full-P29 line 47 sentence 3 opening clause,target TeX line 12 sentence 3,00ECF3CA8722B89D5C1AC2E4BDAD057EB8C54820E9D7FCA83FAD45A5B110F630,008FA220070F5A736C543D4C5FEB7221767A481A8BC6D8565EE8B62804D69346,translated,internally_fidelity_checked,internal_checkpoint_not_published,1,NOE-P29-KO-U04-STEP-004,Full-P29 line 52 is blank; next substantive cursor is line 53.,"Integritätsbasis is explicitly a finite P-algebra generating set, not a linear basis."
NOE-P29-KO-U04-STEP-004,closed_prose_unit,NOE-P29-KO-U04-PARA-001,7,full-P29 line 47 sentence 3 conditional clause,target TeX line 12 sentence 4,D1620798E8784B3C695D716B843461B10EEBAEFE315E6E0A1C0F0E7DB8CB2048,7C0B41A92A08D2665622D2DA12E976484CF4E1C46FC23A56F35EEA4D7C3A4DF6,translated,internally_fidelity_checked,internal_checkpoint_not_published,1,NOE-P29-KO-U04-STEP-005,Full-P29 line 52 is blank; next substantive cursor is line 53.,The target makes the plural antecedent explicit.
NOE-P29-KO-U04-STEP-005,closed_prose_unit,NOE-P29-KO-U04-PARA-001,8,full-P29 lines 47-51 through generic-indeterminate dependence,target TeX lines 12-16 first sentence after display,D5E5DF4C805C46352AA376022DDDB6A3FF90129612A299D37DA218695A640F71,82DC9541970916829941977108415CE403BD44B71F27F45659FA3877054AF47E,translated,internally_fidelity_checked,internal_checkpoint_not_published,2,NOE-P29-KO-U04-DISPLAY-001|NOE-P29-KO-U04-STEP-006,Full-P29 line 52 is blank; next substantive cursor is line 53.,Generic t_i are indeterminates at this stage; specialization occurs only in the next unit.
NOE-P29-KO-U04-DISPLAY-001,display,NOE-P29-KO-U04-STEP-005,9,full-P29 lines 48-50,target TeX lines 13-15,57FDB6FFE37B4C8E0D0287A86CE57824888FD5A34244A827BD665B8683ADC0AE,57FDB6FFE37B4C8E0D0287A86CE57824888FD5A34244A827BD665B8683ADC0AE,translated,internally_fidelity_checked,internal_checkpoint_not_published,1,NOE-P29-KO-U04-STEP-006,Full-P29 line 52 is blank; next substantive cursor is line 53.,Displayed replacement family; terminal semicolon is preserved.
NOE-P29-KO-U04-STEP-006,closed_prose_unit,NOE-P29-KO-U04-PARA-001,10,full-P29 line 51 after semicolon,target TeX line 16 sentence 2,C9277B448A8349CEAAAAF7E94C1863B563F32DEBC7537A71326B204BABB15F11,D066DDA5418B0615611E6F5FED2B634595D63B05AC8344221991D51B8AF62359,translated,internally_fidelity_checked,internal_checkpoint_not_published,2,NOE-P29-KO-U04-STEP-005|NOE-P29-KO-U04-STEP-007,Full-P29 line 52 is blank; next substantive cursor is line 53.,"Logical order is generic integrality first, P-valued specialization second."
NOE-P29-KO-U04-STEP-007,closed_prose_unit,NOE-P29-KO-U04-PARA-001,11,full-P29 line 51 sentence 2,target TeX line 16 sentence 3,B28314BFB22C699C903DDD1221D1F1CA06809A546BE6553212808930FA6641AD,CEDA0E40D34C1EDD66EC18D7A5369DD60AD689510AD28FF0153B80A0135E14CD,translated,internally_fidelity_checked,internal_checkpoint_not_published,2,NOE-P29-KO-U04-NOTE-001|NOE-P29-KO-U04-STEP-008,Full-P29 line 52 is blank; next substantive cursor is line 53.,Finite repetition and transitivity produce the sought T.
NOE-P29-KO-U04-NOTE-001,note,NOE-P29-KO-U04-STEP-007,12,full-P29 line 51 Hilbert footnote,target TeX line 16 Hilbert footnote,5510D17960C66A86B953A571786B46C43C2CD7BC7DEFC574111EBAFA4D8B1AF0,9080D23CB4FFE8BEA8CAD042CF1453B3B01677D90B24D5B5DA728F42EC671887,translated,internally_fidelity_checked,internal_checkpoint_not_published,1,NOE-P29-KO-U04-STEP-007,Full-P29 line 52 is blank; next substantive cursor is line 53.,Bibliographic note translated without claiming independent bibliographic certification.
NOE-P29-KO-U04-STEP-008,closed_prose_unit,NOE-P29-KO-U04-PARA-001,13,full-P29 line 51 final sentence first clause,target TeX line 16 sentence 4 first clause,285B249799D4E6DDE62CD11B9566801ADE3F163DA461DB5F3B3BFEEA61E5A8DB,F4310E3558495D59EC9F229950DC90B1ADC47F0DC750A5B7B2DEEDFF695B9695,translated,internally_fidelity_checked,internal_checkpoint_not_published,1,NOE-P29-KO-U04-STEP-009,Full-P29 line 52 is blank; next substantive cursor is line 53.,Endlicher Erweiterungskörper is disambiguated as finite degree.
NOE-P29-KO-U04-STEP-009,closed_prose_unit,NOE-P29-KO-U04-PARA-001,14,full-P29 line 51 final sentence second clause,target TeX line 16 sentence 4 second clause,84BAAC028864A10D94E0AAA5AF508B0B8BFD09821BD2143F060D0DC174FA6A4B,9B49204BE7554E2E5C1BAD0321F9E91C1114C047BE033752AD360DFB1B513C7E,translated,internally_fidelity_checked,internal_checkpoint_not_published,1,FULL-P29-LINE-053,Full-P29 line 52 is blank; next substantive cursor is line 53.,The equality of the R-integral and T-integral element rings closes U04's local argument stage.
