"origin_lane","origin_artifact_path","origin_row_id","lane","target_language_or_access_target","source_title","source_author_or_owner","topic_tags","evidence_tier","source_type","source_url","local_path","license_or_access_signal","sha256_or_other_hash","source_language","is_target_language_witness","is_source_level_tex_or_archive","is_pdf_docx_or_text_fallback","gap_or_blocker_note","non_claim_boundary","r3_relevance","created_utc"
"Arabic RTL source-canon lane","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_SOURCE_CANON_WITNESS_TABLE_20260704.csv","AR-SRC-ALG-001","Arabic RTL source-canon lane - external pointer for R3 alignment","Controlled Arabic / Arabic RTL","Arabic RTL source witness AR-SRC-ALG-001: algebra; ring; field; ideal; group; polynomial; representation","Mustansiriyah University source host","algebra; ring; field; ideal; group; polynomial; representation","direct_arabic_mathematical_source","PDF","https://uomustansiriyah.edu.iq/media/attachments/192/192_2019_10_20%2108_53_36_PM.pdf","sources/non_slavic_reference_corpus/20260630T092000Z_controlled_arabic_abstract_algebra_source_retry/downloads/mustansiriyah_abstract_algebra_2019.pdf","CC-BY-ND-4.0 stated in PDF","FAA47DEBCB0157EBB28B4A0D0FAECDC7C52950802CE51C66A4F92DA2446F97E0","Arabic","True","False","True","no_native_review_or_term_approval","External source-canon pointer only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, or Git push.","Arabic algebra/ring/source witness pointer for R3 source-canon alignment; R3 does not supersede the Arabic RTL lane table.","20260704T201707Z"
"Arabic RTL source-canon lane","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_SOURCE_CANON_WITNESS_TABLE_20260704.csv","AR-SRC-RING-002","Arabic RTL source-canon lane - external pointer for R3 alignment","Controlled Arabic / Arabic RTL","Arabic RTL source witness AR-SRC-RING-002: ring theory; ideals","Mustansiriyah University source host","ring theory; ideals","direct_arabic_mathematical_source","PDF","https://uomustansiriyah.edu.iq/media/lectures/12/12_2019_05_29%2101_03_09_PM.pdf","sources/non_slavic_reference_corpus/20260702T013000Z_controlled_arabic_algebra_source_refresh/downloads/mustansiriyah_ring_theory_2019.pdf","no_explicit_open_license_found","811C3BAE2363895F344AD1B6382629239E35C5A1CA47012A576207BFD851023A","Arabic","True","False","True","no_term_approval","External source-canon pointer only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, or Git push.","Arabic algebra/ring/source witness pointer for R3 source-canon alignment; R3 does not supersede the Arabic RTL lane table.","20260704T201707Z"
"Arabic RTL source-canon lane","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_SOURCE_CANON_WITNESS_TABLE_20260704.csv","AR-SRC-RF-003","Arabic RTL source-canon lane - external pointer for R3 alignment","Controlled Arabic / Arabic RTL","Arabic RTL source witness AR-SRC-RF-003: rings; fields; ideals; polynomial rings","Majmaah University source host","rings; fields; ideals; polynomial rings","official_course_register_witness","PDF","https://www.mu.edu.sa/sites/default/files/content/2017/06/%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A7%D8%AA%20%D9%88%D8%A7%D9%84%D8%AD%D9%82%D9%88%D9%84.pdf","sources/non_slavic_reference_corpus/20260702T013000Z_controlled_arabic_algebra_source_refresh/downloads/majmaah_rings_fields_2017_course_spec.pdf","no_explicit_open_license_found","A6C1B7EC48616AF3347ED537715DA1DAC98EE32C6E70D821F185BF81168F22D9","Arabic","True","False","True","course_register_only","External source-canon pointer only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, or Git push.","Arabic algebra/ring/source witness pointer for R3 source-canon alignment; R3 does not supersede the Arabic RTL lane table.","20260704T201707Z"
"Arabic RTL source-canon lane","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_SOURCE_CANON_WITNESS_TABLE_20260704.csv","AR-SRC-RF-004","Arabic RTL source-canon lane - external pointer for R3 alignment","Controlled Arabic / Arabic RTL","Arabic RTL source witness AR-SRC-RF-004: rings; fields; algebra course rows","Majmaah University source host","rings; fields; algebra course rows","official_course_register_witness","PDF","https://www.mu.edu.sa/sites/default/files/content/2016/04/21.pdf","sources/non_slavic_reference_corpus/20260702T013000Z_controlled_arabic_algebra_source_refresh/downloads/majmaah_program_spec_rings_fields_2016.pdf","no_explicit_open_license_found","026CBF94316E174C7D273819BC6ED3F15609B0BB09459F045228ACB71856E1D6","Arabic","True","False","True","course_register_only","External source-canon pointer only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, or Git push.","Arabic algebra/ring/source witness pointer for R3 source-canon alignment; R3 does not supersede the Arabic RTL lane table.","20260704T201707Z"
"Arabic RTL source-canon lane","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_SOURCE_CANON_WITNESS_TABLE_20260704.csv","AR-SRC-RF-005","Arabic RTL source-canon lane - external pointer for R3 alignment","Controlled Arabic / Arabic RTL","Arabic RTL source witness AR-SRC-RF-005: rings; fields","owner unresolved from upstream Arabic source-canon row","rings; fields","downloaded_extraction_gap","PDF","https://www.syriamath.net/files/library/2015/03/1159987895.pdf","sources/non_slavic_reference_corpus/20260630T092000Z_controlled_arabic_abstract_algebra_source_retry/downloads/syriamath_rings_fields_1159987895.pdf","no_explicit_open_license_found","617FD1CD4A2904B798C381B9CF0DF4F283A7629DBF6455E845C128A2455E0949","Arabic","True","False","True","ocr_text_extraction_gap","External source-canon pointer only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, or Git push.","Arabic algebra/ring/source witness pointer for R3 source-canon alignment; R3 does not supersede the Arabic RTL lane table.","20260704T201707Z"
"Arabic RTL source-canon lane","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_SOURCE_CANON_WITNESS_TABLE_20260704.csv","AR-SRC-COURSE-006","Arabic RTL source-canon lane - external pointer for R3 alignment","Controlled Arabic / Arabic RTL","Arabic RTL source witness AR-SRC-COURSE-006: algebra; rings; fields; modules; groups","owner unresolved from upstream Arabic source-canon row","algebra; rings; fields; modules; groups","official_course_register_witness","PDF","https://edu.qu.edu.iq/wp-content/uploads/sites/14/2025/09/%D9%88%D8%B5%D9%81-%D8%A7%D9%84%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D8%AC-%D8%A7%D9%84%D8%A7%D9%83%D8%A7%D8%AF%D9%8A%D9%85%D9%8A-%D8%B1%D9%8A%D8%A7%D8%B6%D9%8A%D8%A7%D8%AA-%D8%B9%D8%B1%D8%A8%D9%8A-%D9%86%D9%87%D8%A7%D8%A6%D9%8A-2025-2026.pdf","sources/non_slavic_reference_corpus/20260630T092000Z_controlled_arabic_abstract_algebra_source_retry/downloads/qadisiyah_math_program_2025_2026.pdf","no_explicit_open_license_found","97B484445E0D9DFD6466C97E4A28ADD199361F4FF577B31ED1343C6BE4B6DB9D","Arabic","True","False","True","course_register_only","External source-canon pointer only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, or Git push.","Arabic algebra/ring/source witness pointer for R3 source-canon alignment; R3 does not supersede the Arabic RTL lane table.","20260704T201707Z"
"Arabic RTL source-canon lane","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_SOURCE_CANON_WITNESS_TABLE_20260704.csv","AR-SRC-COURSE-007","Arabic RTL source-canon lane - external pointer for R3 alignment","Controlled Arabic / Arabic RTL","Arabic RTL source witness AR-SRC-COURSE-007: algebra; rings; fields; modules; groups","Mustansiriyah University source host","algebra; rings; fields; modules; groups","official_course_register_witness","PDF","https://uomustansiriyah.edu.iq/media/attachments/161/161_2024_08_27%2111_27_01_PM.pdf","sources/non_slavic_reference_corpus/20260630T092000Z_controlled_arabic_abstract_algebra_source_retry/downloads/mustansiriyah_math_program_2024.pdf","no_explicit_open_license_found","E834C05A5CB8D2CA25016E4775045E7A4FF3A6FB4D32A28EB767C1251DB9E413","Arabic","True","False","True","course_register_only","External source-canon pointer only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, or Git push.","Arabic algebra/ring/source witness pointer for R3 source-canon alignment; R3 does not supersede the Arabic RTL lane table.","20260704T201707Z"
"Arabic RTL source-canon lane","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_SOURCE_CANON_WITNESS_TABLE_20260704.csv","AR-SRC-GROUP-008","Arabic RTL source-canon lane - external pointer for R3 alignment","Controlled Arabic / Arabic RTL","Arabic RTL source witness AR-SRC-GROUP-008: group theory; representations; fields; rings; homomorphism; isomorphism","owner unresolved from upstream Arabic source-canon row","group theory; representations; fields; rings; homomorphism; isomorphism","adjacent_arabic_mathematical_source","PDF","https://www.jmilne.org/math/CourseNotes/GTarabic.pdf","sources/non_slavic_reference_corpus/20260702T185300Z_controlled_arabic_invariant_covariant_register_refresh/downloads/jmilne_group_theory_arabic.pdf","arabic_pdf_restricted_personal_noncommercial_copy_notice__current_english_source_CC_BY_NC_SA_4_0","77B97DF62856083FF960790EA6CEA27E5AD6927241D5F87751B376C8F644A904","Arabic","True","False","True","not_invariant_theory_or_covariant_authority","External source-canon pointer only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, or Git push.","Arabic algebra/ring/source witness pointer for R3 source-canon alignment; R3 does not supersede the Arabic RTL lane table.","20260704T201707Z"
"Arabic RTL source-canon lane","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_SOURCE_CANON_WITNESS_TABLE_20260704.csv","AR-SRC-INV-009","Arabic RTL source-canon lane - external pointer for R3 alignment","Controlled Arabic / Arabic RTL","Arabic RTL source witness AR-SRC-INV-009: invariant rings; group actions; Hilbert series; finite fields","owner unresolved from upstream Arabic source-canon row","invariant rings; group actions; Hilbert series; finite fields","weak_secondary_arabic_register_witness","HTML","https://www.arabicscholar.com/%D8%A7%D9%84%D8%AB%D9%88%D8%A7%D8%A8%D8%AA-%D8%A7%D9%84%D9%85%D8%B5%D9%81%D9%88%D9%81%D9%8A%D8%A9-%D8%A7%D9%84%D9%85%D9%88%D8%AF%D9%88%D9%84%D8%A7%D8%B1%D9%8A%D8%A9-%D8%AA%D8%AD%D8%AA-%D8%A8%D8%B9/","sources/non_slavic_reference_corpus/20260702T185300Z_controlled_arabic_invariant_covariant_register_refresh/html/arabicscholar_modular_matrix_invariants_2026.html","no_open_reuse_license_found","5B469F0809C89A9365DE974B8AA7E86FEA6F37F9309117654BD51B53623049F4","Arabic","True","False","True","not_direct_specialist_source","External source-canon pointer only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, or Git push.","Arabic algebra/ring/source witness pointer for R3 source-canon alignment; R3 does not supersede the Arabic RTL lane table.","20260704T201707Z"
"Arabic RTL source-canon lane","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_SOURCE_CANON_WITNESS_TABLE_20260704.csv","AR-SRC-INV-010","Arabic RTL source-canon lane - external pointer for R3 alignment","Controlled Arabic / Arabic RTL","Arabic RTL source witness AR-SRC-INV-010: geometric invariant theory; quotient/moduli phrases","owner unresolved from upstream Arabic source-canon row","geometric invariant theory; quotient/moduli phrases","weak_secondary_phrase_witness","HTML","https://shamra-academia.com/show/f0597758b3ef43","sources/non_slavic_reference_corpus/20260702T185300Z_controlled_arabic_invariant_covariant_register_refresh/html/shamra_invariance_system_theory_arabic_summary.html","no_open_reuse_license_found","79FBC8D73B5BB9521C24F778B5536B205DC193A21D18B3CDA3C264CB255B67CF","Arabic","True","False","True","not_direct_authority","External source-canon pointer only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, or Git push.","Arabic algebra/ring/source witness pointer for R3 source-canon alignment; R3 does not supersede the Arabic RTL lane table.","20260704T201707Z"
