work,printed_page,source_pdf_page,scan_file
STEINITZ-1911-RECT-I,328,1,../scans/p328.png
STEINITZ-1911-RECT-I,329,2,../scans/p329.png
STEINITZ-1911-RECT-I,330,3,../scans/p330.png
STEINITZ-1911-RECT-I,331,4,../scans/p331.png
STEINITZ-1911-RECT-I,332,5,../scans/p332.png
STEINITZ-1911-RECT-I,333,6,../scans/p333.png
STEINITZ-1911-RECT-I,334,7,../scans/p334.png
STEINITZ-1911-RECT-I,335,8,../scans/p335.png
STEINITZ-1911-RECT-I,336,9,../scans/p336.png
STEINITZ-1911-RECT-I,337,10,../scans/p337.png
STEINITZ-1911-RECT-I,338,11,../scans/p338.png
STEINITZ-1911-RECT-I,339,12,../scans/p339.png
STEINITZ-1911-RECT-I,340,13,../scans/p340.png
STEINITZ-1911-RECT-I,341,14,../scans/p341.png
STEINITZ-1911-RECT-I,342,15,../scans/p342.png
STEINITZ-1911-RECT-I,343,16,../scans/p343.png
STEINITZ-1911-RECT-I,344,17,../scans/p344.png
STEINITZ-1911-RECT-I,345,18,../scans/p345.png
STEINITZ-1911-RECT-I,346,19,../scans/p346.png
STEINITZ-1911-RECT-I,347,20,../scans/p347.png
STEINITZ-1911-RECT-I,348,21,../scans/p348.png
STEINITZ-1911-RECT-I,349,22,../scans/p349.png
STEINITZ-1911-RECT-I,350,23,../scans/p350.png
STEINITZ-1911-RECT-I,351,24,../scans/p351.png
STEINITZ-1911-RECT-I,352,25,../scans/p352.png
STEINITZ-1911-RECT-I,353,26,../scans/p353.png
STEINITZ-1911-RECT-I,354,27,../scans/p354.png
