"TopRoot","Paths","Bytes"
"sources","4092","2002520780"
"noether-slavic-handoff","3477","79975778"
"interlanguage-sidecar","2442","1141313849"
"language-source-bodies","2124","2955148952"
"manifests","1752","8978400"
"uploader-transfer","603","373579523"
"noether-source-corpus-provenance","552","140655886"
"noether-slavic-source-canon","511","23729152"
"reader-pdfs","229","414175874"
"transfer-audits","212","63460031"
"coordination","209","1061587"
"handoff-bodies","102","3425596"
"workflow","93","15503961"
"zenodo-metadata","60","219866"
"publish_staging","47","132012360"
"outputs","12","209707"
"formalization","6","17501"
"other-pc-coordination","6","389885"
"session-pursued-goals","6","1993"
"scripts","5","24430"
"docs","4","123435"
"audits","3","9699"
".github","2","1689"
"FABLE_INTERLANGUAGE_PROGRAM_BLOCKING_DIRECTIVE_20260705.md","1","8476"
"LICENSE","1","718"
"OTHER_AI_COLLECT_NATIVE_SLAVIC_TEX_SOURCE_BODIES_NOW_20260705.md","1","2024"
"OTHER_AI_IMMEDIATE_LATEX_SOURCE_BODY_DIRECTIVE_20260704.md","1","3004"
"OTHER_AI_NATIVE_TEX_CORPUS_REQUIREMENT_20260705.md","1","2828"
"OTHER_AI_UPLOAD_ALL_LATEX_SOURCE_BODIES_NOW_20260704.md","1","4591"
"OUTPUT_MANIFEST_20260705.csv","1","378152"
"release_candidates","1","2568"
"SOURCE_BODY_UPLOAD_QUEUE.md","1","4116"
"UPLOAD_ALL_LATEX_SOURCE_BODIES_NOW_20260705.md","1","1901"
