metric,value,notes
current_branch_head,fd3754d1f1d286e48791770427f3a2059f1854f5,current frontier from systemError/token-reset wake
prior_branch_head,faa2c330deb886098750dafb5c500e244e1333fe,latest local package frontier before FD3754D1
recovery_state_rows,6,local package frontier rows carried and rechecked
source_return_ocr_rows,7,one row per R9 language/scope
fable_adverse_rows,7,source-use/Fable/adverse rows by language/scope
exact_blocker_rows,189,exact blocker/search rows carried forward under current head
source_witness_rows_carried_forward,1071,source-return/provenance only
draft_do_not_use_rows_carried_forward,70,generated-draft/noncanonical adverse rows only
sibling_wake_rows,4,visible stale/systemError sibling thread wake prompts recorded
b3_target_root,uploader-transfer/post-fd3754d1-r9-systemerror-recovery-ledger-20260706/noether-r9-africa-horn-west/outputs/R9_FD3754D1_SYSTEMERROR_RECOVERY_LEDGER_20260706/,suggested B3 pickup path; no lane push
boundary,"R9 source-use/provenance/gap/generated-draft/noncanonical support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion",labels preserved and claims blocked
