layer	physical_pages	path	bytes	sha256
source	001-016	rendered/frozen_2E3BB35A/contacts/SOURCE_001_016.png	1015907	0DCA0D8340D541B3B9F102D6C43DB68CD03AB21C2C144415263097706903672F
source	017-032	rendered/frozen_2E3BB35A/contacts/SOURCE_017_032.png	985149	D330316832DFC3DEC105403648BC661016A1965AF989916B07C6CA4062669612
source	033-048	rendered/frozen_2E3BB35A/contacts/SOURCE_033_048.png	989548	478AB50EB8E84C62906FD8457CE62A784C8FA54FD543EA14B45FABCB0B495D0E
source	049-058	rendered/frozen_2E3BB35A/contacts/SOURCE_049_058.png	520924	99E4491AAA83146A24FCF7124B45AC7CBD2274FCE4B507F329F70B6DB5F8AEE4
english	001-016	rendered/frozen_2E3BB35A/contacts/ENGLISH_001_016.png	983130	F0AAE3CFC6FE928A22562A1ED5B9029B0379A24F505CE987D3B5DCC03F30B900
english	017-032	rendered/frozen_2E3BB35A/contacts/ENGLISH_017_032.png	954043	5594BA0FFC3CF9D57954598C2BFDA87D6ED0E616B7D8224417046FA18663D2C3
english	033-048	rendered/frozen_2E3BB35A/contacts/ENGLISH_033_048.png	953500	CB9CFDA74666676BD89718C5F625975B20E83A4DB8B912C72F57D8928C1C6FEE
english	049-058	rendered/frozen_2E3BB35A/contacts/ENGLISH_049_058.png	515149	FDD3039456EFCB55FE946BEF298EA7247B723F5B4F8873F15FAF8C85294CF325
apparatus	001-016	rendered/frozen_2E3BB35A/contacts/APPARATUS_001_016.png	324886	44499AE8C726C9C0D0F88968678924E749CA9ADB668DD2CBEA592FEF1C491E2B
apparatus	017-032	rendered/frozen_2E3BB35A/contacts/APPARATUS_017_032.png	322391	14CA1F9F4E7F8ECB72B49BF92EF1939C6D2206D499C9919F6C22F95A8111B82E
apparatus	033-048	rendered/frozen_2E3BB35A/contacts/APPARATUS_033_048.png	370775	2BBF8554F84656850DA40162CFC292E0C022596AAF9717A6B738BB8E2D7D3550
apparatus	049-058	rendered/frozen_2E3BB35A/contacts/APPARATUS_049_058.png	228721	0B98C1E8C028E6C0C1CE717CBC05FA7EC4A4BA76E6AB354D521CDB716495151E
authority	001-016	rendered/frozen_2E3BB35A/contacts/AUTHORITY_001_016.png	1238504	38AB1E50B369E55A7218997FCB49557ABFE9B182402488388A02CE5E0DBD4A7A
authority	017-032	rendered/frozen_2E3BB35A/contacts/AUTHORITY_017_032.png	1201739	59FAE083B27AFF0F67F1A780A669CD17649A9F088626C88B083FD5E87161376E
authority	033-048	rendered/frozen_2E3BB35A/contacts/AUTHORITY_033_048.png	1228093	A626F6B2EAD8811C7C630B8342F6F2115261E815AD3D54FC2C66F4E588A3BDE6
authority	049-058	rendered/frozen_2E3BB35A/contacts/AUTHORITY_049_058.png	595202	CB596205A4590B7578D037B024F4123E5321233EC3944DEB8F79317E394760C7
