layer	physical_page	render_path	width_px	height_px	ink_ratio	ink_bbox	sha256	programmatic_visual_status
source	1	rendered/frozen_2E3BB35A/source/page-01.png	922	1368	0.03719349	54,63,866,1334	3CD8D225DC39C53BCC77281F8BDB397A63C792BF50F15E7A722B987A2B56C4D4	PASS
source	2	rendered/frozen_2E3BB35A/source/page-02.png	922	1368	0.07243740	56,63,868,1334	DB298BB8EF13AD49C4EA921A7F879CA9845E5D72BD25354CB701BF563EA9C10F	PASS
source	3	rendered/frozen_2E3BB35A/source/page-03.png	922	1368	0.07542797	56,63,867,1334	69664CA037ADCD9AD68ED971404A736638A12FC399BA01B96D9D2D7A9C5247B1	PASS
source	4	rendered/frozen_2E3BB35A/source/page-04.png	922	1368	0.06025707	56,63,868,1334	31D56B5EE6A40C17018D7372C442203F8148B14D9F2795BFB3B81CECA35A0166	PASS
source	5	rendered/frozen_2E3BB35A/source/page-05.png	922	1368	0.06005965	54,63,866,1334	E5D1F9E689CB03F4BCA35F59D691AA7DFB26FC639D906B342AFD8E78AD54E039	PASS
source	6	rendered/frozen_2E3BB35A/source/page-06.png	922	1368	0.05539699	56,63,869,1334	D463BC1649080AB34EE989BC01537F17594BB1EEFED6ED28EA8B37D6C196AEA8	PASS
source	7	rendered/frozen_2E3BB35A/source/page-07.png	922	1368	0.04433456	56,63,866,1334	02530A7B3A9441B1C50FBAE281C531BA3CCBFE37E168DF39072DCE5C06947DB4	PASS
source	8	rendered/frozen_2E3BB35A/source/page-08.png	922	1368	0.05737273	55,63,868,1334	218B7EB1546E4DCC98F0B8FC859C9E84B017478297B15DE6485CD62136EB9CB0	PASS
source	9	rendered/frozen_2E3BB35A/source/page-09.png	922	1368	0.06806808	54,63,868,1334	51D1B94061F4B1A17D3F97261F3464D46CBD582AA51B42CF61876DEE47A14CD6	PASS
source	10	rendered/frozen_2E3BB35A/source/page-10.png	922	1368	0.06214243	56,63,868,1334	EBD28D78D8AA6E3BB71AC030CEEF2A571F0BDD36C3C48291F87E25B15CB4C9F3	PASS
source	11	rendered/frozen_2E3BB35A/source/page-11.png	922	1368	0.06893069	54,63,869,1334	C5BF956888809C0B1112F9DEB9F32C50EFE89C674CFB72FF56D08781500DD27B	PASS
source	12	rendered/frozen_2E3BB35A/source/page-12.png	922	1368	0.05876892	56,63,867,1334	74F087A4CDF13611A56C22670BD671A0F27F4AB45A3326F9E39F80528CF0477A	PASS
source	13	rendered/frozen_2E3BB35A/source/page-13.png	922	1368	0.06521784	56,63,868,1334	9780D6F0434673E5E35E301E9755196D3B3D9442B34235C9888EEB7BC7419847	PASS
source	14	rendered/frozen_2E3BB35A/source/page-14.png	922	1368	0.06355209	56,63,868,1334	38F91364E1A211190A57A8924567243DC4FD80DCE552AE78F7BB6B8134E8613F	PASS
source	15	rendered/frozen_2E3BB35A/source/page-15.png	922	1368	0.05557696	55,63,866,1334	1CF178BBF9320739B486C4F3CFCDD5CBFAA8F47CC1C18775C3D56E99EA17D482	PASS
source	16	rendered/frozen_2E3BB35A/source/page-16.png	922	1368	0.06608837	56,63,867,1334	4BB760970931A62BB0CFA2C1A72EE7FA971C70C4C3A8966A11BBBDCB9FD65A1B	PASS
source	17	rendered/frozen_2E3BB35A/source/page-17.png	922	1368	0.05956810	55,63,868,1334	A28649195EF48E0A6550A525DF1136D5D37314806E281B86822239B742EBB592	PASS
source	18	rendered/frozen_2E3BB35A/source/page-18.png	922	1368	0.05534942	55,63,868,1334	C62366E7884990C97B13C26EBB32FA96BF43EFED7AE8FC43279C146C8DFDC7CC	PASS
source	19	rendered/frozen_2E3BB35A/source/page-19.png	922	1368	0.05384858	56,63,868,1334	C22B46FD77A5B0014E3583C366092DC51CA8468EF498D6BCDCD42A6F3794A0C5	PASS
source	20	rendered/frozen_2E3BB35A/source/page-20.png	922	1368	0.05645146	56,63,866,1334	F9A093EED1D974F41C019A19CBF44D5A626459BFC2308D55ABD36421773646FD	PASS
source	21	rendered/frozen_2E3BB35A/source/page-21.png	922	1368	0.04732672	54,63,866,1334	72545863194D9A0AE797947E6AB3F9474B8761FD66F76747AF27BB5376CA0CC4	PASS
source	22	rendered/frozen_2E3BB35A/source/page-22.png	922	1368	0.05065583	54,63,866,1334	8897D8D244465656947B85E5D98A875C9F3EC20F88BE6FA4E82DE69EEB1DDDF8	PASS
source	23	rendered/frozen_2E3BB35A/source/page-23.png	922	1368	0.05680903	54,63,868,1334	7F195318D3DDFE8FA44ACEBC01A15CE2B559551301CEF40004C9AC868CD47198	PASS
source	24	rendered/frozen_2E3BB35A/source/page-24.png	922	1368	0.05325078	55,63,867,1334	22E8F3E6DA91D023A2BFFA623BB048BBB35500641C4315830A5A0EF1FFFAD1D8	PASS
source	25	rendered/frozen_2E3BB35A/source/page-25.png	922	1368	0.05767401	56,63,867,1334	24D5C6FE1CEFF166EEC8747B07589651919156C355745E1EE8CCB7A806ABA269	PASS
source	26	rendered/frozen_2E3BB35A/source/page-26.png	922	1368	0.05487927	54,63,867,1334	C2850AA6724FFA91555FAF862F3E6184EF6F8A997A9DF2567A979C4F522CE1AE	PASS
