book_page,source_pdf_page,image_filename,source_pdf_filename
1,19,book_p001_pdf_p019.png,sylvester_vol01_source_pdf_pages_019_236_bookpp001_218.pdf
2,20,book_p002_pdf_p020.png,sylvester_vol01_source_pdf_pages_019_236_bookpp001_218.pdf
3,21,book_p003_pdf_p021.png,sylvester_vol01_source_pdf_pages_019_236_bookpp001_218.pdf
4,22,book_p004_pdf_p022.png,sylvester_vol01_source_pdf_pages_019_236_bookpp001_218.pdf
5,23,book_p005_pdf_p023.png,sylvester_vol01_source_pdf_pages_019_236_bookpp001_218.pdf
6,24,book_p006_pdf_p024.png,sylvester_vol01_source_pdf_pages_019_236_bookpp001_218.pdf
7,25,book_p007_pdf_p025.png,sylvester_vol01_source_pdf_pages_019_236_bookpp001_218.pdf
8,26,book_p008_pdf_p026.png,sylvester_vol01_source_pdf_pages_019_236_bookpp001_218.pdf
9,27,book_p009_pdf_p027.png,sylvester_vol01_source_pdf_pages_019_236_bookpp001_218.pdf
10,28,book_p010_pdf_p028.png,sylvester_vol01_source_pdf_pages_019_236_bookpp001_218.pdf
11,29,book_p011_pdf_p029.png,sylvester_vol01_source_pdf_pages_019_236_bookpp001_218.pdf
12,30,book_p012_pdf_p030.png,sylvester_vol01_source_pdf_pages_019_236_bookpp001_218.pdf
13,31,book_p013_pdf_p031.png,sylvester_vol01_source_pdf_pages_019_236_bookpp001_218.pdf
14,32,book_p014_pdf_p032.png,sylvester_vol01_source_pdf_pages_019_236_bookpp001_218.pdf
15,33,book_p015_pdf_p033.png,sylvester_vol01_source_pdf_pages_019_236_bookpp001_218.pdf
16,34,book_p016_pdf_p034.png,sylvester_vol01_source_pdf_pages_019_236_bookpp001_218.pdf
17,35,book_p017_pdf_p035.png,sylvester_vol01_source_pdf_pages_019_236_bookpp001_218.pdf
18,36,book_p018_pdf_p036.png,sylvester_vol01_source_pdf_pages_019_236_bookpp001_218.pdf
19,37,book_p019_pdf_p037.png,sylvester_vol01_source_pdf_pages_019_236_bookpp001_218.pdf
20,38,book_p020_pdf_p038.png,sylvester_vol01_source_pdf_pages_019_236_bookpp001_218.pdf
21,39,book_p021_pdf_p039.png,sylvester_vol01_source_pdf_pages_019_236_bookpp001_218.pdf
22,40,book_p022_pdf_p040.png,sylvester_vol01_source_pdf_pages_019_236_bookpp001_218.pdf
23,41,book_p023_pdf_p041.png,sylvester_vol01_source_pdf_pages_019_236_bookpp001_218.pdf
24,42,book_p024_pdf_p042.png,sylvester_vol01_source_pdf_pages_019_236_bookpp001_218.pdf
25,43,book_p025_pdf_p043.png,sylvester_vol01_source_pdf_pages_019_236_bookpp001_218.pdf
26,44,book_p026_pdf_p044.png,sylvester_vol01_source_pdf_pages_019_236_bookpp001_218.pdf
27,45,book_p027_pdf_p045.png,sylvester_vol01_source_pdf_pages_019_236_bookpp001_218.pdf
28,46,book_p028_pdf_p046.png,sylvester_vol01_source_pdf_pages_019_236_bookpp001_218.pdf
29,47,book_p029_pdf_p047.png,sylvester_vol01_source_pdf_pages_019_236_bookpp001_218.pdf
30,48,book_p030_pdf_p048.png,sylvester_vol01_source_pdf_pages_019_236_bookpp001_218.pdf
31,49,book_p031_pdf_p049.png,sylvester_vol01_source_pdf_pages_019_236_bookpp001_218.pdf
32,50,book_p032_pdf_p050.png,sylvester_vol01_source_pdf_pages_019_236_bookpp001_218.pdf
33,51,book_p033_pdf_p051.png,sylvester_vol01_source_pdf_pages_019_236_bookpp001_218.pdf
34,52,book_p034_pdf_p052.png,sylvester_vol01_source_pdf_pages_019_236_bookpp001_218.pdf
35,53,book_p035_pdf_p053.png,sylvester_vol01_source_pdf_pages_019_236_bookpp001_218.pdf
36,54,book_p036_pdf_p054.png,sylvester_vol01_source_pdf_pages_019_236_bookpp001_218.pdf
37,55,book_p037_pdf_p055.png,sylvester_vol01_source_pdf_pages_019_236_bookpp001_218.pdf
