witness_id,lane,source_priority,source_type,title_or_corpus,url,license_signal,hash_or_commit,local_path,source_manifest_or_archive,ocr_unicode_status,topic_tags,language_tags,allowed_use,explicit_gap,promotion_allowed
R9-SC-001,Tigrigna_Tigrinya,1,arxiv_tex_source_package,"Tigrinya Number Verbalization: Rules Algorithm and Implementation","https://arxiv.org/abs/2601.03403 ; https://arxiv.org/e-print/2601.03403",CC BY-SA 4.0 via arXiv license link,C35DEDD8CD1D8134CFD11EC57C22582353BFD6B22C45C04F8182EACB0F09136E,work/source_canon_witnesses/20260704_r9_source_canon/arxiv_2601_03403_tigrinya_number_verbalization_eprint.tar,"extracted/arxiv_2601_03403/main.tex; 00README.json says xelatex",source TeX no OCR required,"numbers; ordinals; currency; percent; dates; time; register","Tigrinya; Ethiopic",source-canon/register witness only,not algebra or invariant theory; no term approval or community review,false
R9-SC-002,Tigrigna_Tigrinya,1,github_source_archive,tigrinya-numbers,https://github.com/fgaim/tigrinya-numbers,CC BY-SA 4.0 in README and LICENSE,A76F678BA3B568085A4CD6777A25516C7632E4D4937F37410C0F998ED9F44A79,work/source_canon_witnesses/20260704_r9_source_canon/github_fgaim_tigrinya_numbers_main.zip,"extracted/tigrinya-numbers-main/LICENSE; tigrinya_numbers/*.py",source code no OCR required,"number verbalization; currency; date; time; percent","Tigrinya; Ethiopic",source-code witness only,needs source-community/domain review before R9 use,false
R9-SC-003,R9_related_African_math_benchmark,2,huggingface_dataset_clone,Afri-MGSM,https://huggingface.co/datasets/masakhane/afrimgsm,Apache-2.0 dataset card,commit:8e4268d2b94941f18f63f694cf48e4ae26fbec65,work/source_canon_witnesses/20260704_r9_source_canon/hf_masakhane_afrimgsm,"R9 split hashes in MD table; data/{amh,hau,ibo,orm,twi,wol,yor}/*.tsv",UTF-8 TSV dataset text,"math word problems; multilingual reasoning; benchmark","Amharic; Hausa; Igbo; Oromo; Twi; Wolof; Yoruba",benchmark/source-data witness only,not native algebra/invariant-theory source canon; no term approval,false
R9-SC-004,Hausa,3,html_metadata_context_corpus,Mathematics in Hausa SS1/SS2 route and source-return captures,https://english.amsoshi.com/2025/07/mathematics-in-hausa-language.html,no reuse permission from metadata/app pages,source_manifest_sha256:D609913BEA9E2873303D9383817E7E8E4C51368B0C9F441B2CD5C8C5C1C96C6E,C:/Users/memo_/Documents/Codex/2026-06-09/could-you-look-online-for-me/work/noether-slavic-canonical/sources/non_slavic_reference_corpus/20260703T162646Z_r9_hausa_direct_math_source_return_pass2,metadata/source_manifest.json,no local textbook content or OCR corpus,"secondary mathematics route; metadata; context","Hausa",source-return route only,need book/app content source-owner license return or reviewer return,false
R9-SC-005,Igbo,3,html_pdf_metadata_context_corpus,Basic Igbo mathematics book route and context PDFs,https://www.amazon.com.au/Introduction-Basic-Igbo-Mathematics-MBIDO-ebook/dp/B095J9S669,no reuse permission from commercial metadata/context,source_manifest_sha256:9FCDF564AD76836419488BEA6BF5DC1524DB8C9E1117F9F74B8FDD5BB585F923,C:/Users/memo_/Documents/Codex/2026-06-09/could-you-look-online-for-me/work/noether-slavic-canonical/sources/non_slavic_reference_corpus/20260703T162950Z_r9_igbo_glossary_textbook_source_return_pass2,metadata/source_manifest.json,no source-cleared math text,"basic mathematics route; medium-of-instruction context","Igbo",source-return route only,need source-cleared book/glossary text or reviewer return,false
R9-SC-006,Amharic,3,pdf_textbook_shelf,Ethiopia Learning Amharic math chapter shelf,https://ethiopialearning.com/,no source permission or public signoff claimed,"source_manifest_sha256:F9925636B1733F0E26ED3F6AC57A93EF2F64C593264EE9702D07F4C4742C5F63; sample_pdf_sha256:E3B9317E865DFA8FCD9B42940E9DE746ED738794852CAC8ECE177B15FE3B1B9B",C:/Users/memo_/Documents/Codex/2026-06-09/could-you-look-online-for-me/work/noether-slavic-canonical/sources/non_slavic_reference_corpus/20260703T164546Z_r9_amharic_pass2,metadata/source_manifest.json,44 font-garbled rows 3 extractable rows 1 empty row; visible Ethiopic may have unusable text layer,"school mathematics; arithmetic; algebra candidates; OCR","Amharic; Ethiopic",OCR/source-canon witness only,need OCR/font-map repair and full textbook/teacher guide return,false
R9-SC-007,Afar,3,pdf_media_metadata_context,Qafar/Afar math media metadata and context PDF routes,multiple URLs in source_manifest.json,no transcript or reuse permission,"source_manifest_sha256:3E81FDB9985FD57A6CE8851B51C09D2447ED247D2103F52340BD9E0F08B9F521; sample_pdf_sha256:F7A79CB56C64C2F6B7930E2F79B4B2A90C066B005408D1290D7BCD79436E58C6",C:/Users/memo_/Documents/Codex/2026-06-09/could-you-look-online-for-me/work/noether-slavic-canonical/sources/non_slavic_reference_corpus/20260703T165443Z_r9_afar_pass2,metadata/source_manifest.json,no transcript or direct local wording,"math media leads; education context; transcript gap","Afar; Qafar",source-return witness only,need transcript/audio review and source permission,false
R9-SC-008,Somali,3,pdf_textbook_shelf,Ethiopia Learning Somali math shelf,https://ethiopialearning.com/,permission and attribution open,"source_manifest_sha256:C183019ABCA0F0ED1C096A2F9DF9F511FD91867CE87D0BEE8FA0B1F19993A87C; sample_pdf_sha256:C981DB656CF3357F37669E347485E74B9A33F8E6468D0784378C8B45A614BF45",C:/Users/memo_/Documents/Codex/2026-06-09/could-you-look-online-for-me/work/noether-slavic-canonical/sources/non_slavic_reference_corpus/20260703T170417Z_r9_somali_oromo_pass2,metadata/source_manifest.json,Latin extraction usable for source pointers; proof/register open,"school mathematics; proof/register review; textbook shelf","Somali",noncanonical source witness only,need source permission attribution and proof-language reviewer return,false
R9-SC-009,Oromo,3,pdf_textbook_shelf,Ethiopia Learning Oromo math shelf,https://ethiopialearning.com/,permission and attribution open,"source_manifest_sha256:C183019ABCA0F0ED1C096A2F9DF9F511FD91867CE87D0BEE8FA0B1F19993A87C; sample_pdf_sha256:0A2C875C7F7C34B1A5D9127300F508983EE467EBEC2D20B4CF34AA7FF123F027",C:/Users/memo_/Documents/Codex/2026-06-09/could-you-look-online-for-me/work/noether-slavic-canonical/sources/non_slavic_reference_corpus/20260703T170417Z_r9_somali_oromo_pass2,metadata/source_manifest.json,Latin extraction usable; apostrophe/source spelling review open,"school mathematics; orthography; proof/register review","Oromo; Afaan Oromo",noncanonical source witness only,need page-image spelling source permission attribution and proof-language review,false
R9-SC-010,Tigrigna_Tigrinya,3,pdf_textbook_shelf,Ethiopia Learning Tigrigna/Tigrinya math shelf,https://ethiopialearning.com/,no source permission or public signoff claimed,"source_manifest_sha256:82DFE776785C128DBE0D0E2A250F73FA5E61C7A6B3B4B99922373F502E418E31; sample_pdf_sha256:CFF806D15008BD36B086DAE54996569E9A1FFEA72E4E0D492D73AFDFF72F1BDD",C:/Users/memo_/Documents/Codex/2026-06-09/could-you-look-online-for-me/work/noether-slavic-canonical/sources/non_slavic_reference_corpus/20260703T172503Z_r9_tigrigna_tigrinya_pass2,metadata/source_manifest.json,53 extractable Ethiopic rows; weak rows and noisy layers remain,"school mathematics; Ethiopic script; source text; OCR","Tigrigna; Tigrinya; Ethiopic",noncanonical source witness only,need render/text comparison script label and reviewer verification,false
