"lexeme_id","language","branch","script","source_form","normalized_form","source_document","source_location","witness_category","source_use_label","formula_neighboring_note"
"ar-lex-algebra","ar","Semitic>Arabic","Arabic","الجبر","الجبر","mustansiriyah_abstract_algebra_principles.pdf; hiast_algebra_I_abstract_algebra.pdf; raw wiki algebra texts","package source-bodies/pdf and native-text; active row AR-BUCKET-20260705-002","source-witness","native-source-body","Use الجبر for discipline; جبر for object. Examples: جبر \(A\); \(A\)-جبر. Needs RTL TeX/PDF QA."
"ar-lex-algebra","ar","Semitic>Arabic","Arabic","جبور","جبور","active Arabic row workup","generated-draft/non-canonical row support","generated-draft","generated-draft","Plural for Algebren flagged for reviewer/native mathematical register review."
"ar-lex-field","ar","Semitic>Arabic","Arabic","حقل","حقل","mu_math444_course_spec.pdf; ens_ouargla_general_algebra_r211.pdf; anbar_mathematics_arabic_program.pdf","package source-bodies/pdf; active row AR-BUCKET-20260705-003","source-witness","native-source-body","Examples: \(\Omega\) حقل عددي; حقل \(K\); حقل الدوال في \(n\) من المتغيرات. Keep math separated and inspect bidi order."
"ar-lex-field","ar","Semitic>Arabic","Arabic","مجال","مجال","active Arabic row workup","do-not-use/adverse row","adverse-evidence","generated-draft","Not preferred for algebraic field in this lane; do not silently substitute for حقل."
"ar-lex-ring","ar","Semitic>Arabic","Arabic","حلقة","حلقة","mu_math444_course_spec.pdf; anbar_mathematics_arabic_program.pdf; Damascus specialist ring PDFs","package source-bodies/pdf; active row AR-BUCKET-20260705-004","source-witness","native-source-body","Examples: \(R\)-حلقة; لتكن \(R\) حلقة; \(o\) حلقة ذات عنصر واحدي. Hyphen direction needs PDF QA."
"ar-lex-ring","ar","Semitic>Arabic","Arabic","نطاق حلقي","نطاق حلقي","active Arabic row workup","generated-draft/non-canonical Ringbereich note","generated-draft","generated-draft","Ringbereich/domain nuance unresolved; compare نطاق تكاملي/مجال حلقي before reviewer use."
"ar-lex-artinian","ar","Semitic>Arabic","Arabic","آرتيني","آرتيني","syriamath_structures3_noetherian_artinian_modules.pdf; ksu_artinian_serial_rings_1430.doc","package source-bodies/pdf/doc; active row Artinian","source-witness","native-source-body","Use for eponymic Artinian ring/module contexts; keep chain-condition paraphrase separate."
"ar-lex-artinian","ar","Semitic>Arabic","Arabic","شرط السلسلة التنازلية","شرط السلسلة التنازلية","active Arabic row workup; SyriaMath Artinian/Noetherian witness","generated-draft/non-canonical chain-condition support","generated-draft","generated-draft","For descending chains such as \(\mathfrak A_1\supset\mathfrak A_2\supset\cdots\); verify Arabic punctuation around inequalities."
"ar-lex-homomorphism","ar","Semitic>Arabic","Arabic","تشاكل","تشاكل","damascus_module_representation_pdf.pdf; ens_kouba_alg411.pdf; syriamath_structures2_ring_homomorphism.pdf","package source-bodies/pdf; active row homomorphism","source-witness","native-source-body","Examples: تشاكل \(R\to S\); الصورة التشاكلية لـ \(\Im^*\). Arabic preposition before formula needs PDF QA."
"ar-lex-homomorphism","ar","Semitic>Arabic","Arabic","تجانس / مورفيزم / هومومورفيزم","تجانس; مورفيزم; هومومورفيزم","active Arabic row workup","alternative/register notes","adverse-or-alternative-evidence","generated-draft","Alternatives only; do not promote over تشاكل without reviewer/context decision."
"ar-lex-isomorphism","ar","Semitic>Arabic","Arabic","تماثل","تماثل","damascus_module_representation_pdf.pdf; ens_kouba_alg411.pdf; anbar_mathematics_arabic_program.pdf","package source-bodies/pdf; active row isomorphism","source-witness","native-source-body","Examples: \(A\simeq B\); التطبيق التماثلي; حلقة التماثلات الذاتية. Check bidi around \simeq."
"ar-lex-isomorphism","ar","Semitic>Arabic","Arabic","إيزومورفيزم / تشاكل تقابلي","إيزومورفيزم; تشاكل تقابلي","active Arabic row workup","alternative/register notes","adverse-or-alternative-evidence","generated-draft","Evidence/alternative only; avoid as default without reviewer decision."
