"source_document_id","path","language","branch","file_type","provenance_url_or_path","sha256","license_or_availability_note","witness_category","source_use_label","notes"
"ar-src-001","language-source-bodies/rtl-persianate-arabic/ar/bucket-summary.csv","ar","Semitic>Arabic",".csv","pre-existing package member or package-generated support","B3C092E4F3F55975743A3457A3FC2BAFBCD918D113A71D8DBDBA1F2B04B455E9","recorded per Arabic lane evidence where available; no blanket license clearance","audit-ledger","audit-ledger","audit, source-canon, source-recovery, or source-use support ledger"
"ar-src-002","language-source-bodies/rtl-persianate-arabic/ar/EXTENSION_COUNTS.csv","ar","Semitic>Arabic",".csv","pre-existing package member or package-generated support","4F1E3ED9288A057F6F48756B8A365DEA4F68981FBA96294327A6A0A6BF7B1A49","recorded per Arabic lane evidence where available; no blanket license clearance","audit-ledger","audit-ledger","audit, source-canon, source-recovery, or source-use support ledger"
"ar-src-003","language-source-bodies/rtl-persianate-arabic/ar/extracted-ocr-witnesses/20260705T035500Z_arabic_official_pdf_probe/downloads/damascus_algebraic_structures_2_ring_theory.first5.txt","ar","Semitic>Arabic",".txt","pre-existing package member or package-generated support","FA3D4BE433AF17BD5AA5B8BB09C39C3554B9C1EE58BE15E60396A726F62535BC","recorded per Arabic lane evidence where available; no blanket license clearance","OCR-witness","OCR-witness","extracted/OCR/string-check witness kept separate from native bodies"
"ar-src-004","language-source-bodies/rtl-persianate-arabic/ar/extracted-ocr-witnesses/20260705T035500Z_arabic_official_pdf_probe/downloads/ksu_group_theory_course_spec.first5.txt","ar","Semitic>Arabic",".txt","pre-existing package member or package-generated support","D21790756752C4B87495924A46104A66DDF7F97D692953B59A4218E5C47403A1","recorded per Arabic lane evidence where available; no blanket license clearance","OCR-witness","OCR-witness","extracted/OCR/string-check witness kept separate from native bodies"
"ar-src-005","language-source-bodies/rtl-persianate-arabic/ar/extracted-ocr-witnesses/20260705T035500Z_arabic_official_pdf_probe/downloads/uotelafer_group_theory_lectures.first5.txt","ar","Semitic>Arabic",".txt","pre-existing package member or package-generated support","09E160B4B1B6E9F9DE763883B3E94530811E1DDD8FD8B3F630C01E457479C880","recorded per Arabic lane evidence where available; no blanket license clearance","OCR-witness","OCR-witness","extracted/OCR/string-check witness kept separate from native bodies"
"ar-src-006","language-source-bodies/rtl-persianate-arabic/ar/extracted-ocr-witnesses/20260705T043000Z_arabic_damascus_linear_algebra_probe/downloads/damascus_linear_algebra_1.first5.txt","ar","Semitic>Arabic",".txt","pre-existing package member or package-generated support","2E9FAEBBD47A57F8D00D2F73A2E412BBF5353A95A112F2278B24F69EE5D14B62","recorded per Arabic lane evidence where available; no blanket license clearance","OCR-witness","OCR-witness","extracted/OCR/string-check witness kept separate from native bodies"
"ar-src-007","language-source-bodies/rtl-persianate-arabic/ar/extracted-ocr-witnesses/20260705T043000Z_arabic_damascus_linear_algebra_probe/downloads/damascus_linear_algebra_statistics_probability.first5.txt","ar","Semitic>Arabic",".txt","pre-existing package member or package-generated support","2E9FAEBBD47A57F8D00D2F73A2E412BBF5353A95A112F2278B24F69EE5D14B62","recorded per Arabic lane evidence where available; no blanket license clearance","OCR-witness","OCR-witness","extracted/OCR/string-check witness kept separate from native bodies"
"ar-src-008","language-source-bodies/rtl-persianate-arabic/ar/extracted-ocr-witnesses/20260705T051200Z_arabic_abstract_algebra_module_probe/downloads/mustansiriyah_abstract_algebra_principles.first5.txt","ar","Semitic>Arabic",".txt","pre-existing package member or package-generated support","CFFBC20B9532025078477284CABF30AFCBAC757F738ECC5718690B8334C304FA","recorded per Arabic lane evidence where available; no blanket license clearance","OCR-witness","OCR-witness","extracted/OCR/string-check witness kept separate from native bodies"
"ar-src-009","language-source-bodies/rtl-persianate-arabic/ar/extracted-ocr-witnesses/20260705T051200Z_arabic_abstract_algebra_module_probe/downloads/syriamath_algebraic_structures_3_modules.first5.txt","ar","Semitic>Arabic",".txt","pre-existing package member or package-generated support","E6CA304375C2FBEA1FDC41DECF5C447FE928FF0AA19BCF2F191F3BE615CEFA74","recorded per Arabic lane evidence where available; no blanket license clearance","OCR-witness","OCR-witness","extracted/OCR/string-check witness kept separate from native bodies"
"ar-src-010","language-source-bodies/rtl-persianate-arabic/ar/extracted-ocr-witnesses/20260705T051200Z_arabic_abstract_algebra_module_probe/downloads/uobasrah_crossed_modules_thesis_abstract_2010.first5.txt","ar","Semitic>Arabic",".txt","pre-existing package member or package-generated support","B875DE52637DBFADF5DD4CBDCAE7253209CFAAC61077BF627EB4C8DD99E744D4","recorded per Arabic lane evidence where available; no blanket license clearance","OCR-witness","OCR-witness","extracted/OCR/string-check witness kept separate from native bodies"
