decision_id,source_lines,decision_category,selected_english_convention,rejected_regression_category,evidence_channel,review_status
I03-001,653-669,heading proposition and equivalent conditions,retain both unramified and historical net with all three conditions,loss of historical synonym or candidate agreement as source proof,French TeX and formula review,closed_independent_pass
I03-002,670-685,proof reductions and formulas,retain implication order and every algebraic reduction,gap-bearing candidate or unproved embellishment,French TeX proof structure,closed_independent_pass
I03-003,687-708,definition radicals residue fields and source voice,declare net and unramified then use the modern term while retaining formulas,malformed macro or silent removal of the source footnote,French TeX and terminology review,closed_independent_pass
I03-004,710-717,remarks and printed-page boundary,place the page-three marker at the exact internal sentence boundary,approximate page marker or incomplete completion sentence,French TeX and original-print page,closed_independent_pass
I03-005,719-736,graph and pullback formulas,use the type-correct graph target and identity factor with one immediate two-defect note,silent reproduction or silent correction of either source defect,French TeX original print and domain-codomain typing,closed_two_source_defects_disclosed_independent_pass
I03-006,738-747,different ideal and ramified locus,use standard different-ideal terminology and record all five index debts,terminology uncertainty or silent index loss,French TeX and cumulative-index debt ledger,closed_independent_pass
I03-007,749-762,stability proposition and commentary,preserve all three unramified claims and source commentary,ramified-for-unramified sign reversal,French TeX assertion review,closed_independent_pass
I03-008,764-772,corollaries iv-vi,use Cartesian product because no common relative base is stated,fiber-product over-specification or code artifacts,French syntax and categorical domain review,closed_independent_pass
I03-009,774-780,residue-field disjunction and completions,preserve the logical OR and completed-ring quotient direction,conjunction-like hypothesis or corrupted completion glyph,French formula and logic review,closed_independent_pass
I03-010,782-799,closing remarks example and page boundary,preserve finite-flat reduction inclusion map direction and not-injective contrast,unresolved candidate wording or approximate page marker,French TeX and original-print pages,closed_independent_pass
