delta_id,category,manager_baseline,selected_sga1_form,rejected_regression_category,evidence_channel,scope,status
N-001,spelling,US spelling,neighborhood,British spelling drift,shared SGA baseline,all SGA1 prose except quotations and titles,active
N-002,capitalization,lowercase ordinary adjectival form,noetherian,mid-sentence capitalization drift,shared SGA baseline,all SGA1 prose,active
N-003,categorical terminology,formal categorical register,morphism,informal map substitution,shared baseline and source register,all formal prose,active
N-004,historical terminology,source-sensitive historical vocabulary,prescheme where the authority uses the historical term,silent modernization,source-sensitive baseline,all source-sync units,active
N-005,products,exact base and factor order,preserve every fiber-product base and factor order,dropped or altered base,mathematical-fidelity baseline,all formulas,active
N-006,heading register,translate rather than simplify,Notions of differential calculus,heading simplification,French heading and lane baseline,I.1,closed
N-007,logic term,retain available English technical cognate,sorites,automatic lexical substitution,French lexical evidence and English technical usage,I.1 and later context,active
N-008,citation form,retain work volume locator and attachment,Cf. EGA IV 16.3 in source-controlled footnote,relocation or loss,French TeX citation structure,I.1,closed
N-009,source-page evidence,distinguish source pagination from output pagination,qualified French source page marker,bare ambiguous margin numeral,French TeX page witness,all source-page markers,active
N-010,witness independence,no scalar decision from correlated controls,one Hosgood derivative lineage,false vote counting,Git authorship and migration history,all candidate comparisons,active
N-011,rights handling,explicit attribution and rights caveats,translate from French authority and require archive review,assuming public visibility is a license,source notice and usage evidence,all checkpoints,active
N-012,theorem register,preserve source environment and numbering,Proposition I.2.1 and Corollary I.2.2 with shared source numbering,flattened or candidate-local numbering,French environments and labels 607-647,I.2,closed
N-013,source-page evidence,place marker at exact source boundary,French p.2 marker after One then says,moving the marker before the complete sentence,French lines 624-628 and printed boundary,I.2,closed
N-014,source-defect formulas,use a type-correct form only with explicit disclosure,type-correct fiber plus original-print defect note,silent correction or unqualified ill-typed reproduction,original-print scan and French line 636,I.2,closed
N-015,logic term,use context-sensitive English with recorded rationale,sorites for the abstract I.1 construction and chain of implications for the explicit I.2 sequence,one scalar replacement for every occurrence,French lines 600 and 649-651 plus contextual SGA5 usage,I.1-I.2,closed
N-016,historical terminology,modern primary term with source synonym preserved,unramified after declaring historical net,erasure of net or unexplained running net,French declaration and shared modern English usage,I.3,pending_manager_baseline_review
N-017,technical terminology,standard algebraic-geometry term,different ideal,terminology uncertainty or generic annihilator-only wording,French lines 738-747 and standard target usage,I.3,independent_pass
N-018,sheaf register,idiomatic pointwise vanishing,vanishes at x,is null at x,French Proposition I.3.1(ii),I.3,independent_pass
N-019,categorical terminology,preserve the source distinction,Cartesian product when no common base is stated,fiber product without an explicit relative base,French lines 764-772 and parallel source terminology,I.3,pending_manager_baseline_review
N-020,field terminology,make the field role explicit,residue-field extension,ambiguous residue extension,French lines 776-795,I.3,independent_pass
N-021,source pagination,retain exact internal page transitions,French p.3 and p.4 markers at the source boundaries,paragraph-level approximate markers,French TeX and original print,I.3,independent_pass
N-022,source corrections,repair ill-typed formulas only with immediate disclosure,type-correct graph target and identity factor with one two-defect note,silent reproduction or silent correction,French TeX original print and domain-codomain typing,I.3,source_defects_closed_independent_pass
