adverse_id,unit,pressure_category,risk,selected_response,evidence_channel,status
A-001,I opening,directional normalization,resolves an authority ambiguity and may shift applicability,retain literal after-no.-I.2 wording,French line 566 and independent source-first review,rejected
A-002,I.1 heading,heading simplification,flattens authority register,retain Notions register,French line 568,rejected
A-003,I.1 first sentence,notation and base-relation loss,omits alternate notation or weakens the relation,retain alternate diagonal notation and over Y,French lines 570-573 and notation anchor,rejected
A-004,I.1 parenthetical,lexical weakening,loses hoax or farce register,select farcical,French line 579 and lexical evidence,rejected
A-005,I.1 parenthetical,unsupported adverb addition,adds location absent from authority,omit added adverb,French lines 577-581,rejected
A-006,I.1 notation,silent mathematical repair,rewrites authoritative notation,preserve the authority subscript exactly,French line 580,rejected
A-007,I.1 formula layout,display promotion,changes source paragraph and emphasis,retain inline equality,French lines 588-590,rejected
A-008,I.1 formula typography,font-family substitution,changes the source calligraphic family,retain calligraphic P,French line 589,rejected
A-009,I.1 terminology,regional spelling drift,conflicts with manager-controlled baseline,use US neighborhood,shared baseline counts,rejected
A-010,I.1 logic term,automatic lexical replacement,discards an available English technical cognate,use singular sorites,French line 600 and lexical review,rejected
A-011,I.1 ending,instrumental-use semantic shift,changes speaking usefully into using an object,retain something-useful-to-say sense,French lines 601-603,rejected
A-012,I.1 ending,unsupported exclusivity marker,adds identification absent from authority,use in connection with smooth morphisms,French lines 602-603,rejected
A-013,candidate provenance,false independence assumption,creates spurious corroboration,record one derivative lineage,Git history and blame,corrected
A-014,candidate coverage,status-only inference,overstates zero-body stub files,record measured stubs and contradiction,tracked contents and byte counts,corrected
A-015,candidate quality,unresolved machine-aided control,cannot support certification or source alignment,use only as adverse and terminology control,repository notice and tracked markers,controlled
A-016,candidate rights,public-visibility inference,creates verbatim-reuse and publication risk,do not copy and require archive rights review,usage notice and tracked license tree,controlled
A-017,inherited control,full-volume appearance,may be mistaken for source-aligned completeness,retain control-only status until unitwise French comparison,internal provenance header,controlled
A-018,SGA5 packaging,mutable shared control,can hide historical 38-of-39 ledger drift,preserve historical control and use payload-scoped hashes in the verified SGA5 replacement,verified SGA5 replacement handoff record,resolved_by_sga5_replacement_handoff
A-019,candidate provenance and scope,current broad LLM candidate,may be mistaken for independently source-audited corroboration,use current Markdown only as a unit-matched wording and terminology control,archive hash README and measured SGA1 inventory,controlled
A-I02-001,I.2 condition iii,broken candidate formula glyph,corrupts completion notation,use explicit completion of A from French lines 620-621,French formula review,rejected
A-I02-002,I.2 fiber sentence,source-original ill-typed formula,may be silently corrected or reproduced without warning,use the type-correct fiber and disclose the original printed form,Wstein original-print page and French line 636,closed_source_defect_disclosed
A-I02-003,I.2 closing remark,rare candidate logic term,obscures the explicit implication-chain context,use chain of implications,French lines 649-651 and contextual SGA-wide convention,rejected
A-I02-004,I.2 publication gate,compile-only completion claim,compile does not prove source formula ledger or render closure,require exact source hash print adjudication per-unit ledgers final build render and frozen review,lane publication gates,rejected
A-020,I.3 terminology,historical-versus-modern term pressure,erasing net loses source history while unexplained running net impairs target clarity,retain both in the heading and definition then use unramified,French lines 653 and 690-706 plus shared normalization policy,pending_manager_baseline_review
A-021,I.3 Proposition I.3.5,sign-reversing external candidate,reverses three mathematical assertions,translate every assertion as unramified,French lines 749-755,rejected
A-022,I.3 Corollary I.3.4,source-original graph target defect,ill-typed target conflicts with the following pullback domain,use the type-correct graph target with an immediate note,French lines 724-736 plus original-print page and morphism typing,closed_source_defect_disclosed_independent_pass
A-023,I.3 Proposition I.3.7,collapsed logical disjunction,strengthens the source hypothesis,retain trivial residue-field extension OR algebraically closed base residue field,French lines 774-780,rejected
A-024,I.3 Proposition I.3.7,corrupted completion glyph,destroys the completed-ring formula,use explicit completed-ring TeX,French lines 778-780,rejected
A-025,I.3 Definition I.3.2,pressure to modernize away source voice,silently erases the source footnote,retain the regrets and exact Exposé III locator,French line 706,selected_independent_pass
A-026,I.3 source index,silent omission of five index commands,loses cumulative apparatus and restoration trace,record five row-level debts and retain the notation label,French lines 692 696 739 742 and 743,controlled_deferred
A-027,I.3 Corollary I.3.4 proof,source-original identity-subscript defect,identity factor has the wrong domain,use the identity on X and disclose it with the graph-target defect,French lines 732-736 plus original-print page and domain-codomain typing,closed_source_defect_disclosed_independent_pass
A-028,I.3 Corollaries I.3.6(iv),fiber-product normalization pressure,adds an unstated common relative base,use Cartesian product and reserve fiber product for explicit relative products,French lines 764-772 plus independent source-syntax review,source_precision_closed_independent_pass
