source_term,spanish,japanese,notes
endliche Gruppe,grupo finito,有限群,Paper 07 title and body
Invariant,invariante,不変式,Use consistently for invariant-theory context
Galoissche Resolvente,resolvente de Galois,Galois resolvent,Paper 07; JA keeps Latin expression attached to formula
vollständiges System,sistema completo,完全系,Full system of invariants
Potenzsumme,suma de potencias,冪和,Paper 07
Grundform,forma fundamental,基本形式,Paper 08 title and Hilbert conjecture
Polarprozeß / Polarprozess,proceso polar,極化過程,Paper 08
lineare Familie,familia lineal,線形族,Paper 08 equivalence proof
Rang,rango,階数,Rank of linear family
Reihenentwicklung,desarrollo en serie,級数展開,Paper 08 section III
Determinante,determinante,行列式,Paper 08 determinant notation
cogrediente Veränderliche,variables cogredientes,共変な変数,Historical invariant-theory term
