paper_number	title	printed_start_page	printed_end_page	pdf_start_page_1_based	pdf_end_page_1_based	slice_pdf
1	Über die Bildung des Formensystems der ternären biquadratischen Form	27	30	41	44	original_source_paper_slices/Noether_Paper_01_Ueber_die_Bildung_des_Formensystems_der_ternaeren_biquadratische_source_scan_pp027-030.pdf
2	Über die Bildung des Formensystems der ternären biquadratischen Form	31	99	45	113	original_source_paper_slices/Noether_Paper_02_Ueber_die_Bildung_des_Formensystems_der_ternaeren_biquadratische_source_scan_pp031-099.pdf
3	Zur Invariantentheorie der Formen von n Variabeln	100	103	114	117	original_source_paper_slices/Noether_Paper_03_Zur_Invariantentheorie_der_Formen_von_n_Variabeln_source_scan_pp100-103.pdf
4	Zur Invariantentheorie der Formen von n Variabeln	104	140	118	154	original_source_paper_slices/Noether_Paper_04_Zur_Invariantentheorie_der_Formen_von_n_Variabeln_source_scan_pp104-140.pdf
5	Rationale Funktionenkörper	141	144	155	158	original_source_paper_slices/Noether_Paper_05_Rationale_Funktionenkoerper_source_scan_pp141-144.pdf
6	Körper und Systeme rationaler Funktionen	145	180	159	194	original_source_paper_slices/Noether_Paper_06_Koerper_und_Systeme_rationaler_Funktionen_source_scan_pp145-180.pdf
7	Der Endlichkeitssatz der Invarianten endlicher Gruppen	181	185	195	199	original_source_paper_slices/Noether_Paper_07_Der_Endlichkeitssatz_der_Invarianten_endlicher_Gruppen_source_scan_pp181-185.pdf
8	Über ganze rationale Darstellung der Invarianten eines Systems von beliebig vielen Grundformen	186	194	200	208	original_source_paper_slices/Noether_Paper_08_Ueber_ganze_rationale_Darstellung_der_Invarianten_eines_Systems_source_scan_pp186-194.pdf
9	Die allgemeinsten Bereiche aus ganzen transzendenten Zahlen	195	220	209	234	original_source_paper_slices/Noether_Paper_09_Die_allgemeinsten_Bereiche_aus_ganzen_transzendenten_Zahlen_source_scan_pp195-220.pdf
10	Die Funktionalgleichungen der isomorphen Abbildung	221	230	235	244	original_source_paper_slices/Noether_Paper_10_Die_Funktionalgleichungen_der_isomorphen_Abbildung_source_scan_pp221-230.pdf
11	Gleichungen mit vorgeschriebener Gruppe	231	239	245	253	original_source_paper_slices/Noether_Paper_11_Gleichungen_mit_vorgeschriebener_Gruppe_source_scan_pp231-239.pdf
12	Invarianten beliebiger Differentialausdrücke	240	247	254	261	original_source_paper_slices/Noether_Paper_12_Invarianten_beliebiger_Differentialausdruecke_source_scan_pp240-247.pdf
