"candidate_id","language_gate","extracted_text_file","text_bytes","arabic_block_chars","arabic_presentation_form_chars","persian_specific_chars","urdu_specific_chars","cyrillic_chars","latin_chars","math_symbol_chars","replacement_chars","zwnj_chars","bidi_control_chars","sanity_note","boundary"
"AR-NOETH-001","ar","extracted-text\AR-NOETH-001.txt","52547","10083","0","0","0","0","2011","218","0","0","2056","contains RTL/LTR/bidi controls; preserve exact source context; Arabic block present for Arabic gate","Arabic RTL only; exact source codepoints and formula-neighbor context required."
"AR-NOETH-002","ar","extracted-text\AR-NOETH-002.txt","96201","20197","0","0","0","0","4079","54","0","0","3004","contains RTL/LTR/bidi controls; preserve exact source context; Arabic block present for Arabic gate","Arabic RTL only; exact source codepoints and formula-neighbor context required."
"AR-NOETH-003","ar","extracted-text\AR-NOETH-003.txt","33152","4080","0","0","0","0","650","16","0","0","1664","contains RTL/LTR/bidi controls; preserve exact source context; Arabic block present for Arabic gate","Arabic RTL only; exact source codepoints and formula-neighbor context required."
"AR-NOETH-004","ar","extracted-text\AR-NOETH-004.txt","8618","683","0","0","0","0","2163","0","0","0","0","Arabic block present for Arabic gate","Arabic RTL only; exact source codepoints and formula-neighbor context required."
"FA-IDEAL-001","fa_IR","extracted-text\FA-IDEAL-001.txt","849256","42974","96379","1868","0","0","25120","4104","0","0","46066","contains RTL/LTR/bidi controls; preserve exact source context; Persian-specific letters/ZWNJ present for fa_IR gate","Persian/Farsi RTL only; keep Yeh/Kaf/ZWNJ variants source-bound."
"FA-IDEAL-002","fa_IR","extracted-text\FA-IDEAL-002.txt","307176","16096","36141","790","0","2","12519","1193","0","0","15344","contains RTL/LTR/bidi controls; preserve exact source context; Persian-specific letters/ZWNJ present for fa_IR gate","Persian/Farsi RTL only; keep Yeh/Kaf/ZWNJ variants source-bound."
"FA-IDEAL-003","fa_IR","extracted-text\FA-IDEAL-003.txt","74030","13498","0","2412","0","0","6704","263","0","0","2412","contains RTL/LTR/bidi controls; preserve exact source context; Persian-specific letters/ZWNJ present for fa_IR gate","Persian/Farsi RTL only; keep Yeh/Kaf/ZWNJ variants source-bound."
"UR-LA-001","ur_Arab","extracted-text\UR-LA-001.txt","2","0","0","0","0","0","0","0","0","0","0","no script anomaly detected by coarse codepoint audit","Urdu/Hindustani gate remains source-acquisition only in this packet."
"UR-LA-002","ur_Arab","extracted-text\UR-LA-002.txt","2","0","0","0","0","0","0","0","0","0","0","no script anomaly detected by coarse codepoint audit","Urdu/Hindustani gate remains source-acquisition only in this packet."
"UR-LA-003","ur_Arab","extracted-text\UR-LA-003.txt","19287","5874","0","1221","808","0","1033","0","0","0","0","Urdu-specific letters present; source-acquisition only","Urdu/Hindustani gate remains source-acquisition only in this packet."
"OTA-CAT-001","ota_Arab","extracted-text\OTA-CAT-001.txt","3195762","0","0","0","0","0","849744","0","0","0","0","Ottoman/provenance gate; codepoints do not certify literal Ottoman source body; mostly Latin extraction; treat as provenance/support only unless body row says otherwise","Ottoman/Turkic gate remains provenance-only unless literal source body is present."
"OTA-CAT-002","ota_Arab","extracted-text\OTA-CAT-002.txt","1633728","0","0","0","0","0","711977","0","0","0","0","Ottoman/provenance gate; codepoints do not certify literal Ottoman source body; mostly Latin extraction; treat as provenance/support only unless body row says otherwise","Ottoman/Turkic gate remains provenance-only unless literal source body is present."
"OTA-CEBIR-001","ota_Arab","extracted-text\OTA-CEBIR-001.txt","47","0","0","0","0","0","0","0","0","0","0","Ottoman/provenance gate; codepoints do not certify literal Ottoman source body","Ottoman/Turkic gate remains provenance-only unless literal source body is present."
"OTA-CEBIR-002","ota_Arab","extracted-text\OTA-CEBIR-002.txt","45187","45","0","0","0","0","25734","0","0","0","0","Ottoman/provenance gate; codepoints do not certify literal Ottoman source body","Ottoman/Turkic gate remains provenance-only unless literal source body is present."
