"artifact_id","category","local_path","local_file_count","local_total_bytes","local_extensions","local_manifest_present","local_sha256sums_present","local_row_totals","target_branch_head","branch_presence_status","branch_match_count","branch_match_paths_sample","b3_next_action"
"A01-rtl-source-bodies-session06","source-body/source-package","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\language-source-bodies\rtl-persianate-arabic","205","341736658",".csv=9; .html=48; .json=2; .md=5; .pdf=56; .tex=3; .txt=76; .zip=6","True","True","","c3e7d9116a99b025bef2a3dc781449683603e866","branch-present-exact-or-named-root","1150","interlanguage-sidecar/20260704/expanded_source_anchors_20260704/noether-r3-arabic-persianate-linear-algebra/ar.wikibooks.org/_.html | interlanguage-sidecar/20260704/expanded_source_anchors_20260704/noether-r3-arabic-persianate-linear-algebra/ar.wikibooks.org/_____.html | interlanguage-sidecar/20260704/expanded_source_anchors_20260704/noether-r3-arabic-persianate-linear-algebra/ar.wikibooks.org/index.php | interlanguage-sidecar/20260704/expanded_source_anchors_20260704/noether-r3-arabic-persianate-linear-algebra/library.knu.edu.af/index.php | interlanguage-sidecar/20260704/expanded_source_anchors_20260704/noether-r3-arabic-persianate-linear-algebra/old.knu.edu.af/_-_-_-_-_.pdf | interlanguage-sidecar/20260704/expanded_source_anchors_20260704/noether-r3-arabic-persianate-linear-algebra/old.knu.edu.af/index.html | interlanguage-sidecar/20260704/expanded_source_anchors_20260704/noether-r3-arabic-persianate-linear-algebra/people.iut.ac.ir/mbny_mtrys.pdf | interlanguage-sidecar/20260704/expanded_source_anchors_20260704/noether-r3-arabic-persianate-linear-algebra/raw.githubusercontent.com/main.tex | interlanguage-sidecar/20260704/latex_source_body_bundles/Interlanguage_BackupDump_NonSlavic_TeXFeed_arabic_persianate_rtl_20260705.zip | interlanguage-sidecar/20260704/latex_source_body_bundles/Interlanguage_LaTeX_SourceBodies_Persian_RTL_Arabic_20260704.zip | language-source-bodies/rtl-persianate-arabic-20260705-r3-full-source-bodies/KEY_SHAPED_HTML_OMISSION_LEDGER_20260705.csv | language-source-bodies/rtl-persianate-arabic-20260705-r3-full-source-bodies/LOGBOOK.md","B3 verify committed-tree files/hashes and exact relative paths; refresh if local Session06 files are missing or structurally different"
"A02-cycle2-source-canon-recovery","source-canon/provenance/extraction","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705","41","18455128",".csv=9; .html=5; .json=1; .md=2; .pdf=9; .txt=15","True","True","CANDIDATE_SOURCE_WITNESSES.csv=14; SOURCE_TEXT_EXTRACTION_LEDGER.csv=14; EXACT_TERM_CONTEXT_EVIDENCE.csv=210; SOURCE_GATED_DRAFT_UNLOCK_CANDIDATES.csv=5","c3e7d9116a99b025bef2a3dc781449683603e866","branch-has-adjacent-or-older-scope-material; local artifact root not present verbatim","612","interlanguage-sidecar/20260704/expanded_source_anchors_20260704/noether-arabic-rtl-source-evidence-draft-lane/arxiv.org/arxiv_2504.12179.pdf | interlanguage-sidecar/20260704/expanded_source_anchors_20260704/noether-arabic-rtl-source-evidence-draft-lane/edu.qu.edu.iq/_-_-_-_-_-_-2025-2026.pdf | interlanguage-sidecar/20260704/expanded_source_anchors_20260704/noether-arabic-rtl-source-evidence-draft-lane/fezzanu.edu.ly/189.html | interlanguage-sidecar/20260704/expanded_source_anchors_20260704/noether-arabic-rtl-source-evidence-draft-lane/uomustansiriyah.edu.iq/12_2019_05_29_01_03_09_PM.pdf | interlanguage-sidecar/20260704/expanded_source_anchors_20260704/noether-arabic-rtl-source-evidence-draft-lane/uomustansiriyah.edu.iq/161_2024_08_27_11_27_01_PM.pdf | interlanguage-sidecar/20260704/expanded_source_anchors_20260704/noether-arabic-rtl-source-evidence-draft-lane/uomustansiriyah.edu.iq/192_2019_10_20_08_53_36_PM.pdf | interlanguage-sidecar/20260704/expanded_source_anchors_20260704/noether-arabic-rtl-source-evidence-draft-lane/www.aiu.edu.sy/prufer-ring-and-arithmetical-ring.html | interlanguage-sidecar/20260704/expanded_source_anchors_20260704/noether-arabic-rtl-source-evidence-draft-lane/www.jmilne.org/GTarabic.pdf | interlanguage-sidecar/20260704/expanded_source_anchors_20260704/noether-arabic-rtl-source-evidence-draft-lane/www.jmilne.org/gt.html | interlanguage-sidecar/20260704/expanded_source_anchors_20260704/noether-arabic-rtl-source-evidence-draft-lane/www.mu.edu.sa/21.pdf | interlanguage-sidecar/20260704/expanded_source_anchors_20260704/noether-arabic-rtl-source-evidence-draft-lane/www.mu.edu.sa/_.pdf | interlanguage-sidecar/20260704/expanded_source_anchors_20260704/noether-arabic-rtl-source-evidence-draft-lane/www.syriamath.net/1159987895.pdf","B3 stage this local artifact or package delta under side-branch path; language lane did not push"
"A03-cycle2-source-gated-draft-support","generated-draft/non-canonical support","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\interlanguage-sidecar\rtl-persianate-arabic-cycle2-source-gated-draft-support-20260706","14","279961",".csv=8; .json=1; .jsonl=1; .md=3; .txt=1","True","True","CYCLE2_SOURCE_GATED_DRAFT_ROWS.csv=133","c3e7d9116a99b025bef2a3dc781449683603e866","branch-has-adjacent-or-older-scope-material; local artifact root not present verbatim","460","interlanguage-sidecar/20260704/expanded_source_anchors_20260704/noether-arabic-rtl-source-evidence-draft-lane/arxiv.org/arxiv_2504.12179.pdf | interlanguage-sidecar/20260704/expanded_source_anchors_20260704/noether-arabic-rtl-source-evidence-draft-lane/edu.qu.edu.iq/_-_-_-_-_-_-2025-2026.pdf | interlanguage-sidecar/20260704/expanded_source_anchors_20260704/noether-arabic-rtl-source-evidence-draft-lane/fezzanu.edu.ly/189.html | interlanguage-sidecar/20260704/expanded_source_anchors_20260704/noether-arabic-rtl-source-evidence-draft-lane/uomustansiriyah.edu.iq/12_2019_05_29_01_03_09_PM.pdf | interlanguage-sidecar/20260704/expanded_source_anchors_20260704/noether-arabic-rtl-source-evidence-draft-lane/uomustansiriyah.edu.iq/161_2024_08_27_11_27_01_PM.pdf | interlanguage-sidecar/20260704/expanded_source_anchors_20260704/noether-arabic-rtl-source-evidence-draft-lane/uomustansiriyah.edu.iq/192_2019_10_20_08_53_36_PM.pdf | interlanguage-sidecar/20260704/expanded_source_anchors_20260704/noether-arabic-rtl-source-evidence-draft-lane/www.aiu.edu.sy/prufer-ring-and-arithmetical-ring.html | interlanguage-sidecar/20260704/expanded_source_anchors_20260704/noether-arabic-rtl-source-evidence-draft-lane/www.jmilne.org/GTarabic.pdf | interlanguage-sidecar/20260704/expanded_source_anchors_20260704/noether-arabic-rtl-source-evidence-draft-lane/www.jmilne.org/gt.html | interlanguage-sidecar/20260704/expanded_source_anchors_20260704/noether-arabic-rtl-source-evidence-draft-lane/www.mu.edu.sa/21.pdf | interlanguage-sidecar/20260704/expanded_source_anchors_20260704/noether-arabic-rtl-source-evidence-draft-lane/www.mu.edu.sa/_.pdf | interlanguage-sidecar/20260704/expanded_source_anchors_20260704/noether-arabic-rtl-source-evidence-draft-lane/www.syriamath.net/1159987895.pdf","B3 stage this local artifact or package delta under side-branch path; language lane did not push"
"A04-fable-ledger","Fable/interlanguage support ledger","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\interlanguage-sidecar\rtl-persianate-arabic-fable-ledger-20260705","14","180449",".csv=8; .jsonl=1; .md=4; .txt=1","True","True","","c3e7d9116a99b025bef2a3dc781449683603e866","local-only-no-branch-visible-counterpart","0","","B3 stage this local artifact or package delta under side-branch path; language lane did not push"
"A05-pretranslation-support","generated-draft/non-canonical pretranslation support","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\interlanguage-sidecar\rtl-persianate-arabic-pretranslation-support-20260705","8","28746",".csv=3; .jsonl=1; .md=3; .txt=1","True","True","","c3e7d9116a99b025bef2a3dc781449683603e866","local-only-no-branch-visible-counterpart","0","","B3 stage this local artifact or package delta under side-branch path; language lane did not push"
"A06-uploader-handoff","B3/uploader handoff package","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\uploader-transfer\rtl-persianate-arabic-r3-session06-body-draft-handoff-20260706","20","320198409",".csv=7; .md=7; .txt=1; .zip=5","True","True","BODY_FILE_LEDGER.csv=282; PACKAGE_POINTERS.csv=5","c3e7d9116a99b025bef2a3dc781449683603e866","branch-has-adjacent-or-older-scope-material; local artifact root not present verbatim","557","language-source-bodies/persianate-tajik-source-bodies-20260705/persianate-tajik/SESSION06_LOGBOOK_EXCERPT_20260705.md | language-source-bodies/rtl-persianate-arabic-20260705-r3-full-source-bodies/KEY_SHAPED_HTML_OMISSION_LEDGER_20260705.csv | language-source-bodies/rtl-persianate-arabic-20260705-r3-full-source-bodies/LOGBOOK.md | language-source-bodies/rtl-persianate-arabic-20260705-r3-full-source-bodies/MANIFEST.csv | language-source-bodies/rtl-persianate-arabic-20260705-r3-full-source-bodies/MANIFEST.json | language-source-bodies/rtl-persianate-arabic-20260705-r3-full-source-bodies/PACKAGE_VALIDATION.json | language-source-bodies/rtl-persianate-arabic-20260705-r3-full-source-bodies/README.md | language-source-bodies/rtl-persianate-arabic-20260705-r3-full-source-bodies/SHA256SUMS.txt | language-source-bodies/rtl-persianate-arabic-20260705-r3-full-source-bodies/generated-drafts/README.md | language-source-bodies/rtl-persianate-arabic-20260705-r3-full-source-bodies/native-source-bodies/ar/0001_jmilne_gt_arabic.pdf | language-source-bodies/rtl-persianate-arabic-20260705-r3-full-source-bodies/native-source-bodies/ar/0002_jmilne_gt_metadata.html | language-source-bodies/rtl-persianate-arabic-20260705-r3-full-source-bodies/native-source-bodies/ar/0006_omu_modern_algebra_book45_metadata.html","B3 stage this local artifact or package delta under side-branch path; language lane did not push"
"A07-body-presence-source-use-audit","body/source-use audit","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\audits\r3-body-presence-source-use-audit-20260706","14","109635",".csv=10; .json=1; .md=2; .txt=1","True","True","","c3e7d9116a99b025bef2a3dc781449683603e866","local-only-no-branch-visible-counterpart","0","","B3 stage this local artifact or package delta under side-branch path; language lane did not push"
"A08-b3-committed-tree-ready-inputs","B3 committed-tree-ready audit input","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\audits\r3-b3-committed-tree-ready-audit-inputs-20260706","23","125701",".csv=14; .json=1; .md=6; .txt=2","True","True","","c3e7d9116a99b025bef2a3dc781449683603e866","local-only-no-branch-visible-counterpart","0","","B3 stage this local artifact or package delta under side-branch path; language lane did not push"
"A09-source-use-routing-continuation","source-use routing/gap continuation","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\source-canon-recovery\r3-source-use-routing-continuation-20260706","12","258072",".csv=8; .md=3; .txt=1","True","True","ROW_LEVEL_SOURCE_USE_PROVENANCE_ROUTING.csv=282; SOURCE_GATED_DRAFT_ROUTING_ROWS.csv=133; GAP_BLOCKER_NEXT_ACTIONS_ROUTING.csv=13; R3_SOURCE_BODY_PATHS_COUNTS_B3.csv=5","c3e7d9116a99b025bef2a3dc781449683603e866","local-only-no-branch-visible-counterpart","0","","B3 stage this local artifact or package delta under side-branch path; language lane did not push"
"A10-extraction-correctness-source-use-audit","extraction correctness/source-use audit","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\source-canon-recovery\r3-extraction-correctness-source-use-audit-20260706","13","240560",".csv=9; .json=1; .md=2; .txt=1","True","True","SOURCE_GATED_DRAFT_ELIGIBILITY.csv=133; TERM_CONTEXT_EXTRACTION_ROUTE.csv=210; EXTRACTION_CORRECTNESS_AUDIT.csv=14; SCRIPT_CODEPOINT_SANITY.csv=14; EXTRACTION_GAP_BLOCKERS_NEXT_ACTIONS.csv=8; MUTUAL_WATCH_ACTIONS.csv=8; B3_EXACT_PATHS_FOR_EXTRACTION_AUDIT.csv=5","c3e7d9116a99b025bef2a3dc781449683603e866","local-only-no-branch-visible-counterpart","0","","B3 stage this local artifact or package delta under side-branch path; language lane did not push"
