"local_file_path","file_name","row_count","language_or_scope_counts","sha256","branch_status"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705\CANDIDATE_SOURCE_WITNESSES.csv","CANDIDATE_SOURCE_WITNESSES.csv","14","ar=4; fa_IR=3; ota_Arab=4; ur_Arab=3","044b96582c01bec7afc9b85359388c34c6a7f341b755083908cb9016e63234c5","local-row-ledger; see reconciliation matrix for branch presence"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705\SOURCE_TEXT_EXTRACTION_LEDGER.csv","SOURCE_TEXT_EXTRACTION_LEDGER.csv","14","","f97be4851b525fd3d063afc7e9e388b69af3b821955c0b05be216f1205dd133c","local-row-ledger; see reconciliation matrix for branch presence"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705\EXACT_TERM_CONTEXT_EVIDENCE.csv","EXACT_TERM_CONTEXT_EVIDENCE.csv","210","ar=64; fa_IR=72; ota_Arab=63; ur_Arab=11","5d50c9ff9b7b6393713ef2d84c0a4cec8d09b8e445640d652add28c0fa0561ea","local-row-ledger; see reconciliation matrix for branch presence"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705\GAP_STATUS_UPDATE.csv","GAP_STATUS_UPDATE.csv","4","ar=1; fa_IR=1; ota_Arab=1; ur_Arab=1","1cc1f85b084962ef163c2bf9bcef43bb160e750e9913d943fceef05b44270d23","local-row-ledger; see reconciliation matrix for branch presence"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\interlanguage-sidecar\rtl-persianate-arabic-cycle2-source-gated-draft-support-20260706\CYCLE2_SOURCE_GATED_DRAFT_ROWS.csv","CYCLE2_SOURCE_GATED_DRAFT_ROWS.csv","133","ar=61; fa_IR=72","f346a8521cb953ef8648aefa16df5934f42139c28759c0f0d1d56e1fb811781b","local-row-ledger; see reconciliation matrix for branch presence"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\source-canon-recovery\r3-source-use-routing-continuation-20260706\ROW_LEVEL_SOURCE_USE_PROVENANCE_ROUTING.csv","ROW_LEVEL_SOURCE_USE_PROVENANCE_ROUTING.csv","282","ar=111; fa_IR=33; mixed-support=36; ota_Arab=8; prs_AF=13; tg_Cyrl_TJ=23; tr_Latn=4; ug_Arab=10; unscoped-support=30; ur_Arab=14","d18e3966cb8d3464354d74caf147850da78292c1b22bdb3441af4efe788348de","local-row-ledger; see reconciliation matrix for branch presence"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\source-canon-recovery\r3-source-use-routing-continuation-20260706\SOURCE_GATED_DRAFT_ROUTING_ROWS.csv","SOURCE_GATED_DRAFT_ROUTING_ROWS.csv","133","ar=61; fa_IR=72","b30d0c04b43ce78a751bf834a8ee5a58d0642b2664348c6670878fa904ca33ee","local-row-ledger; see reconciliation matrix for branch presence"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\source-canon-recovery\r3-source-use-routing-continuation-20260706\GAP_BLOCKER_NEXT_ACTIONS_ROUTING.csv","GAP_BLOCKER_NEXT_ACTIONS_ROUTING.csv","13","ar=2; Branch upload verification=1; Coordinator directive file=1; fa_IR=2; ota_Arab=2; Ottoman/Turkic RTL-adjacent=1; TeX-family corpus=1; ur_Arab=2; Urdu/Hindustani=1","689f67cdc2fa87c9efe6de236531687c46f3f5099dec2f9e79e1d12dea606db8","local-row-ledger; see reconciliation matrix for branch presence"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\source-canon-recovery\r3-extraction-correctness-source-use-audit-20260706\EXTRACTION_CORRECTNESS_AUDIT.csv","EXTRACTION_CORRECTNESS_AUDIT.csv","14","ar=4; fa_IR=3; ota_Arab=4; ur_Arab=3","11f96e1f6a8b1a6e15d4849d94f11437596f6e3fb87378d56c8f8ac62596f1bb","local-row-ledger; see reconciliation matrix for branch presence"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\source-canon-recovery\r3-extraction-correctness-source-use-audit-20260706\SCRIPT_CODEPOINT_SANITY.csv","SCRIPT_CODEPOINT_SANITY.csv","14","ar=4; fa_IR=3; ota_Arab=4; ur_Arab=3","28422c7055f0822ae15d58f79e14eef1e59ebe2e5427efe46e09b9ea097e44ac","local-row-ledger; see reconciliation matrix for branch presence"
