language_code,language_name,scripts,arxiv_id,title,authors,published,updated,categories,abs_url,pdf_url,eprint_url,license_url,license_policy,metadata_language_evidence_terms,topic_tags,api_query,candidate_role,boundary
cs,Czech,Latin,2112.07476v2,Invariant integrals on coideals and their Drinfeld doubles,Kenny De Commer; Joel Right Dzokou Talla,2021-12-14T15:38:46Z,2023-09-26T12:32:41Z,math.QA;math.OA,http://arxiv.org/abs/2112.07476v2,https://arxiv.org/pdf/2112.07476v2,https://arxiv.org/e-print/2112.07476v2,,missing_arxiv_license,invariant; algebra,algebra;invariant,"(cat:math.AG OR cat:math.AC OR cat:math.AT OR cat:math.CT OR cat:math.GR OR cat:math.KT OR cat:math.NT OR cat:math.QA OR cat:math.RA OR cat:math.RT) AND (all:""okruh"" OR all:""okruhy"" OR all:""těleso"" OR all:""tělesa"" OR all:""grupa"" OR all:""grupy"" OR all:""modul"" OR all:""moduly"" OR all:""invariant"" OR all:""komutativní algebra"" OR all:""teorie grup"" OR all:""noetherovský"")",target_language_math_source_candidate,"source-canon witness candidate only; not native review, approval, or translation completion"
cs,Czech,Latin,1305.1672v1,Kervaire invariants and selfcoincidences,Ulrich Koschorke; Duane Randall,2013-05-07T22:43:48Z,2013-05-07T22:43:48Z,math.AT,http://arxiv.org/abs/1305.1672v1,https://arxiv.org/pdf/1305.1672v1,https://arxiv.org/e-print/1305.1672v1,,missing_arxiv_license,invariant,invariant,"(cat:math.AG OR cat:math.AC OR cat:math.AT OR cat:math.CT OR cat:math.GR OR cat:math.KT OR cat:math.NT OR cat:math.QA OR cat:math.RA OR cat:math.RT) AND (all:""okruh"" OR all:""okruhy"" OR all:""těleso"" OR all:""tělesa"" OR all:""grupa"" OR all:""grupy"" OR all:""modul"" OR all:""moduly"" OR all:""invariant"" OR all:""komutativní algebra"" OR all:""teorie grup"" OR all:""noetherovský"")",target_language_math_source_candidate,"source-canon witness candidate only; not native review, approval, or translation completion"
cs,Czech,Latin,0602373v2,On Differential equation of invariants of binary forms,Leonid Bedratyuk,2006-02-17T14:13:45Z,2006-02-23T18:37:19Z,math.AG,http://arxiv.org/abs/math/0602373v2,https://arxiv.org/pdf/math/0602373v2,https://arxiv.org/e-print/0602373v2,,missing_arxiv_license,invariant,ring,"(cat:math.AG OR cat:math.AC OR cat:math.AT OR cat:math.CT OR cat:math.GR OR cat:math.KT OR cat:math.NT OR cat:math.QA OR cat:math.RA OR cat:math.RT) AND (all:""okruh"" OR all:""okruhy"" OR all:""těleso"" OR all:""tělesa"" OR all:""grupa"" OR all:""grupy"" OR all:""modul"" OR all:""moduly"" OR all:""invariant"" OR all:""komutativní algebra"" OR all:""teorie grup"" OR all:""noetherovský"")",target_language_math_source_candidate,"source-canon witness candidate only; not native review, approval, or translation completion"
sk,Slovak,Latin,2112.07476v2,Invariant integrals on coideals and their Drinfeld doubles,Kenny De Commer; Joel Right Dzokou Talla,2021-12-14T15:38:46Z,2023-09-26T12:32:41Z,math.QA;math.OA,http://arxiv.org/abs/2112.07476v2,https://arxiv.org/pdf/2112.07476v2,https://arxiv.org/e-print/2112.07476v2,,missing_arxiv_license,invariant; algebra,algebra;invariant,"(cat:math.AG OR cat:math.AC OR cat:math.AT OR cat:math.CT OR cat:math.GR OR cat:math.KT OR cat:math.NT OR cat:math.QA OR cat:math.RA OR cat:math.RT) AND (all:""okruh"" OR all:""okruhy"" OR all:""teleso"" OR all:""telesá"" OR all:""grupa"" OR all:""grupy"" OR all:""modul"" OR all:""moduly"" OR all:""invariant"" OR all:""komutatívna algebra"" OR all:""teória grúp"" OR all:""noetherovský"")",target_language_math_source_candidate,"source-canon witness candidate only; not native review, approval, or translation completion"
sk,Slovak,Latin,1305.1672v1,Kervaire invariants and selfcoincidences,Ulrich Koschorke; Duane Randall,2013-05-07T22:43:48Z,2013-05-07T22:43:48Z,math.AT,http://arxiv.org/abs/1305.1672v1,https://arxiv.org/pdf/1305.1672v1,https://arxiv.org/e-print/1305.1672v1,,missing_arxiv_license,invariant,invariant,"(cat:math.AG OR cat:math.AC OR cat:math.AT OR cat:math.CT OR cat:math.GR OR cat:math.KT OR cat:math.NT OR cat:math.QA OR cat:math.RA OR cat:math.RT) AND (all:""okruh"" OR all:""okruhy"" OR all:""teleso"" OR all:""telesá"" OR all:""grupa"" OR all:""grupy"" OR all:""modul"" OR all:""moduly"" OR all:""invariant"" OR all:""komutatívna algebra"" OR all:""teória grúp"" OR all:""noetherovský"")",target_language_math_source_candidate,"source-canon witness candidate only; not native review, approval, or translation completion"
sk,Slovak,Latin,0602373v2,On Differential equation of invariants of binary forms,Leonid Bedratyuk,2006-02-17T14:13:45Z,2006-02-23T18:37:19Z,math.AG,http://arxiv.org/abs/math/0602373v2,https://arxiv.org/pdf/math/0602373v2,https://arxiv.org/e-print/0602373v2,,missing_arxiv_license,invariant,ring,"(cat:math.AG OR cat:math.AC OR cat:math.AT OR cat:math.CT OR cat:math.GR OR cat:math.KT OR cat:math.NT OR cat:math.QA OR cat:math.RA OR cat:math.RT) AND (all:""okruh"" OR all:""okruhy"" OR all:""teleso"" OR all:""telesá"" OR all:""grupa"" OR all:""grupy"" OR all:""modul"" OR all:""moduly"" OR all:""invariant"" OR all:""komutatívna algebra"" OR all:""teória grúp"" OR all:""noetherovský"")",target_language_math_source_candidate,"source-canon witness candidate only; not native review, approval, or translation completion"
sl,Slovene,Latin,1401.8202v1,Some Weyl modules of the algebraic groups of type $E_6$,Peter Sin,2014-01-31T15:55:35Z,2014-01-31T15:55:35Z,math.RT,http://arxiv.org/abs/1401.8202v1,https://arxiv.org/pdf/1401.8202v1,https://arxiv.org/e-print/1401.8202v1,,missing_arxiv_license,modul; algebra,module;group;field,"(cat:math.AG OR cat:math.AC OR cat:math.AT OR cat:math.CT OR cat:math.GR OR cat:math.KT OR cat:math.NT OR cat:math.QA OR cat:math.RA OR cat:math.RT) AND (all:""kolobar"" OR all:""kolobarji"" OR all:""komutativna algebra"" OR all:""noetherjev"" OR all:""grupa"" OR all:""grupe"" OR all:""modul"" OR all:""telo"" OR all:""invarianta"" OR all:""teorija grup"")",target_language_math_source_candidate,"source-canon witness candidate only; not native review, approval, or translation completion"
sl,Slovene,Latin,1705.10615v1,Linkage of modules with respect to a semidualizing module,Mohammad-T. Dibaei; Arash Sadeghi,2017-05-27T12:58:19Z,2017-05-27T12:58:19Z,math.AC,http://arxiv.org/abs/1705.10615v1,https://arxiv.org/pdf/1705.10615v1,https://arxiv.org/e-print/1705.10615v1,,missing_arxiv_license,modul,ring;module,"(cat:math.AG OR cat:math.AC OR cat:math.AT OR cat:math.CT OR cat:math.GR OR cat:math.KT OR cat:math.NT OR cat:math.QA OR cat:math.RA OR cat:math.RT) AND (all:""kolobar"" OR all:""kolobarji"" OR all:""komutativna algebra"" OR all:""noetherjev"" OR all:""grupa"" OR all:""grupe"" OR all:""modul"" OR all:""telo"" OR all:""invarianta"" OR all:""teorija grup"")",target_language_math_source_candidate,"source-canon witness candidate only; not native review, approval, or translation completion"
sl,Slovene,Latin,1609.01643v3,$D$-module and $F$-module length of local cohomology modules,Mordechai Katzman; Linquan Ma; Ilya Smirnov; Wenliang Zhang,2016-09-06T16:32:32Z,2017-05-05T21:55:16Z,math.AC;math.AG,http://arxiv.org/abs/1609.01643v3,https://arxiv.org/pdf/1609.01643v3,https://arxiv.org/e-print/1609.01643v3,,missing_arxiv_license,modul,ring;module;field,"(cat:math.AG OR cat:math.AC OR cat:math.AT OR cat:math.CT OR cat:math.GR OR cat:math.KT OR cat:math.NT OR cat:math.QA OR cat:math.RA OR cat:math.RT) AND (all:""kolobar"" OR all:""kolobarji"" OR all:""komutativna algebra"" OR all:""noetherjev"" OR all:""grupa"" OR all:""grupe"" OR all:""modul"" OR all:""telo"" OR all:""invarianta"" OR all:""teorija grup"")",target_language_math_source_candidate,"source-canon witness candidate only; not native review, approval, or translation completion"
sr,Serbian,Latin;Cyrillic,2504.00931v1,Moduli spaces of framed logarithmic and parabolic connections on a Riemann surface,Indranil Biswas; Michi-aki Inaba; Arata Komyo; Masa-Hiko Saito,2025-04-01T16:05:08Z,2025-04-01T16:05:08Z,math.AG,http://arxiv.org/abs/2504.00931v1,https://arxiv.org/pdf/2504.00931v1,https://arxiv.org/e-print/2504.00931v1,,missing_arxiv_license,modul; moduli,algebra;module,"(cat:math.AG OR cat:math.AC OR cat:math.AT OR cat:math.CT OR cat:math.GR OR cat:math.KT OR cat:math.NT OR cat:math.QA OR cat:math.RA OR cat:math.RT) AND (all:""prsten"" OR all:""prsteni"" OR all:""modul"" OR all:""moduli"" OR all:""grupa"" OR all:""grupe"" OR all:""polje"" OR all:""invarijanta"" OR all:""komutativna algebra"" OR all:""теорија група"" OR all:""прстен"" OR all:""модул"" OR all:""група"" OR all:""поље"")",target_language_math_source_candidate,"source-canon witness candidate only; not native review, approval, or translation completion"
sr,Serbian,Latin;Cyrillic,2212.03736v2,On semi-ampleness of the moduli part,Stefano Filipazzi; Calum Spicer,2022-12-07T16:04:12Z,2025-09-02T13:34:20Z,math.AG,http://arxiv.org/abs/2212.03736v2,https://arxiv.org/pdf/2212.03736v2,https://arxiv.org/e-print/2212.03736v2,,missing_arxiv_license,modul; moduli,module,"(cat:math.AG OR cat:math.AC OR cat:math.AT OR cat:math.CT OR cat:math.GR OR cat:math.KT OR cat:math.NT OR cat:math.QA OR cat:math.RA OR cat:math.RT) AND (all:""prsten"" OR all:""prsteni"" OR all:""modul"" OR all:""moduli"" OR all:""grupa"" OR all:""grupe"" OR all:""polje"" OR all:""invarijanta"" OR all:""komutativna algebra"" OR all:""теорија група"" OR all:""прстен"" OR all:""модул"" OR all:""група"" OR all:""поље"")",target_language_math_source_candidate,"source-canon witness candidate only; not native review, approval, or translation completion"
sr,Serbian,Latin;Cyrillic,2312.15369v2,The birational geometry of moduli of cubic surfaces and cubic surfaces with a line,Sebastian Casalaina-Martin; Samuel Grushevsky; Klaus Hulek,2023-12-23T23:26:33Z,2024-10-11T18:03:14Z,math.AG,http://arxiv.org/abs/2312.15369v2,https://arxiv.org/pdf/2312.15369v2,https://arxiv.org/e-print/2312.15369v2,,missing_arxiv_license,modul; moduli,module,"(cat:math.AG OR cat:math.AC OR cat:math.AT OR cat:math.CT OR cat:math.GR OR cat:math.KT OR cat:math.NT OR cat:math.QA OR cat:math.RA OR cat:math.RT) AND (all:""prsten"" OR all:""prsteni"" OR all:""modul"" OR all:""moduli"" OR all:""grupa"" OR all:""grupe"" OR all:""polje"" OR all:""invarijanta"" OR all:""komutativna algebra"" OR all:""теорија група"" OR all:""прстен"" OR all:""модул"" OR all:""група"" OR all:""поље"")",target_language_math_source_candidate,"source-canon witness candidate only; not native review, approval, or translation completion"
hr,Croatian,Latin,2504.00931v1,Moduli spaces of framed logarithmic and parabolic connections on a Riemann surface,Indranil Biswas; Michi-aki Inaba; Arata Komyo; Masa-Hiko Saito,2025-04-01T16:05:08Z,2025-04-01T16:05:08Z,math.AG,http://arxiv.org/abs/2504.00931v1,https://arxiv.org/pdf/2504.00931v1,https://arxiv.org/e-print/2504.00931v1,,missing_arxiv_license,modul; algebra; moduli,algebra;module,"(cat:math.AG OR cat:math.AC OR cat:math.AT OR cat:math.CT OR cat:math.GR OR cat:math.KT OR cat:math.NT OR cat:math.QA OR cat:math.RA OR cat:math.RT) AND (all:""prsten"" OR all:""prsteni"" OR all:""modul"" OR all:""moduli"" OR all:""grupa"" OR all:""grupe"" OR all:""polje"" OR all:""invarijanta"" OR all:""komutativna algebra"" OR all:""teorija grupa"")",target_language_math_source_candidate,"source-canon witness candidate only; not native review, approval, or translation completion"
