record_id,sequence,observed_at,time_precision,state,classification,tranche_ids,unit_ids,source_locators,target_paths,symptom,cause_evidence,resolution_or_hold,residual_risk,related_structural_ids,related_decision_ids,previous_record_id,transferable_lesson
CJK-KO-P06-HARD-001,1,2026-08-04T11:19+02:00,minute,resolved,computation,T02-ROUTE,,P06 §1 routing computation; whole-source lines 4616--4691,,Initial read-only PowerShell routing command used foreach($x in$ranges) and failed with Missing 'in' after variable.,Required whitespace around the foreach grammar tokens was omitted; parsing stopped before computation and before any write.,Resolved operationally by spaced grammar; the failure remains in the append-only ledger.,Compact PowerShell tokens can recur in later routing or evidence commands.,,CJK-KO-P06-003,,Use visibly spaced PowerShell grammar and preserve no-write failures as reproducibility evidence.
CJK-KO-P06-HARD-002,2,2026-08-04,day,held,editorial_inference,T01,U02|U04,Whole-source line 4588: Involutionsbasis|Whole-source line 4604: vorerwähnte Involutionsbasis,targets/Noether_P06_Korean_T01_U02_UNCHECKED.tex|targets/Noether_P06_Korean_T01_U04_UNCHECKED.tex,The same historical German term is rendered 인볼루션기저(Involutionsbasis) in U02 and 대합기저 in U04.,Units were produced independently and the translation-only boundary forbids silently upgrading harmonization into review.,Held for an independent Korean checker with Korean-local usage evidence and the source sense window.,Either calque may imply a modern sense narrower or different from Noether's named basis.,NOE-P06-KO-T01-U02-DEFINITION-002|NOE-P06-KO-T01-U04-PROSE-001,CJK-KO-P06-002,CJK-KO-P06-HARD-001,Preserve inconsistent producer witnesses until an independent language checker supplies evidence; do not silently harmonize.
CJK-KO-P06-HARD-003,3,2026-08-04,day,active_control,model_preference,T01,U01|U02|U03|U04|U05|U06,Whole-source lines 4576--4614; all Korean terminology and historical sense windows,targets/Noether_P06_Korean_T01_U01_UNCHECKED.tex|targets/Noether_P06_Korean_T01_U02_UNCHECKED.tex|targets/Noether_P06_Korean_T01_U03_UNCHECKED.tex|targets/Noether_P06_Korean_T01_U04_UNCHECKED.tex|targets/Noether_P06_Korean_T01_U05_UNCHECKED.tex|targets/Noether_P06_Korean_T01_U06_UNCHECKED.tex,"Hangul/Hanja policy, ko-KR versus ko-KP adaptation, and Mandarin-Simplified-dominant evidence shelves can make fluent calques look validated.",No independent Korean-local corpus or reviewer was applied; Chinese and Japanese forms do not authorize Korean.,Active hard control: Mandarin-Simplified dominance risk is never scored or averaged; Hanja and ko-KP remain independent checker holds.,A modern-looking Sino-xenic form may conceal the wrong historical algebraic sense or a South-only standard.,NOE-P06-KO-T01-001,CJK-KO-P06-002,CJK-KO-P06-HARD-002,"Bind every trap-prone term to a local sense window and require separate Korean, Hanja, and regional-standard evidence."
CJK-KO-P06-HARD-004,4,2026-08-04,day,held,computation,T01,U03,Whole-source lines 4593--4595: first unnumbered display|Whole-source lines 4597--4599: second unnumbered display,targets/Noether_P06_Korean_T01_U03_UNCHECKED.tex,"Two displayed equations are present in the producer target but have not been independently formula-checked, compiled, rendered, or visually inspected.",The lane is translation-only; structural inventory is permitted but formula review and rendering belong to other sessions.,Held for independent formula/TeX checking and later compile/render owners.,"Matching display count and delimiters cannot establish formula fidelity, semantic equivalence, or successful typesetting.",NOE-P06-KO-T01-U03-EQUATION-001|NOE-P06-KO-T01-U03-EQUATION-002,CJK-KO-P06-002,CJK-KO-P06-HARD-003,Keep topology and formula validation as separate gates; an indexed display remains unchecked.
CJK-KO-P06-HARD-005,5,2026-08-04,day,held,computation,T01,U01|U02|U04|U05|U06,Whole-source line 4584: srcfn *)|Whole-source line 4588: srcfn **)|Whole-source lines 4586--4614: fourteen explicit section cross-references and embedded bibliography,targets/Noether_P06_Korean_T01_U01_UNCHECKED.tex|targets/Noether_P06_Korean_T01_U02_UNCHECKED.tex|targets/Noether_P06_Korean_T01_U04_UNCHECKED.tex|targets/Noether_P06_Korean_T01_U05_UNCHECKED.tex|targets/Noether_P06_Korean_T01_U06_UNCHECKED.tex,"Two source notes, fourteen section cross-references, three bibliographic structures, and one quoted theorem remain unchecked.","Mechanical presence and locator inventory do not validate note scope, reference destination, historical citation, quotation boundaries, or Korean wording.",Held for independent Korean/source/TeX checking; return must cite exact structural IDs and before/after target hashes.,A present marker can still be attached to the wrong phrase or point to an incorrectly translated citation.,NOE-P06-KO-T01-U01-FOOTNOTE-001|NOE-P06-KO-T01-U02-FOOTNOTE-001|NOE-P06-KO-T01-U04-STATEMENT-001|NOE-P06-KO-T01-U06-BIB-001,CJK-KO-P06-002,CJK-KO-P06-HARD-004,"Inventory every note/reference relation, but never treat presence or count parity as citation or translation approval."
CJK-KO-P06-HARD-006,6,2026-08-04T11:26:35+02:00,second,resolved,computation,T01,U01|U02|U03|U04|U05|U06,P06 T01 structural index type-count validation; 52 metadata records,,The first read-only validator run failed with structural type counts mismatch even though the reported actual counts equaled the expected counts.,The validator compared JSON.stringify(types) to JSON.stringify(expectedTypes); property insertion order differed because equation records were encountered before footnote records.,Resolved by order-insensitive key/value comparison; the failed validator identity remains recorded.,Any future validator that serializes maps for equality can produce false failures despite identical counts.,NOE-P06-KO-WORK-001|NOE-P06-KO-T01-001,,CJK-KO-P06-HARD-005,"Compare unordered count maps by key/value membership rather than serialized insertion order, and retain failed validation attempts."
CJK-KO-P06-HARD-007,7,2026-08-04T11:27:08+02:00,second,resolved,computation,T01,U01|U02|U03|U04|U05|U06,Orchestration step preparing the append-only HARD-006 patch,,The first patch-preparation orchestration failed with ReferenceError: atob is not defined before apply_patch was called.,The fresh V8 orchestration isolate does not expose the browser atob helper used to decode PowerShell Base64 output.,Resolved by JSON transport without Base64 decoding; the no-write failure remains append-only evidence.,Assuming browser or Node globals exist in the orchestration isolate can fail before the intended tool call.,NOE-P06-KO-WORK-001,,CJK-KO-P06-HARD-006,Use tool-return JSON for text transport in the orchestration isolate and do not assume browser or Node decoding globals.
CJK-KO-P06-HARD-008,8,2026-08-04T11:28:13+02:00,second,resolved,computation,T01,U01|U02|U03|U04|U05|U06,P06 T01 validator result summary before the second read-only run,,"The patched validator summary declared resolved:4 while seven existing records actually contained three resolved, three held, and one active_control state.",The summary count was edited manually without deriving it from the records and was not yet guarded by a state-total assertion.,"Resolved by adding this eighth resolved record, deriving state counts from JSONL, and asserting resolved 4, held 3, active_control 1.",Future appended difficulty records can make static summary counts stale unless derived and asserted.,NOE-P06-KO-WORK-001,,CJK-KO-P06-HARD-007,Derive report state counts from append-only records and assert their sum instead of maintaining an unguarded literal.
CJK-KO-P06-HARD-009,9,2026-08-04T11:28:53+02:00,second,resolved,computation,T01,U01|U02|U03|U04|U05|U06,P06 T01 append-only difficulty cardinality validation,,The next read-only validator run failed with duplicate difficulty ID even though all eight displayed record IDs were unique.,The validator still asserted dids.size===5 from its initial five-record version; the error message described a duplicate but the failure was a stale expected cardinality.,Resolved by deriving unique-ID and CSV cardinality expectations from the parsed JSONL length; this ninth failure record remains.,Static record-count literals can become stale whenever an append-only failure is itself recorded.,NOE-P06-KO-WORK-001,,CJK-KO-P06-HARD-008,Derive uniqueness and projection cardinalities from the parsed append-only authority and make error messages distinguish duplicate IDs from stale expected counts.
CJK-KO-P06-HARD-010,10,2026-08-04T11:29:30+02:00,second,resolved,source_fact,T01,U01|U02|U03|U04|U05|U06,Immutable v006 pointer snapshot and mutable CURRENT pointer during P06 T01 evidence validation,,"The read-only validator failed its v006 byte assertion because CURRENT_GERMAN_AUTHORITY_POINTER.json had advanced to v007 at 21,580 bytes / A6A8FC8E5AC24ACAF49DFD55B4B58FA3DA882EF8C3FDD4D136220C8751045156.","The validator incorrectly treated the mutable CURRENT pointer as the immutable v006 binding artifact. The exact v006 snapshot remains 20,666 bytes / DB99DD...5313C18.",Resolved as coordinate lineage: use the immutable v006 snapshot for T01 custody and observe but do not rebind to live v007.,Later pointer aliases can advance again; producer metadata must cite immutable pointer snapshots rather than assume CURRENT stability.,NOE-P06-KO-WORK-001|NOE-P06-KO-T01-001,,CJK-KO-P06-HARD-009,Bind frozen translation units to immutable pointer artifacts and treat live pointer movement as lineage metadata rather than a reason to rewrite targets.
