"status","r6_relevance","deletions","changes","additions","filename"
"added","r6_relevant_or_possible","0","18","18","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_1A1110E_R6_A2C52A42_LIVE_RECOVERY_BATCH_AUDIT_20260706.md"
"added","r6_relevant_or_possible","0","18","18","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_1A1110E_R6_A2C52A42_LIVE_RECOVERY_BATCH_MANIFEST_20260706.csv"
"added","r6_relevant_or_possible","0","17","17","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_1A1110E_R6_A2C52A42_LIVE_RECOVERY_BATCH_SHA256SUMS_20260706.txt"
"added","r6_relevant_or_possible","0","17","17","uploader-transfer/r6-a2c52a42-branch-advance-live-recovery-probe-cycle-20260706/R6_A2C52A42_BRANCH_ADVANCE_LIVE_RECOVERY_PROBE_CYCLE_20260706/MANIFEST.csv"
"added","r6_relevant_or_possible","0","4","4","uploader-transfer/r6-a2c52a42-branch-advance-live-recovery-probe-cycle-20260706/R6_A2C52A42_BRANCH_ADVANCE_LIVE_RECOVERY_PROBE_CYCLE_20260706/R6_AC6F_LIVE_RECOVERY_SCOPE_SUMMARY.csv"
"added","r6_relevant_or_possible","0","16","16","uploader-transfer/r6-a2c52a42-branch-advance-live-recovery-probe-cycle-20260706/R6_A2C52A42_BRANCH_ADVANCE_LIVE_RECOVERY_PROBE_CYCLE_20260706/README.md"
"added","r6_relevant_or_possible","0","16","16","uploader-transfer/r6-a2c52a42-branch-advance-live-recovery-probe-cycle-20260706/R6_A2C52A42_BRANCH_ADVANCE_LIVE_RECOVERY_PROBE_CYCLE_20260706/SHA256SUMS.txt"
"added","r6_relevant_or_possible","0","2","2","uploader-transfer/r6-a2c52a42-branch-advance-live-recovery-probe-cycle-20260706/R6_A2C52A42_BRANCH_ADVANCE_LIVE_RECOVERY_PROBE_CYCLE_20260706/b3/B3_ROUTE.csv"
"added","r6_relevant_or_possible","0","12","12","uploader-transfer/r6-a2c52a42-branch-advance-live-recovery-probe-cycle-20260706/R6_A2C52A42_BRANCH_ADVANCE_LIVE_RECOVERY_PROBE_CYCLE_20260706/blockers/R6_AC6F_LIVE_RECOVERY_BLOCKERS_AND_NEXT_ACTIONS.csv"
"added","r6_relevant_or_possible","0","2","2","uploader-transfer/r6-a2c52a42-branch-advance-live-recovery-probe-cycle-20260706/R6_A2C52A42_BRANCH_ADVANCE_LIVE_RECOVERY_PROBE_CYCLE_20260706/branch-advance/A2C52A42_BRANCH_ADVANCE_COMPARISON_NOTE.csv"
"added","r6_relevant_or_possible","0","112","112","uploader-transfer/r6-a2c52a42-branch-advance-live-recovery-probe-cycle-20260706/R6_A2C52A42_BRANCH_ADVANCE_LIVE_RECOVERY_PROBE_CYCLE_20260706/branch-advance/A2C52A42_COMPARE_FILE_INDEX.csv"
