"page","render_path","sha256","pdf_sha256","renderer"
"1","C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\evidence\renders_120dpi_20260718\page-001.png","09987555E9FB839CC082FBEAE6305560E60ADF2BDB76B07C393E9FBBA4A25011","B32780148D99BD3C0AF7890D0153DDC109A1CBAD15F443E305CBE9DA80D8E8C6","Poppler pdftoppm sequential full-document render at 120 dpi"
"2","C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\evidence\renders_120dpi_20260718\page-002.png","6370772F12A342F18188DF468E427453685EA8DCBA031E3E35A6953BF0A23D6C","B32780148D99BD3C0AF7890D0153DDC109A1CBAD15F443E305CBE9DA80D8E8C6","Poppler pdftoppm sequential full-document render at 120 dpi"
"3","C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\evidence\renders_120dpi_20260718\page-003.png","8304BACC8A074EBD15F77923C784264D1EE8BFC65D22C36AED44E112C74FEA26","B32780148D99BD3C0AF7890D0153DDC109A1CBAD15F443E305CBE9DA80D8E8C6","Poppler pdftoppm sequential full-document render at 120 dpi"
"4","C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\evidence\renders_120dpi_20260718\page-004.png","151002AE8AE7253AACAF1EE1421DBF1388290BE8AE1FEE1A49EC8A3EC32828A4","B32780148D99BD3C0AF7890D0153DDC109A1CBAD15F443E305CBE9DA80D8E8C6","Poppler pdftoppm sequential full-document render at 120 dpi"
"5","C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\evidence\renders_120dpi_20260718\page-005.png","0C441B53DEA1FDF1493BE9F0264478139E91050DE1BC83747CCC5298AF921792","B32780148D99BD3C0AF7890D0153DDC109A1CBAD15F443E305CBE9DA80D8E8C6","Poppler pdftoppm sequential full-document render at 120 dpi"
"6","C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\evidence\renders_120dpi_20260718\page-006.png","84A9D14C703B39D167D077B08F1E66645511A88E4173CB409CF189A1E4D44F36","B32780148D99BD3C0AF7890D0153DDC109A1CBAD15F443E305CBE9DA80D8E8C6","Poppler pdftoppm sequential full-document render at 120 dpi"
"7","C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\evidence\renders_120dpi_20260718\page-007.png","F75A8E5D00C9839D9D98726868D2B9270E0E965FCF8EFDBB50439E57940E404E","B32780148D99BD3C0AF7890D0153DDC109A1CBAD15F443E305CBE9DA80D8E8C6","Poppler pdftoppm sequential full-document render at 120 dpi"
"8","C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\evidence\renders_120dpi_20260718\page-008.png","1F6A51B3E118AA535BAB80DB68226C3DFFBC5F04B2B7400A0E18B5207B4FF1B2","B32780148D99BD3C0AF7890D0153DDC109A1CBAD15F443E305CBE9DA80D8E8C6","Poppler pdftoppm sequential full-document render at 120 dpi"
"9","C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\evidence\renders_120dpi_20260718\page-009.png","1753F545C5D76FB315C68A17F94DF0F294A9C85E521428019D11AF492D5B7976","B32780148D99BD3C0AF7890D0153DDC109A1CBAD15F443E305CBE9DA80D8E8C6","Poppler pdftoppm sequential full-document render at 120 dpi"
"10","C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\evidence\renders_120dpi_20260718\page-010.png","44ED0CD03B4689A355E586CD1464A197CA1860B868D90F18DF72CC1457C2F8EE","B32780148D99BD3C0AF7890D0153DDC109A1CBAD15F443E305CBE9DA80D8E8C6","Poppler pdftoppm sequential full-document render at 120 dpi"
