"source_term","target_term","sense","status","evidence_class","source_label","file_name","line","sha256","local_file_exists","local_hash_matches","line_in_range"
"Ring","anillo","ring in abstract algebra","source-supported","independent-native-tex-accepted","1312.6798v1","uqc.tex","78","0C26CC9B4DA307FB85A3EB40559693F7CB3CF694894D8E83644F527FDFB7AD7B","True","True","True"
"Körper","cuerpo","commutative field","source-supported","independent-native-tex-accepted","1312.6798v1","uqc.tex","94","0C26CC9B4DA307FB85A3EB40559693F7CB3CF694894D8E83644F527FDFB7AD7B","True","True","True"
"Schiefkörper","anillo de división","modern division-ring term","reviewed","target-only-excluded","R823_ES","cum_es.tex","14774","7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861","True","True","True"
"Algebra","álgebra","algebra over a coefficient ring or field","source-supported","independent-native-tex-accepted","1311.1146v1","doc.tex","113","C65AA3634C25CE8F7D3C71826C0953C469912E2D334A2F1524DBBB7CC18046DE","True","True","True"
"Modul","módulo","module over a ring","source-supported","independent-native-tex-accepted","1312.6798v1","uqc.tex","78","0C26CC9B4DA307FB85A3EB40559693F7CB3CF694894D8E83644F527FDFB7AD7B","True","True","True"
"Ideal","ideal","ring ideal","source-supported","independent-native-tex-accepted","2209.02110v1","monoides.tex","693","DCDCE1163036490CC4228AFE92E66A58C143843B8525FC22B5E8E58B4242F73D","True","True","True"
"Primideal","ideal primo","prime ideal","source-supported","independent-native-tex-accepted","2209.02110v1","monoides.tex","704","DCDCE1163036490CC4228AFE92E66A58C143843B8525FC22B5E8E58B4242F73D","True","True","True"
"Primärideal","ideal primario","primary ideal","source-supported","independent-native-tex-accepted","2209.02110v1","monoides.tex","1022","DCDCE1163036490CC4228AFE92E66A58C143843B8525FC22B5E8E58B4242F73D","True","True","True"
"irreduzibles Ideal","ideal irreducible","irreducible ideal","reviewed","target-only-excluded","R823_ES","cum_es.tex","10460","7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861","True","True","True"
"teilerfremde Ideale","ideales coprimos","comaximal or coprime ideals","source-supported","independent-native-tex-accepted","github_NunoSempere_Apuntes","AlgebraConmutativa_Ejs.tex","286","2CCFDBA96D8ABFB26BC33C42B593921EC110AEE71A2A8DB79E58211E8CF11968","True","True","True"
"relativ prim","coprimo","relatively prime elements or polynomials","source-supported","independent-native-tex-accepted","github_NunoSempere_Apuntes","AlgebraConmutativa_Ejs.tex","774","2CCFDBA96D8ABFB26BC33C42B593921EC110AEE71A2A8DB79E58211E8CF11968","True","True","True"
"kleinstes gemeinsames Vielfaches","mínimo común múltiplo","least common multiple","source-supported","independent-native-tex-accepted","github_alexey-beshenov_notas-san-salvador","divisibilidad-en-Z.tex","334","38ECD8C6F8DFEEFEE64BC7E9ACDB0BE02C855D2F751D757C25601B4332D91880","True","True","True"
"größter gemeinsamer Teiler","máximo común divisor","greatest common divisor","source-supported","independent-native-tex-accepted","github_NunoSempere_Apuntes","AlgebraConmutativa_Ejs.tex","1698","2CCFDBA96D8ABFB26BC33C42B593921EC110AEE71A2A8DB79E58211E8CF11968","True","True","True"
"Produkt","producto","algebraic product","source-supported","independent-native-tex-accepted","1312.6798v1","uqc.tex","265","0C26CC9B4DA307FB85A3EB40559693F7CB3CF694894D8E83644F527FDFB7AD7B","True","True","True"
"Faktor","factor","factor in a product or factorization","source-supported","independent-native-tex-accepted","1311.1146v1","doc.tex","1728","C65AA3634C25CE8F7D3C71826C0953C469912E2D334A2F1524DBBB7CC18046DE","True","True","True"
"Zerlegung","descomposición","decomposition","source-supported","independent-native-tex-accepted","2209.02110v1","monoides.tex","1029","DCDCE1163036490CC4228AFE92E66A58C143843B8525FC22B5E8E58B4242F73D","True","True","True"
"Darstellung","representación","representation of a ring or group","source-supported","independent-native-tex-accepted","1312.6798v1","uqc.tex","689","0C26CC9B4DA307FB85A3EB40559693F7CB3CF694894D8E83644F527FDFB7AD7B","True","True","True"
"Homomorphismus","homomorfismo","homomorphism","source-supported","independent-native-tex-accepted","1311.1146v1","doc.tex","404","C65AA3634C25CE8F7D3C71826C0953C469912E2D334A2F1524DBBB7CC18046DE","True","True","True"
"Isomorphismus","isomorfismo","isomorphism","source-supported","independent-native-tex-accepted","1311.1146v1","doc.tex","217","C65AA3634C25CE8F7D3C71826C0953C469912E2D334A2F1524DBBB7CC18046DE","True","True","True"
"Automorphismus","automorfismo","automorphism","source-supported","independent-native-tex-accepted","1312.6798v1","uqc.tex","1322","0C26CC9B4DA307FB85A3EB40559693F7CB3CF694894D8E83644F527FDFB7AD7B","True","True","True"
"Invariante","invariante","invariant","source-supported","independent-native-tex-accepted","2206.09700v1","Grupos_ortogonales.tex","258","FD93063C54C5C3581359C768273EA31904538E5A973AEDAC674580D0E85A4518","True","True","True"
"Basis","base","basis","source-supported","independent-native-tex-accepted","1311.1146v1","doc.tex","594","C65AA3634C25CE8F7D3C71826C0953C469912E2D334A2F1524DBBB7CC18046DE","True","True","True"
"Rang","rango","rank","source-supported","independent-native-tex-accepted","2207.10005v1","2207.10005v1.tex","230","874C851E9FC4CBFB0326713C29C735F1BD0339A43780EA8A54F2766E13FA5611","True","True","True"
"Zentrum","centro","center of a ring or division algebra","source-supported","independent-native-tex-accepted","1312.6798v1","uqc.tex","398","0C26CC9B4DA307FB85A3EB40559693F7CB3CF694894D8E83644F527FDFB7AD7B","True","True","True"
"Erweiterung","extensión","field or ring extension","source-supported","independent-native-tex-accepted","1312.6798v1","uqc.tex","118","0C26CC9B4DA307FB85A3EB40559693F7CB3CF694894D8E83644F527FDFB7AD7B","True","True","True"
"galoissch","de Galois","Galois extension or theory","source-supported","independent-native-tex-accepted","github_NunoSempere_Apuntes","TeoriaGalois.tex","3","853123846341E0A536C655FDA8EFB02B72023F774CB7AAF457CAD511EB8EAABF","True","True","True"
"noethersch","noetheriano","Noetherian ring or module","source-supported","independent-native-tex-accepted","1312.6798v1","uqc.tex","78","0C26CC9B4DA307FB85A3EB40559693F7CB3CF694894D8E83644F527FDFB7AD7B","True","True","True"
"artinsch","artiniano","Artinian ring or module","source-supported","independent-native-tex-accepted","github_alexey-beshenov_notas-san-salvador","12-anillos-conmutativos-ejercicios.tex","460","F5798483A12806935FF3058EF4C54597FE46F6DE0E937D647649CE355FE33D5F","True","True","True"
"endlich","finito","finite object","source-supported","independent-native-tex-accepted","1312.6798v1","uqc.tex","89","0C26CC9B4DA307FB85A3EB40559693F7CB3CF694894D8E83644F527FDFB7AD7B","True","True","True"
"eindeutig","único","uniqueness","source-supported","independent-native-tex-accepted","1311.1146v1","doc.tex","406","C65AA3634C25CE8F7D3C71826C0953C469912E2D334A2F1524DBBB7CC18046DE","True","True","True"
"reduziert","reducido","reduced ring or form","source-supported","independent-native-tex-accepted","2209.02110v1","monoides.tex","1874","DCDCE1163036490CC4228AFE92E66A58C143843B8525FC22B5E8E58B4242F73D","True","True","True"
"assoziiertes Primideal","ideal primo asociado","associated prime ideal","reviewed","target-only-excluded","R823_ES","cum_es.tex","10333","7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861","True","True","True"
"Komplement","complemento","complement in a decomposition","source-supported","independent-native-tex-accepted","2206.09700v1","Grupos_ortogonales.tex","885","FD93063C54C5C3581359C768273EA31904538E5A973AEDAC674580D0E85A4518","True","True","True"
"Einheitsideal","ideal unidad","unit ideal","source-supported","independent-native-tex-accepted","2209.02110v1","monoides.tex","1973","DCDCE1163036490CC4228AFE92E66A58C143843B8525FC22B5E8E58B4242F73D","True","True","True"
"Kongruenz","congruencia","congruence","source-supported","independent-native-tex-accepted","2209.02110v1","monoides.tex","240","DCDCE1163036490CC4228AFE92E66A58C143843B8525FC22B5E8E58B4242F73D","True","True","True"
"Teilbarkeit","divisibilidad","divisibility","source-supported","independent-native-tex-accepted","github_alexey-beshenov_cimat-tna","1-primer-encuentro.tex","639","402A1DC4B014FA77BBD537B708928FE9DCEA4A92724C8AA33299E89499857394","True","True","True"
"Potenz","potencia","power","source-supported","independent-native-tex-accepted","2209.02110v1","monoides.tex","1028","DCDCE1163036490CC4228AFE92E66A58C143843B8525FC22B5E8E58B4242F73D","True","True","True"
"Matrix","matriz","matrix","source-supported","independent-native-tex-accepted","1312.6798v1","uqc.tex","112","0C26CC9B4DA307FB85A3EB40559693F7CB3CF694894D8E83644F527FDFB7AD7B","True","True","True"
"Gruppe","grupo","group","source-supported","independent-native-tex-accepted","1311.1146v1","doc.tex","172","C65AA3634C25CE8F7D3C71826C0953C469912E2D334A2F1524DBBB7CC18046DE","True","True","True"
"Untergruppe","subgrupo","subgroup","source-supported","independent-native-tex-accepted","1311.1146v1","doc.tex","404","C65AA3634C25CE8F7D3C71826C0953C469912E2D334A2F1524DBBB7CC18046DE","True","True","True"
"Satz","teorema","theorem","source-supported","independent-native-tex-accepted","1311.1146v1","doc.tex","556","C65AA3634C25CE8F7D3C71826C0953C469912E2D334A2F1524DBBB7CC18046DE","True","True","True"
"Lemma","lema","lemma","source-supported","independent-native-tex-accepted","1311.1146v1","doc.tex","40","C65AA3634C25CE8F7D3C71826C0953C469912E2D334A2F1524DBBB7CC18046DE","True","True","True"
"Definition","definición","definition","source-supported","independent-native-tex-accepted","1312.6798v1","uqc.tex","19","0C26CC9B4DA307FB85A3EB40559693F7CB3CF694894D8E83644F527FDFB7AD7B","True","True","True"
"Beweis","demostración","mathematical proof","source-supported","independent-native-tex-accepted","1312.6798v1","uqc.tex","143","0C26CC9B4DA307FB85A3EB40559693F7CB3CF694894D8E83644F527FDFB7AD7B","True","True","True"
"also","por tanto","inferential connective","source-supported","independent-native-tex-accepted","1312.6798v1","uqc.tex","538","0C26CC9B4DA307FB85A3EB40559693F7CB3CF694894D8E83644F527FDFB7AD7B","True","True","True"
"umgekehrt","recíprocamente","converse implication","source-supported","independent-native-tex-accepted","2307.03598v1","Paper_D-modulos_CNMXXII.tex","451","7CB92E7F60B1657B88128CDAF1166DC71BC39C2919F392981DF454661E28FF20","True","True","True"
"genau dann, wenn","si y solo si","biconditional","source-supported","independent-native-tex-accepted","1312.6798v1","uqc.tex","1018","0C26CC9B4DA307FB85A3EB40559693F7CB3CF694894D8E83644F527FDFB7AD7B","True","True","True"
