extracted_source_body_count,frontier,generated_utc,labels_seen,next_action,payload_group,routing_status
11,6034c6b4126af7268d61e39ddb2e84d4842202f0,2026-07-07T07:56:13Z,adverse_evidence;blocker_recovery_gap;branch_weighting;manifest_hash_validation;b3_handoff;r6_ethics_authority;interslavic_boundary;blocker_recovery_gap;b3_handoff;blocker_recovery_gap;b3_handoff;r6_ethics_authority;interslavic_boundary;blocker_recovery_gap;manifest_hash_validation;b3_handoff;blocker_recovery_gap;manifest_hash_validation;b3_handoff;r3_arabic_persianate_route;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;normalization_marker;manifest_hash_validation;b3_handoff;r6_ethics_authority;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;olp_review_boundary;interslavic_boundary;source_use;blocker_recovery_gap;b3_handoff;olp_review_boundary;source_use;blocker_recovery_gap;manifest_hash_validation;b3_handoff;source_use;blocker_recovery_gap;manifest_hash_validation;b3_handoff;r3_arabic_persianate_route,route to lane owner/B3 with source-use and gap labels intact,b3_19b2_second_wave_recovery_visibility_transfer_audit,source-linked authority evidence; non-canonical/no approval
11,6034c6b4126af7268d61e39ddb2e84d4842202f0,2026-07-07T07:56:13Z,blocker_recovery_gap;b3_handoff;blocker_recovery_gap;manifest_hash_validation;b3_handoff;source_use;adverse_evidence;blocker_recovery_gap;b3_handoff;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;normalization_marker;manifest_hash_validation;b3_handoff;olp_review_boundary;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;normalization_marker;manifest_hash_validation;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;olp_review_boundary;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;normalization_marker;manifest_hash_validation;b3_handoff;r3_arabic_persianate_route;olp_review_boundary;interslavic_boundary;source_use;blocker_recovery_gap;b3_handoff;olp_review_boundary;source_use;blocker_recovery_gap;b3_handoff;r3_arabic_persianate_route;olp_review_boundary;source_use;blocker_recovery_gap;manifest_hash_validation;b3_handoff,route to lane owner/B3 with source-use and gap labels intact,b3_761_current_frontier_transfer_audit,source-linked authority evidence; non-canonical/no approval
10,6034c6b4126af7268d61e39ddb2e84d4842202f0,2026-07-07T07:56:13Z,b3_handoff;interslavic_boundary;manifest_hash_validation;b3_handoff;interslavic_boundary;manifest_hash_validation;b3_handoff;non_slavic_core_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;non_slavic_core_route;interslavic_boundary;source_use;blocker_recovery_gap;b3_handoff;non_slavic_core_route;interslavic_boundary;source_use;blocker_recovery_gap;b3_handoff;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary;source_use;manifest_hash_validation;b3_handoff;interslavic_boundary,route to lane owner/B3 with source-use and gap labels intact,b3_d752_761_nonslavic_r2_interlanguage_r9_route_transfer_audit,source-linked authority evidence; non-canonical/no approval
8,6034c6b4126af7268d61e39ddb2e84d4842202f0,2026-07-07T07:56:13Z,source_use;adverse_evidence;blocker_recovery_gap;b3_handoff;r6_ethics_authority;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;r6_ethics_authority;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;r6_ethics_authority;non_slavic_core_route;source_use;blocker_recovery_gap;b3_handoff;r6_ethics_authority;source_use;blocker_recovery_gap;manifest_hash_validation;b3_handoff;r6_ethics_authority,route to lane owner/B3 with source-use and gap labels intact,cjk_draft_761_dedup_idle_stale_recovery_upload,source-linked authority evidence; non-canonical/no approval
370,6034c6b4126af7268d61e39ddb2e84d4842202f0,2026-07-07T07:56:13Z,adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;b3_handoff;r6_ethics_authority;olp_review_boundary;adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;b3_handoff;r6_ethics_authority;olp_review_boundary;interslavic_boundary;adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;b3_handoff;r6_ethics_authority;b3_handoff;r6_ethics_authority;interslavic_boundary;b3_handoff;r6_ethics_authority;non_slavic_core_route;interslavic_boundary;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;interslavic_boundary;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary;blocker_recovery_gap;b3_handoff;r6_ethics_authority;blocker_recovery_gap;b3_handoff;r6_ethics_authority;interslavic_boundary;blocker_recovery_gap;b3_handoff;r6_ethics_authority;non_slavic_core_route;interslavic_boundary;blocker_recovery_gap;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;block,route to lane owner/B3 with source-use and gap labels intact,interlanguage_fable_761_current_frontier_authority_upload,source-linked authority evidence; non-canonical/no approval
25,6034c6b4126af7268d61e39ddb2e84d4842202f0,2026-07-07T07:56:13Z,source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;normalization_marker;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;normalization_marker;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;olp_review_boundary;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;normalization_marker;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;olp_review_boundary;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;normalization_marker;manifest_hash_validation;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;normalization_marker;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;olp_review_boundary;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;marginal_intelligibility;normalization_marker;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;olp_review_boundary;interslav,route to lane owner/B3 with source-use and gap labels intact,interlanguage_fable_761_local_sibling_addendum_upload,source-linked authority evidence; non-canonical/no approval
14,6034c6b4126af7268d61e39ddb2e84d4842202f0,2026-07-07T07:56:13Z,b3_handoff;non_slavic_core_route;interslavic_boundary;blocker_recovery_gap;manifest_hash_validation;b3_handoff;non_slavic_core_route;interslavic_boundary;blocker_recovery_gap;non_slavic_core_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;b3_handoff;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;non_slavic_core_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary;source_use;blocker_recovery_gap;b3_handoff;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary,route to lane owner/B3 with source-use and gap labels intact,non_slavic_core_19b2_761_branch_visibility_route,source-linked authority evidence; non-canonical/no approval
15,6034c6b4126af7268d61e39ddb2e84d4842202f0,2026-07-07T07:56:13Z,b3_handoff;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary;blocker_recovery_gap;non_slavic_core_route;interslavic_boundary;non_slavic_core_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;b3_handoff;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;normalization_marker;manifest_hash_validation;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;normalization_marker;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;normalization_marker;manifest_hash_validation;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3,route to lane owner/B3 with source-use and gap labels intact,non_slavic_core_761_r2_interlanguage_r9_route_upload,source-linked authority evidence; non-canonical/no approval
15,6034c6b4126af7268d61e39ddb2e84d4842202f0,2026-07-07T07:56:13Z,blocker_recovery_gap;b3_handoff;olp_review_boundary;blocker_recovery_gap;b3_handoff;r6_ethics_authority;non_slavic_core_route;olp_review_boundary;blocker_recovery_gap;normalization_marker;b3_handoff;r6_ethics_authority;non_slavic_core_route;olp_review_boundary;source_use;adverse_evidence;blocker_recovery_gap;b3_handoff;non_slavic_core_route;olp_review_boundary;source_use;adverse_evidence;blocker_recovery_gap;b3_handoff;r6_ethics_authority;non_slavic_core_route;olp_review_boundary;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;b3_handoff;r6_ethics_authority;olp_review_boundary;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;b3_handoff;olp_review_boundary;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;manifest_hash_validation;b3_handoff;olp_review_boundary;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;r6_ethics_authority;olp_review_boundary;source_use;blocker_recovery_gap;b3_handoff;olp_review_boundary;source_use;blocker_recovery_gap;normalization_marker;b3_handoff;olp_review_boundary,route to lane owner/B3 with source-use and gap labels intact,olp_761_09a8_repeat_dedup_blocker_upload,source-linked authority evidence; non-canonical/no approval
15,6034c6b4126af7268d61e39ddb2e84d4842202f0,2026-07-07T07:56:13Z,source_use;adverse_evidence;blocker_recovery_gap;b3_handoff;olp_review_boundary;source_use;adverse_evidence;blocker_recovery_gap;b3_handoff;r6_ethics_authority;non_slavic_core_route;olp_review_boundary;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;b3_handoff;r6_ethics_authority;olp_review_boundary;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;b3_handoff;olp_review_boundary;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;manifest_hash_validation;b3_handoff;olp_review_boundary;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;r6_ethics_authority;olp_review_boundary;source_use;adverse_evidence;blocker_recovery_gap;normalization_marker;b3_handoff;non_slavic_core_route;olp_review_boundary;source_use;adverse_evidence;blocker_recovery_gap;normalization_marker;b3_handoff;olp_review_boundary;source_use;adverse_evidence;blocker_recovery_gap;normalization_marker;b3_handoff;r6_ethics_authority;non_slavic_core_route;olp_review_boundary,route to lane owner/B3 with source-use and gap labels intact,olp_761_09a8_source_use_adverse_upload,source-linked authority evidence; non-canonical/no approval
