authority_boundary,branch_path,csv_row_count,frontier,generated_utc,git_blob,local_source_body_path,mode,object_type,old_path,payload_group,previous_frontier,sequence,sha256,size_bytes,source_link_status,source_use_label,status
source-use/provenance/gap/draft/non-canonical support only; no community-consent/review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims,coordination/non-slavic-core-19b2ab4b-761-branch-visibility-route-20260707/NON_SLAVIC_CORE_19B2AB4B_761_BRANCH_VISIBILITY_ROUTE_20260707/B3_HANDOFF_SENT_19B2AB4B.md,,6034c6b4126af7268d61e39ddb2e84d4842202f0,2026-07-07T07:56:13Z,9038d68f2df61960e73c976c14716f0f055f7ef0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_6034C6B4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707\source_artifacts\0001_9038d68f2d_B3_HANDOFF_SENT_19B2AB4B.md,100644,blob,,non_slavic_core_19b2_761_branch_visibility_route,761bec88dab81d096ae8fab7bc91aaed8ccc4b71,1,6A2B479331294B4CB01CA0FD70351F02F006374ABE75C8D0B542D94E11A9B832,1517,branch_blob_extracted_to_local_source_body_by_object_id,source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary,A
source-use/provenance/gap/draft/non-canonical support only; no community-consent/review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims,coordination/non-slavic-core-19b2ab4b-761-branch-visibility-route-20260707/NON_SLAVIC_CORE_19B2AB4B_761_BRANCH_VISIBILITY_ROUTE_20260707/B3_PACKAGE_CSV_ROW_COUNTS_19B2AB4B.csv,25,6034c6b4126af7268d61e39ddb2e84d4842202f0,2026-07-07T07:56:13Z,3f785d396c54bae2feb0359a7467ee721a732e20,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_6034C6B4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707\source_artifacts\0002_3f785d396c_B3_PACKAGE_CSV_ROW_COUNTS_19B2AB4B.csv,100644,blob,,non_slavic_core_19b2_761_branch_visibility_route,761bec88dab81d096ae8fab7bc91aaed8ccc4b71,2,CC532264091342D6664B187D9FB40750C5E9FE2F6C42A42FE9339D64759D43E6,6210,branch_blob_extracted_to_local_source_body_by_object_id,blocker_recovery_gap;manifest_hash_validation;b3_handoff;non_slavic_core_route;interslavic_boundary,A
source-use/provenance/gap/draft/non-canonical support only; no community-consent/review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims,coordination/non-slavic-core-19b2ab4b-761-branch-visibility-route-20260707/NON_SLAVIC_CORE_19B2AB4B_761_BRANCH_VISIBILITY_ROUTE_20260707/B3_PACKAGE_VISIBILITY_ROWS_19B2AB4B.csv,2,6034c6b4126af7268d61e39ddb2e84d4842202f0,2026-07-07T07:56:13Z,92fcd2b61279d77c02840e970791adf06543a4ff,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_6034C6B4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707\source_artifacts\0003_92fcd2b612_B3_PACKAGE_VISIBILITY_ROWS_19B2AB4B.csv,100644,blob,,non_slavic_core_19b2_761_branch_visibility_route,761bec88dab81d096ae8fab7bc91aaed8ccc4b71,3,2BD513F11898225B7EA984198F7AFC4E4F664FEB2D25D9FAA98CB8A1E0100E98,710,branch_blob_extracted_to_local_source_body_by_object_id,blocker_recovery_gap;manifest_hash_validation;b3_handoff;non_slavic_core_route;interslavic_boundary,A
source-use/provenance/gap/draft/non-canonical support only; no community-consent/review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims,coordination/non-slavic-core-19b2ab4b-761-branch-visibility-route-20260707/NON_SLAVIC_CORE_19B2AB4B_761_BRANCH_VISIBILITY_ROUTE_20260707/BRANCH_COMPARE_COMMITS_761BEC88_TO_19B2AB4B.csv,2,6034c6b4126af7268d61e39ddb2e84d4842202f0,2026-07-07T07:56:13Z,aef406e52f69da2cef000f49f40dd0563f6e4dfc,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_6034C6B4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707\source_artifacts\0004_aef406e52f_BRANCH_COMPARE_COMMITS_761BEC88_TO_19B2AB4B.csv,100644,blob,,non_slavic_core_19b2_761_branch_visibility_route,761bec88dab81d096ae8fab7bc91aaed8ccc4b71,4,2E515F3CFC0B44EEBCE3469C5F6F72A0CCDC7B5DC3DCF91E95EA304903ACF2DB,520,branch_blob_extracted_to_local_source_body_by_object_id,blocker_recovery_gap;non_slavic_core_route;interslavic_boundary,A
source-use/provenance/gap/draft/non-canonical support only; no community-consent/review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims,coordination/non-slavic-core-19b2ab4b-761-branch-visibility-route-20260707/NON_SLAVIC_CORE_19B2AB4B_761_BRANCH_VISIBILITY_ROUTE_20260707/BRANCH_COMPARE_FILES_761BEC88_TO_19B2AB4B.csv,266,6034c6b4126af7268d61e39ddb2e84d4842202f0,2026-07-07T07:56:13Z,0f209be9a399f0dedc78d24e67a121f81a08d8f5,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_6034C6B4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707\source_artifacts\0005_0f209be9a3_BRANCH_COMPARE_FILES_761BEC88_TO_19B2AB4B.csv,100644,blob,,non_slavic_core_19b2_761_branch_visibility_route,761bec88dab81d096ae8fab7bc91aaed8ccc4b71,5,BAAEA923E306BDF1D1E92D3A1F9DB2FB721DEA799700D718B0DA789E4B0F4509,210734,branch_blob_extracted_to_local_source_body_by_object_id,source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;non_slavic_core_route;interslavic_boundary,A
source-use/provenance/gap/draft/non-canonical support only; no community-consent/review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims,coordination/non-slavic-core-19b2ab4b-761-branch-visibility-route-20260707/NON_SLAVIC_CORE_19B2AB4B_761_BRANCH_VISIBILITY_ROUTE_20260707/BRANCH_COMPARE_SUMMARY_19B2AB4B.csv,5,6034c6b4126af7268d61e39ddb2e84d4842202f0,2026-07-07T07:56:13Z,ad11fe0be7ffe2e92385754b56072796ad34fc3b,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_6034C6B4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707\source_artifacts\0006_ad11fe0be7_BRANCH_COMPARE_SUMMARY_19B2AB4B.csv,100644,blob,,non_slavic_core_19b2_761_branch_visibility_route,761bec88dab81d096ae8fab7bc91aaed8ccc4b71,6,488DB3A84092299F3EF94429B6D56AD872CAEABA4278802EB70A8CF26583BB8C,1166,branch_blob_extracted_to_local_source_body_by_object_id,b3_handoff;non_slavic_core_route;interslavic_boundary,A
source-use/provenance/gap/draft/non-canonical support only; no community-consent/review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims,coordination/non-slavic-core-19b2ab4b-761-branch-visibility-route-20260707/NON_SLAVIC_CORE_19B2AB4B_761_BRANCH_VISIBILITY_ROUTE_20260707/EXACT_BLOCKER_RECOVERY_ROWS_19B2AB4B.csv,4,6034c6b4126af7268d61e39ddb2e84d4842202f0,2026-07-07T07:56:13Z,a75644ecb0e5d205f56f366239e4991d6a3025e6,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_6034C6B4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707\source_artifacts\0007_a75644ecb0_EXACT_BLOCKER_RECOVERY_ROWS_19B2AB4B.csv,100644,blob,,non_slavic_core_19b2_761_branch_visibility_route,761bec88dab81d096ae8fab7bc91aaed8ccc4b71,7,89C6DCEB86DB2C854997449C2E5B1A098EE95CBDEC1C5387D3CBE19951992E5E,833,branch_blob_extracted_to_local_source_body_by_object_id,source_use;blocker_recovery_gap;b3_handoff;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary,A
source-use/provenance/gap/draft/non-canonical support only; no community-consent/review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims,coordination/non-slavic-core-19b2ab4b-761-branch-visibility-route-20260707/NON_SLAVIC_CORE_19B2AB4B_761_BRANCH_VISIBILITY_ROUTE_20260707/MANIFEST.csv,12,6034c6b4126af7268d61e39ddb2e84d4842202f0,2026-07-07T07:56:13Z,7b5934e20ee1e9a25dc428beb7dda883f91ec304,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_6034C6B4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707\source_artifacts\0008_7b5934e20e_MANIFEST.csv,100644,blob,,non_slavic_core_19b2_761_branch_visibility_route,761bec88dab81d096ae8fab7bc91aaed8ccc4b71,8,68C1EF3FF935C369BAA4A38B3D4528521702A85292C96D67F2ED4CDD61D92BB7,2111,branch_blob_extracted_to_local_source_body_by_object_id,source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;non_slavic_core_route;interslavic_boundary,A
source-use/provenance/gap/draft/non-canonical support only; no community-consent/review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims,coordination/non-slavic-core-19b2ab4b-761-branch-visibility-route-20260707/NON_SLAVIC_CORE_19B2AB4B_761_BRANCH_VISIBILITY_ROUTE_20260707/PACKET_MANIFEST_REPLAY_19B2AB4B.csv,12,6034c6b4126af7268d61e39ddb2e84d4842202f0,2026-07-07T07:56:13Z,7cfbeae294e6dacd0385c1a8994193411a8792f6,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_6034C6B4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707\source_artifacts\0009_7cfbeae294_PACKET_MANIFEST_REPLAY_19B2AB4B.csv,100644,blob,,non_slavic_core_19b2_761_branch_visibility_route,761bec88dab81d096ae8fab7bc91aaed8ccc4b71,9,502AAABB516463DBDF770724CC078178BE3FD5A256BE31473BC72939252AEED7,3021,branch_blob_extracted_to_local_source_body_by_object_id,source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;non_slavic_core_route;interslavic_boundary,A
source-use/provenance/gap/draft/non-canonical support only; no community-consent/review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims,coordination/non-slavic-core-19b2ab4b-761-branch-visibility-route-20260707/NON_SLAVIC_CORE_19B2AB4B_761_BRANCH_VISIBILITY_ROUTE_20260707/README.md,,6034c6b4126af7268d61e39ddb2e84d4842202f0,2026-07-07T07:56:13Z,c720a22bee10c9fe96724c4f4116d44d951377b1,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_6034C6B4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707\source_artifacts\0010_c720a22bee_README.md,100644,blob,,non_slavic_core_19b2_761_branch_visibility_route,761bec88dab81d096ae8fab7bc91aaed8ccc4b71,10,D7A26730F874F5CBAF98D999B0C3B9819CE2412E50029317762BCAC40979283F,799,branch_blob_extracted_to_local_source_body_by_object_id,blocker_recovery_gap;non_slavic_core_route;interslavic_boundary,A
