"scope_coordinate_type","current_rescribe_idx_or_scope","printed_volume_page_or_scope","source_pdf_page_or_scope","highres_pdf_page_or_scope","source_term_or_notation","accepted_english_or_tex","rejected_choice","rationale","location_or_indices","authority_status","coordinate_note","source_ledger"
"current_rescribe_idx","544","531","538","545","application polynome","polynomial map","polynomial application","Standard mathematical English; consistent with SGA controls","544","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","544","531","538","545","polynome de Snapper","Snapper polynomial","Snapper's polynomial","Established term in the inherited and SGA controls","544","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","544","531","538","545","se factorise par Z","factors through Z","merely takes integer values","Preserves the categorical assertion","544","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","544","531","538","545","quels que soient r in Z et x_1,...,x_r","for every integer r>=1 and all x_1,...,x_r","literal r in Z including nonpositive r","Explicitly resolves an impossible sequence-length reading using Definition 2.1.1's r>=1","544","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","544","531","538","545","divisible par un nombre premier p","p-divisible for some prime p","divisible by a prime number p","Standard group-theoretic English; states surjectivity of multiplication by p","544","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","546","533","540","547","classes de G suivant G'","cosets of G' in G","classes of G following G'","Idiomatic and unambiguous algebraic English","546","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","547","534","541","548","anneau commutatif unitaire","unital commutative ring","unitary commutative ring","Standard mathematical English","547","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","548","535","542","549","module inversible","invertible O_X-module","line bundle","Source makes a module-theoretic assertion","548","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","549","536","543","550","caracteristique d'Euler-Poincare","Euler--Poincare characteristic","Euler characteristic","Retains source's full named invariant","549","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","549","536","543","550","polynome numerique","numerical polynomial","integer-valued polynomial","Follows established SGA terminology here","549","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
