"layer_order","layer_type","scope","authority_rank","artifact_or_witness","path_or_identifier","sha256","commit_or_version","certification_or_use","limitations"
"1","ultimate_source","whole volume; 702 source-PDF pages","1","Declared SGA 6 source scan","C:\Users\Floris\Documents\Papors\OS\sga6.pdf","5194436E290B8FCA54BACD5FF672588335408F1AAD3AE07D62BBA68DF35E3D76","702 pages","Ultimate source check","Declared scan omits current-rescribe idx593 and idx595--597 and printed page 690; omissions stay explicit."
"2","corroborating_source","whole volume; 720 high-resolution PDF pages","2","High-resolution supplemental scan","C:\Users\Floris\Documents\Papors\OS\Théorie des Intersections et Théorème de Riemann-Roch.pdf","73FBBAD41340C12ECCDCFCF6C3A1656953FE3D712AA8E391678458CCD17B4BAA","720 pages; 360 dpi","Corroborates formulas, typography, and declared-scan omissions","Does not replace the declared 702-page scan where that scan has a page."
"3","french_translation_control","idx532--646","3","Historical French workpass checkpoint","C:\IL_GitHub\00_main_current\sources\sga\sga6-claude-workpass-source-rescribe-20260704\sga6_fr_workpass.tex","DCCF1BE9533FAC29E6F12989537F017EFC41340A2D2B2F0B89CB8FE9A4A236FB","historical predecessor; commit 9bc0d4c5d recorded by tail tranche","Source-checked French control through idx646","Same path now contains the successor; SHA identifies this historical snapshot."
"4","french_translation_control","idx647--662","3","Current committed French successor","C:\IL_GitHub\00_main_current\sources\sga\sga6-claude-workpass-source-rescribe-20260704\sga6_fr_workpass.tex","77703F2D7E8FF9000C2C1E7320A903A48ADE00BF62C8F5F240FF88C42ED82703","8ccdcf8eeef35cba9cc7ca09fe79e6b3f863becc","Certified source-rescribe through idx662","No French certification is claimed after idx662; untracked Codex notes are not incorporated automatically."
"5","english_promoted_checkpoint","idx532--646","4","Sealed source-checked cumulative English TeX","C:\Users\Floris\Documents\interlanguage\03_projects\language_management\english_germanic\03_working_translations\sga6_cumulative_sync_idx532_646_en_20260718\SGA6_idx532_646_English_SourceChecked.tex","69A5252F51384964178A92384F66D39924B55265C64E65650C032EBD738292E7","sealed 2026-07-18","Source-checked English; French control certified for scope","Not a whole-volume release; ends inside Definition XIII.3.3."
"6","english_tail_tranche","idx647--662","4","English fragment spanning idx647--665","C:\Users\Floris\Documents\interlanguage\tmp\sga6_idx647_665_agent_20260718\SGA6_idx647_665_English_SourceChecked_fragment.tex","884F96073303409A513DAAAC7442A25350E7D4B0B08AD1D25B6604DE7467BCDE","agent tranche 2026-07-18","Source-checked English; French control certified through idx662","Hash is for a file that also contains draft idx663--665; certified and draft scopes must remain distinguishable in assembly."
"7","english_tail_draft","idx663--665","4","English fragment spanning idx647--665","C:\Users\Floris\Documents\interlanguage\tmp\sga6_idx647_665_agent_20260718\SGA6_idx647_665_English_SourceChecked_fragment.tex","884F96073303409A513DAAAC7442A25350E7D4B0B08AD1D25B6604DE7467BCDE","agent tranche 2026-07-18","Source-checked English draft after certified checkpoint","Pending Claude/French-lane certification."
"8","english_tail_draft","idx666--684","4","Standalone English tranche TeX","C:\Users\Floris\Documents\interlanguage\tmp\sga6_idx666_684_agent_20260718\SGA6_idx666_684_English_SourceChecked.tex","C71F9B8A219D2C69DA0B12904E3B748B16C41F2C5E4FA7770C5709EB754C0539","agent tranche 2026-07-18","Source-checked English draft after certified checkpoint","Pending Claude; standalone preamble/front matter is not tranche body for cumulative concatenation."
"9","english_tail_draft","idx685--702","4","Exposé XIV English fragment","C:\Users\Floris\Documents\interlanguage\tmp\sga6_idx685_702_agent_20260718\SGA6_ExposeXIV_idx685_702_English_SourceChecked_fragment.tex","31AA69EB1653420A9877A6F3A45C54C406472050E7FA044EC118472C8B71962A","agent tranche 2026-07-18","Source-checked English draft after certified checkpoint","idx702 is the Exposé XIV terminal, not the physical volume terminal; pending Claude."
"10","english_back_matter_draft","unindexed sourcePDF693--702; printed691--700","4","Terminological and notation indexes English fragment","C:\Users\Floris\Documents\interlanguage\tmp\sga6_idx685_702_agent_20260718\SGA6_BackMatter_sourcePDF693_702_English_SourceChecked_fragment.tex","EA4D810FC96D05BFE3D5D94F907FAE28ED93D4889667931BE00C2F97C5418EF5","agent tranche 2026-07-18","Scan-checked terminal back matter with no current-rescribe indices","Pending Claude; final physical leaf is sourcePDF702 / printed700 / highres714 and ends at Z(x)."
"11","english_comparison_witness","inherited whole-volume English","5","Complete inherited English","C:\Users\Floris\Documents\interlanguage\03_projects\language_management\english_germanic\01_recovered_witnesses\sga6_english_controls\complete_inherited\SGA6_English_pages_001_702_complete.tex","C7C1C4DBE67D89E2CB7921B18D94CE830B5788CDE019C7CD4D27B46F46CE9625","recovered witness","Comparison only; never source authority","Package names no translator/model and is not silently promoted."
