"record_type","current_rescribe_idx","printed_volume_page","source_pdf_page","highres_pdf_page","expose_or_section","content_start_or_scope","content_end","source_basis","certification_status","physical_terminal","coordinate_note","source_ledger"
"indexed","532","519","526","533","X","Expose X title; Section 1.1","","French workpass checkpoint plus declared 702-page scan authority; high-resolution witness corroborates or resolves glyphs","SOURCE_CHECKED_ENGLISH; FRENCH_CONTROL_CERTIFIED_FOR_SCOPE; CURRENT_SUCCESSOR_PREFIX_UNCHANGED","no","printed=idx-13; sourcePDF=idx-6; highresPDF=idx+1","sealed_idx532_646/PAGE_INDEX_LEDGER.csv"
"indexed","533","520","527","534","X","Section 1.1 continuation","","French workpass checkpoint plus declared 702-page scan authority; high-resolution witness corroborates or resolves glyphs","SOURCE_CHECKED_ENGLISH; FRENCH_CONTROL_CERTIFIED_FOR_SCOPE; CURRENT_SUCCESSOR_PREFIX_UNCHANGED","no","printed=idx-13; sourcePDF=idx-6; highresPDF=idx+1","sealed_idx532_646/PAGE_INDEX_LEDGER.csv"
"indexed","534","521","528","535","X","Section 1.2","","French workpass checkpoint plus declared 702-page scan authority; high-resolution witness corroborates or resolves glyphs","SOURCE_CHECKED_ENGLISH; FRENCH_CONTROL_CERTIFIED_FOR_SCOPE; CURRENT_SUCCESSOR_PREFIX_UNCHANGED","no","printed=idx-13; sourcePDF=idx-6; highresPDF=idx+1","sealed_idx532_646/PAGE_INDEX_LEDGER.csv"
"indexed","535","522","529","536","X","Section 1.3","","French workpass checkpoint plus declared 702-page scan authority; high-resolution witness corroborates or resolves glyphs","SOURCE_CHECKED_ENGLISH; FRENCH_CONTROL_CERTIFIED_FOR_SCOPE; CURRENT_SUCCESSOR_PREFIX_UNCHANGED","no","printed=idx-13; sourcePDF=idx-6; highresPDF=idx+1","sealed_idx532_646/PAGE_INDEX_LEDGER.csv"
"indexed","536","523","530","537","X","Theorem 1.3.2 proof","","French workpass checkpoint plus declared 702-page scan authority; high-resolution witness corroborates or resolves glyphs","SOURCE_CHECKED_ENGLISH; FRENCH_CONTROL_CERTIFIED_FOR_SCOPE; CURRENT_SUCCESSOR_PREFIX_UNCHANGED","no","printed=idx-13; sourcePDF=idx-6; highresPDF=idx+1","sealed_idx532_646/PAGE_INDEX_LEDGER.csv"
"indexed","537","524","531","538","X","Theorem 1.3.2 proof continuation","","French workpass checkpoint plus declared 702-page scan authority; high-resolution witness corroborates or resolves glyphs","SOURCE_CHECKED_ENGLISH; FRENCH_CONTROL_CERTIFIED_FOR_SCOPE; CURRENT_SUCCESSOR_PREFIX_UNCHANGED","no","printed=idx-13; sourcePDF=idx-6; highresPDF=idx+1","sealed_idx532_646/PAGE_INDEX_LEDGER.csv"
"indexed","538","525","532","539","X","Theorem 1.3.2 proof, case I","","French workpass checkpoint plus declared 702-page scan authority; high-resolution witness corroborates or resolves glyphs","SOURCE_CHECKED_ENGLISH; FRENCH_CONTROL_CERTIFIED_FOR_SCOPE; CURRENT_SUCCESSOR_PREFIX_UNCHANGED","no","printed=idx-13; sourcePDF=idx-6; highresPDF=idx+1","sealed_idx532_646/PAGE_INDEX_LEDGER.csv"
"indexed","539","526","533","540","X","Theorem 1.3.2 proof, case II","","French workpass checkpoint plus declared 702-page scan authority; high-resolution witness corroborates or resolves glyphs","SOURCE_CHECKED_ENGLISH; FRENCH_CONTROL_CERTIFIED_FOR_SCOPE; CURRENT_SUCCESSOR_PREFIX_UNCHANGED","no","printed=idx-13; sourcePDF=idx-6; highresPDF=idx+1","sealed_idx532_646/PAGE_INDEX_LEDGER.csv"
"indexed","540","527","534","541","X","Theorem proof conclusion; Remark 1.4","","French workpass checkpoint plus declared 702-page scan authority; high-resolution witness corroborates or resolves glyphs","SOURCE_CHECKED_ENGLISH; FRENCH_CONTROL_CERTIFIED_FOR_SCOPE; CURRENT_SUCCESSOR_PREFIX_UNCHANGED","no","printed=idx-13; sourcePDF=idx-6; highresPDF=idx+1","sealed_idx532_646/PAGE_INDEX_LEDGER.csv"
"indexed","541","528","535","542","X","Example 1.5","","French workpass checkpoint plus declared 702-page scan authority; high-resolution witness corroborates or resolves glyphs","SOURCE_CHECKED_ENGLISH; FRENCH_CONTROL_CERTIFIED_FOR_SCOPE; CURRENT_SUCCESSOR_PREFIX_UNCHANGED","no","printed=idx-13; sourcePDF=idx-6; highresPDF=idx+1","sealed_idx532_646/PAGE_INDEX_LEDGER.csv"
