"id","type","parent_id","order","authority_lines","authority_bytes","authority_sha256","target_path","target_lines","target_bytes","target_sha256","language","translation_state","review_state","publication_state","next_authority_line","evidence_sha256"
"CJK-KO-P08-STR-0001","work","","1","5957-6025","5920","5147949BB39C89831EE5893B815D96E8A60401282986C297EC60AF7FAFCA2D89","","","","","ko","partial","unchecked","not_handed_off","6027","FCE1B734D08521D1B24CD3D8FB3BB59CBBECF7BED0C6AE1BC388C1A2CF85B8C6"
"CJK-KO-P08-STR-0002","tranche","CJK-KO-P08-STR-0001","1","5957-5977","2875","9C39B8035D4D01951C9403CA8811AE279838782AE1511034B89A8376E63EBB25","","","","","ko","draft_complete","unchecked","not_handed_off","6027","3F2ABADBA33BA0158736CC0C2398EE195E059BED706ACE01C1E54FE52490B21A"
"CJK-KO-P08-STR-0003","unit","CJK-KO-P08-STR-0002","1","5957-5969","387","C640D5251D1F74B8088FCD21F8F20D97A814C7F698E07A6A3DD4CE87E37BB84B","targets/T01_U01.tex","1-18","766","F13A2EB35D51B50276C2E587D3A5CA28DA8FA7FE8E2E5F93F68F9832AD34838C","ko","draft_complete","unchecked","not_handed_off","6027","592FDB310B482AE05A84D3FB83E37AA872BDEC444D6C772AD117AB0C10853A50"
"CJK-KO-P08-STR-0004","section_title","CJK-KO-P08-STR-0003","1","5957-5957","110","034EFD2BDC45348732FF7009261037F2FE351B342E967E9072C2E23DCD5D1240","targets/T01_U01.tex","6-6","97","7960507DFB7691F20FF4B065EFB6AFF8B5B928E910F61CBB01CD14EACB742320","ko","draft_complete","unchecked","not_handed_off","6027","67B782796288B3ACBE1F0ED7E889DDA556FF112BA776E1525E9828B11CB084D2"
"CJK-KO-P08-STR-0005","publication_note","CJK-KO-P08-STR-0003","2","5958-5960","61","BA3B442BAAD1DBF1C4718458FDC00E44D2A6F1A9F8CCDA80815FB4D8C19D2331","targets/T01_U01.tex","7-9","61","30957E6971E9922B4ABAAB8878C86A453C940D4A4F6BDD17E26D7CDCFE719D11","ko","draft_complete","unchecked","not_handed_off","6027","AA63C9324E1FD2B03CD21BB4377ECF9C285481D5F09CBA0E49D5EFFABB4174C2"
"CJK-KO-P08-STR-0006","title_block","CJK-KO-P08-STR-0003","3","5962-5969","215","7979068DDCF4D031168C676EC6A0C0C9CC04314ECCE61E04401DEEF60723A12F","targets/T01_U01.tex","11-18","222","C297ED94A26998E5C06B03A66613B89149003AD1A54DC4B45D2871CD770193BB","ko","draft_complete","unchecked","not_handed_off","6027","284E11B9847B792E087CC86AC2875F5E4CF094DFEAF53339A78C2BE01A7BAC10"
"CJK-KO-P08-STR-0007","unit","CJK-KO-P08-STR-0002","2","5971-5973","1747","8C6923BA2D59B07EFA1AC2315333F3FE992AD9D2EB75DB2322E7AB6594201171","targets/T01_U02.tex","1-8","2202","89783976E740BE0A4E7D3FC56E3A08BACFF00A5AB67D3D555910F2177CA5AF05","ko","draft_complete","unchecked","not_handed_off","6027","E49E6E8623B3A660164530B4F5F02ABED99E0771A06D5BBF3D491233F6C45E80"
"CJK-KO-P08-STR-0008","prose","CJK-KO-P08-STR-0007","1","5971-5971","447","D881411FC6794CC45B0C544F5B504AE609CD3E0E0F94C1C3C11FD01343527999","targets/T01_U02.tex","6-6","441","2AC02EB87D958678A2ADF9E6373C0A11D24D2F51DA45FAE98342C1F4C12E8DD7","ko","draft_complete","unchecked","not_handed_off","6027","F4DCD575119BE360689ED1E74275A5B284A8FEC96C6AD7998B555BEAF08BB45C"
"CJK-KO-P08-STR-0009","theorem_statement","CJK-KO-P08-STR-0007","2","5973-5973","1299","3C8FD6DE89A775AA8EAC6AF5733CBFB1CE90D922308D2A39A5A6A16110E4E966","targets/T01_U02.tex","8-8","1318","98035D106EA6160FADC33B291CBD2DC10DB94D62019D8598392EADC31F0F6807","ko","draft_complete","unchecked","not_handed_off","6027","4AC219270E0CDDC4A978242994CAA0304C74C105F6B8B7D5958A4DD7DC75A740"
"CJK-KO-P08-STR-0010","source_note","CJK-KO-P08-STR-0009","1","5973-5973","1299","3C8FD6DE89A775AA8EAC6AF5733CBFB1CE90D922308D2A39A5A6A16110E4E966","targets/T01_U02.tex","8-8","1318","98035D106EA6160FADC33B291CBD2DC10DB94D62019D8598392EADC31F0F6807","ko","draft_complete","unchecked","not_handed_off","6027","08C7CBB1744BFB403F9E5B367E2CF3F74E3B373EAE01F19FDE2372AFB405CEB3"
