concept,raw_positive,review_status,fill_status_recommendation,note
binary form,4,rejected_false_sense,keep gap_specialist_noether_intake,All hits are Neurocomputación binary input/output patterns; not invariant-theory binary forms.
ternary form,0,no_hits,keep gap_specialist_noether_intake,No curated Romance ES/FR source-body hit.
biquadratic form,0,no_hits,keep gap_specialist_noether_intake,No curated Romance ES/FR source-body hit.
covariant,26,sense_review_not_confirmed,keep witness_candidate_SENSE_REVIEW / specialist intake,"Raw hits include multilinear/tensor, category/functor, and differential-geometric covariant senses; no invariant-theory covariant confirmed in this pass."
contravariant,21,sense_review_not_confirmed,keep witness_candidate_SENSE_REVIEW / specialist intake,Raw hits include character duality/functor and multilinear/tensor senses; no invariant-theory contravariant confirmed in this pass.
transvection,0,no_hits,keep gap_specialist_noether_intake,No transvection/transvectant hit in curated ES/FR source bodies.
resultant,38,confirmed_sourcebody_internal,keep witnessed_sourcebody_internal,Spanish algebra source contains a definition of resultante for two polynomials; this is a valid source-body witness for resultant.
complete system,16,rejected_false_sense_or_non_noether,keep rejected_false_sense / specialist intake,"Best raw hit is a complete set of representatives of simple modules, not Noether vollständiges System/invariant-theory complete system; not a fill."
absolutely complete system,0,no_hits,keep gap_specialist_noether_intake,No hit.
relatively complete system,0,no_hits,keep gap_specialist_noether_intake,No hit.
ground form,0,no_confirmed_hit,keep rejected_false_sense / specialist intake,Hits are fundamental/base form phrases without invariant-theory context; differential-geometry traps remain.
form system,0,no_hits,keep gap_specialist_noether_intake,No source-body hit.
invariant theory,20,confirmed_sourcebody_internal,upgrade/keep witnessed_sourcebody_internal_low_confidence_to_confirmed_sourcebody_internal,"French and Spanish source bodies contain explicit théorie/teoría de invariants contexts; concept witness, not a bridge-term certification."
