concept,pattern,package,lang_hint,file,verdict,window
complete system,système complet,romance_es_fr,fr,sources/fr_es_compact_corpus/tex_corpus/french/0611861v1/0611861_unpacked/f-nab.tex,candidate_positive_sense,"entations simples des groupes linéaires. pr [Kuhn] prk-rep Soient $ $ une partition régulière et $n N $. enumerate Si $n= _1$, alors $S_ (E_n)$ est un $ F _2[GL_n]$-module à gauche simple ; nous le noterons $R_ $. Les $R_ $ forment un système complet de représentants des $ F _2[GL_n]$-modules simples lorsque $ $ parcourt les éléments de $ p $ tels que $ _1=n$. Le $ $-module $S_ (E_n)$ est nul si $ _1>n$, égal à $R_ $ si $ _1=n$ et isomorphe à $R_{(n, _1, _1, , _r)}$"
complete system,systeme complet,romance_es_fr,fr,sources/fr_es_compact_corpus/tex_corpus/french/0611861v1/0611861_unpacked/f-nab.tex,candidate_positive_sense,"entations simples des groupes linéaires. pr [Kuhn] prk-rep Soient $ $ une partition régulière et $n N $. enumerate Si $n= _1$, alors $S_ (E_n)$ est un $ F _2[GL_n]$-module à gauche simple ; nous le noterons $R_ $. Les $R_ $ forment un système complet de représentants des $ F _2[GL_n]$-modules simples lorsque $ $ parcourt les éléments de $ p $ tels que $ _1=n$. Le $ $-module $S_ (E_n)$ est nul si $ _1>n$, égal à $R_ $ si $ _1=n$ et isomorphe à $R_{(n, _1, _1, , _r)}$"
contravariant,contravariant,romance_es_fr,fr,sources/fr_es_compact_corpus/tex_corpus/french/1508.04495v1/1508_unpacked/chapitre2.tex,reject_false_sense,"{ } ( K {V} )^{ /K} ^2( /K;V) $$ Cette dernière forme est la plus révélatrice de la nature de la suite spectrale. Elle fait un peu penser à une suite exacte qui aurait été obtenue à partir de la suite exacte courte de $ $-modules $0 K /K 0$ par un foncteur contravariant exact à gauche bien que cela ne soit pas le cas. Rem Rem Dans le contexte des modules pour les groupes, il existe des suites exactes similaires. Par exemple, le théorème 9.84 de Rotman donne une suite exacte parfa"
contravariant,contravariant,romance_es_fr,fr,sources/fr_es_compact_corpus/tex_corpus/french/1508.04495v1/1508_unpacked/chapitre2.tex,reject_false_sense,"cte ci-haut se réécrit $$ 0 \LL {U} res { } _{ ^M}(K_M/K_M',U) 0 $$ C'est donc que là aussi, on a un isomorphisme naturel $$ \LL {U} _{ ^M}(K_M/K_M',U) $$ Étudions la suite exacte courte de $ ^M$-modules suivante : $$ 0 N_M/K_M' K_M/K_M' K_M/N_M 0 $$ Le foncteur contravariant exact à gauche $ _{ ^M}(-,U)$ donne alors lieu à une suite exacte de $ ^M$-modules (voir par exemple Rotman , corollaire 6.62 et théorème 6.67) qui commence par align* 0 _{ ^M}(K_M/N_M,U&) _{"
contravariant,contravariant,romance_es_fr,fr,sources/fr_es_compact_corpus/tex_corpus/spanish/2209.02110v1/2209_unpacked/monoides.tex,sense_uncertain,"gp} Hom(Q^{gp}, Z )$ se factoriza a través de un isomorfismo $$ :H(Q)^{gp} Hom( Q ^{gp}, Z ).$$ 3. El mapeo de evaluación $ev: Q H(H(Q))$ se facotira a través de un isomorfismo $$ ev : Q ^{sat} H(H(Q)).$$ Entonces el funtor H induce una involución contravariante de la categoría de monoides tóricos sharp . En particular, esta categoría es dual en si misma. Theorem proof El primer enunciado se sigue inmediatamente de (8) del teorema 3.20. Ya que $H(Q) Hom(Q, Z )$ es inyectivo, también lo es e"
contravariant,contravariant,romance_es_fr,fr,sources/fr_es_compact_corpus/tex_corpus/spanish/2209.02110v1/2209_unpacked/monoides.tex,sense_uncertain,"ii) Identidad $$ { S M= M S _{1 id} ^{id 1} & M M ^{m} \\ M M _{m} & M } $$ iii) Conmutatividad $$ { M M _{m} ^{(p_{1},p_{2})} & M M _{m}\\ & M } $$ Def obs Dar un objeto de monoide en C es equivalente a dar un funtor contravariante que va de C a la categoría de monoides tal que el funtor restringido a la categoría de conjuntos es representable. Para más detalles consulte ~ cornell2013modular . obs Def Un S-esquema monoidal es un objeto de monoide en la categoría de"
contravariant,contravariante,romance_es_fr,fr,sources/fr_es_compact_corpus/tex_corpus/spanish/2209.02110v1/2209_unpacked/monoides.tex,sense_uncertain,"gp} Hom(Q^{gp}, Z )$ se factoriza a través de un isomorfismo $$ :H(Q)^{gp} Hom( Q ^{gp}, Z ).$$ 3. El mapeo de evaluación $ev: Q H(H(Q))$ se facotira a través de un isomorfismo $$ ev : Q ^{sat} H(H(Q)).$$ Entonces el funtor H induce una involución contravariante de la categoría de monoides tóricos sharp . En particular, esta categoría es dual en si misma. Theorem proof El primer enunciado se sigue inmediatamente de (8) del teorema 3.20. Ya que $H(Q) Hom(Q, Z )$ es inyectivo, también lo es e"
contravariant,contravariante,romance_es_fr,fr,sources/fr_es_compact_corpus/tex_corpus/spanish/2209.02110v1/2209_unpacked/monoides.tex,sense_uncertain,"ii) Identidad $$ { S M= M S _{1 id} ^{id 1} & M M ^{m} \\ M M _{m} & M } $$ iii) Conmutatividad $$ { M M _{m} ^{(p_{1},p_{2})} & M M _{m}\\ & M } $$ Def obs Dar un objeto de monoide en C es equivalente a dar un funtor contravariante que va de C a la categoría de monoides tal que el funtor restringido a la categoría de conjuntos es representable. Para más detalles consulte ~ cornell2013modular . obs Def Un S-esquema monoidal es un objeto de monoide en la categoría de"
covariant,covariant,romance_es_fr,fr,sources/fr_es_compact_corpus/tex_corpus/spanish/2409.15681v1/2409_unpacked/main.tex,reject_false_sense,"tric $ $-isomorphisms that preserve the unit. remark Now, it is natural to consider ``morphisms"" that preserve the category structure. This allows us to define the concept of a functor. definition def-functor Let $ C $ and $ D $ be two categories. A covariant functor (resp. contravariant functor ) $F: C D $ is determined by the following attributes: itemize $F(A) Ob ( D )$ for every $A Ob ( C )$. If $f: A B$ is a morphism in $ C $, then $F(f): F(A) F(B)$ (resp. $F(f): F(B)"
covariant,covariant,romance_es_fr,fr,sources/fr_es_compact_corpus/tex_corpus/spanish/2409.15681v1/2409_unpacked/main.tex,reject_false_sense,"two categories are isomorphic can be difficult to achieve. Therefore, it is necessary to introduce weaker conditions to ``compare"" two categories. To do so, we first introduce a natural way to ``compare"" functors: definition Let $F, G: C D $ be two covariant functors between the categories $ C $ and $ D $. A natural transformation $ : F G$ between the functors $F$ and $G$ is a collection of morphisms $ (A): F(A) G(A)$, for each $A Ob ( C )$, such that for every morphism $ : A B$ in $ C"
