route_key,rows_routed,package,lang_hint,file,window,use_boundary
special,2,expanded_non_ru_uk_slavic,be,payload/recovered_slavic_github_tex_192100/be/Harrix_Harrix-LaTeXDocumentTemplate/Example2.tex,веселый ! Прекрати ! {Всякие примеры} Далее использование таблицы \textbackslash tabularwide без границ: tabularwide Текст: & Что-то написано. \\ Текст 2: & И тут что-то написано. \\ tabularwide Формула : equation TestFunctions:eq:HML_TestFuction_Ackley f ( x ) = 20 + e - 20e^{-0.2 { 1 {n} _{i=1}^{n} x _i^2}}-e^{ 1 {n} { _{i=1}^{n}cos ( 2 x _i ) },stem_hit_only_requires_context_review
form,16,expanded_non_ru_uk_slavic,cs,payload/recovered_slavic_github_tex_192100/cs/daemontus_statnice_priprava/programove_a_informacne_systemy.tex,ikajú spojením niekoľkých hodnôt primitívneho typu. Výsledkom je potom dátová štruktúra. Rôzne jazyky implementujú rôzne základné dátové štruktúry. (Dátová štruktúra = spôsob efektívneho uloženia informácie v pamäti) Nízkoúrovňové jazyky často žiadne dátové štruktúry neimplementujú a poskytujú iba priamy prístup do pamäte. Vyššie programovacie jazyky potom implementujú napr: itemize,stem_hit_only_requires_context_review
linear,12,expanded_non_ru_uk_slavic,cs,payload/recovered_slavic_github_tex_192100/cs/daemontus_statnice_priprava/programove_a_informacne_systemy.tex,"Nie je dostupná priamo z procesora, dáta sa kopírujú do RAM radičom. Slúži na trvalé ukladanie informácií. itemize Pevný disk - adresácia cez cylinder, hlavu a sektor prípadne cez lineárne očíslovanie sektorov (preklad je na disku). Disketa, CD, USB Flash, Network storage itemize Práca s vnútornou pamäťou Zaisťuje pre jednotlivé procesy ilúziu neobmedzeného",stem_hit_only_requires_context_review
funkci,4,expanded_non_ru_uk_slavic,cs,payload/recovered_slavic_github_tex_192100/cs/daemontus_statnice_priprava/programove_a_informacne_systemy.tex,"movacie Jazyky multicols {2} Základné pojmy V kontexte programovacích jazykov uvažujeme dva základné pojmy: itemize Výraz (expression) - kombinácia operátorov, konštánt, premenných, funkcií a iných prvkov jazyka ktorá sa vyhodnotí na nejakú výslednú hodnotu (môže ísť o prázdnu hodnotu). Výraz môže ale nemusí mať vedľajšie efekty. (Príklady: 2+1.5, A == 3, null, pop()) Príkaz",stem_hit_only_requires_context_review
normal,4,expanded_non_ru_uk_slavic,cs,payload/recovered_slavic_github_tex_192100/cs/daemontus_statnice_priprava/programove_a_informacne_systemy.tex,"u E, pôvodné vyhodnocovanie sa zastaví a vykoná sa blok daný klauzulou Catch. V súvislosti s Try-Catch sa používa aj príkaz Finally, ktorý je spojený s dvomi blokmi kodu. Prvý blok sa vyhodnotí normálne (teda v prípade vyvolania výnimky skončí) pričom pre druhý blok platí, že sa vyhodnotí po skončení prvého bloku vždy, bez ohľadu na to či sa v prvom bloku vyvolá výnimka alebo nie. Prí",stem_hit_only_requires_context_review
algebr,4,expanded_non_ru_uk_slavic,cs,payload/recovered_slavic_github_tex_192100/cs/daemontus_statnice_priprava/programove_a_informacne_systemy.tex,"4: Najprv si prevediem do dvojkovej, tam vyjadrím číslo cez exponent a následne zakódujem sem. Kombinačné a sekvenčné logické obvody Originálna idea je implementovať v obvodoch booleovu algebru. Tá vyžaduje tri operátory. Alternatívne sa preto implementuje Schefferova (NAND) alebo Pierceova (NOR) algebra ktoré vyžadujú len jednu operáciu. Kombinačné logické obvody (logické funkc",stem_hit_only_requires_context_review
transform,2,expanded_non_ru_uk_slavic,cs,payload/recovered_slavic_github_tex_192100/cs/daemontus_statnice_priprava/programove_a_informacne_systemy.tex,"u. Tradične vykonáva tieto kroky: itemize Analýza - analyzuje sa control flow a data flow programu, rôzne závislosti premenných a pod. Optimalizácia - Na základe analýzy sa program transformuje tak, aby pracoval efektívnejšie prípadne aby bol menší. Generovanie kódu - Optimalizovaný program sa uloží vo finálnej podobe spustiteľnej na cieľovom procesore. itemize In",stem_hit_only_requires_context_review
special,2,expanded_non_ru_uk_slavic,cs,payload/recovered_slavic_github_tex_192100/cs/daemontus_statnice_priprava/programove_a_informacne_systemy.tex,"nciou nie je pevne daný, ale všeobecne sa predpokladá že referencia je ""inteligentnejší"" pointer (napr. taký pre ktorý sa priebežne kontroluje či je pamäť kam odkazuje platná). Typicky existuje špeciálna hodnota pre odkaz, ktorá predstavuje neplatnú pamäť (null). Odkaz môže potenciálne ukazovať aj na spustiteľný kód. Abstraktné dátové typy Abstraktný dátový typ popisuje isté vl",stem_hit_only_requires_context_review
konstru,1,expanded_non_ru_uk_slavic,cs,payload/recovered_slavic_github_tex_192100/cs/daemontus_statnice_priprava/programove_a_informacne_systemy.tex,"yť klauzula Else prítomná, avšak dá sa nahradiť testom na negáciu pôvodnej podmienky. If-Then-Else sa dá v prípade potreby násobne vnárať (do Else vetvy sa vloží ďalšie IF). Pokiaľ jazyk takúto konštrukciu podporuje priamo na syntaktickej úrovni, hovoríme o riadiacej štruktúre If-Then-Elseif-Else. algorithm algorithmic [1] {A} Jednoduchá ukážka použitia If-Then-Elseif-Else",stem_hit_only_requires_context_review
regular,1,expanded_non_ru_uk_slavic,cs,payload/recovered_slavic_github_tex_192100/cs/daemontus_statnice_priprava/programove_a_informacne_systemy.tex,"nevyhovuje aktuálnemu obsahu premennej. Pattern matching (Hľadanie vzorov?) je potom rozšírenie tejto techniky, ktoré dovoľuje okrem klasickej rovnosti testovať na širšiu skupinu vlastností (napr. regulárne výrazy v prípade textových reťazcov) prípadne sa pýtať na samotnú štruktúru/typ premennej (je to dvojica? Je to zoznam s troma prvkami?). Pattern matching je oveľa silnejší ako samotný switc",stem_hit_only_requires_context_review
princip,1,expanded_non_ru_uk_slavic,cs,payload/recovered_slavic_github_tex_192100/cs/daemontus_statnice_priprava/programove_a_informacne_systemy.tex,"prvkom pracovať. Štandardne ide buď o privátne prvky (má k nim prístup len sám objekt), chránené prvky (má k nim prístup objekt a jeho potomkovia) a verejné prvky (majú k nim prístup všetky objekty). Princíp zapúzdrenia následne tieto pravidlá vynucuje naprieč celým programom. Zapúzdrenie sa využíva na skrytie informácií ktoré sú buď implementačne závislé alebo nesmú byť menené inými objektam",stem_hit_only_requires_context_review
minimal,1,expanded_non_ru_uk_slavic,cs,payload/recovered_slavic_github_tex_192100/cs/daemontus_statnice_priprava/programove_a_informacne_systemy.tex,"usy waiting, problém optimalizácie a out of order vykonávania), Hardware (CAS, Test-And-Set, stále busy waiting, ale lepšie riadené), OS (synchronizuje OS s tým že OS si môže riadiť scheduler tak aby minimalizoval busy wait). Synchronizačné primitíva: Mutex (lock, unlock), Semafór (give, take, init), Monitor (kritická sekcia nad zámkom, prípadne s podmienkami), Podmienkové premenné (wait, not",stem_hit_only_requires_context_review
form,16,expanded_non_ru_uk_slavic,dsb,payload/recovered_slavic_github_tex_192100/dsb/anjaaaj_anjarac/2-matematika.tex,"% Tokrat bomo uporabili amsart, format za clanke American Mathematical Society amsart % Kodranje in podpora slovenščini fontenc % kodiranje znakov v .pdf inputenc % kodiranje znakov v .tex babel % nastavimo s",stem_hit_only_requires_context_review
funkci,4,expanded_non_ru_uk_slavic,dsb,payload/recovered_slavic_github_tex_192100/dsb/anjaaaj_anjarac/2-matematika.tex,". % equation* equation* % Oklepaje postavimo okoli matrike z | | in | |, da so pravilne velikosti. Izreki in dokazi sec:izreki-dokazi izrek izrek:max-zvezna Vsaka zvezna funkcija na zaprtem intervalu doseže maksimum. izrek proof Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse aliquet arcu sit amet augue consequat efficitur. Nam non diam c",stem_hit_only_requires_context_review
form,16,expanded_non_ru_uk_slavic,dsb,payload/recovered_slavic_github_tex_192100/dsb/BukuInformatika_python/OVERVIEW.docx.tex,"s dan terlihat mata. Easy-to-maintain: kode sumber Python cukup mudah-untuk-menjaga. itemize 12pt A broad standard library: bulk Python perpustakaan sangat portabel dan cross-platform yang kompatibel pada UNIX, Windows, dan Macintosh. Interactive Mode: Python memiliki dukungan untuk mode interaktif yang memungkinkan pengujian interaktif dan debugging dari potongan kode.",stem_hit_only_requires_context_review
modul,14,expanded_non_ru_uk_slavic,dsb,payload/recovered_slavic_github_tex_192100/dsb/BukuInformatika_python/OVERVIEW.docx.tex,ri potongan kode. Portable: Python dapat dijalankan pada berbagai macam platform perangkat keras dan memiliki antarmuka yang sama pada semua platform. Extendable: Anda dapat menambahkan modul tingkat rendah ke interpreter Databases: Python menyediakan antarmuka untuk semua database komersial utama. GUI Programming: Python mendukung aplikasi GUI yang dapat dibuat dan porting ke,stem_hit_only_requires_context_review
sistem,7,expanded_non_ru_uk_slavic,dsb,payload/recovered_slavic_github_tex_192100/dsb/BukuInformatika_python/OVERVIEW.docx.tex,"ah ke interpreter Databases: Python menyediakan antarmuka untuk semua database komersial utama. GUI Programming: Python mendukung aplikasi GUI yang dapat dibuat dan porting ke banyak panggilan sistem, perpustakaan dan sistem jendela, seperti Windows Scalable: Python menyediakan struktur dan dukungan yang lebih baik untuk program besar dari shell scripting. 12pt Fitur overview terba",stem_hit_only_requires_context_review
konstru,1,expanded_non_ru_uk_slavic,dsb,payload/recovered_slavic_github_tex_192100/dsb/BukuInformatika_python/OVERVIEW.docx.tex,"inggi, ditafsirkan, interaktif dan berorientasi objek. Python dirancang agar mudah dibaca. Ini menggunakan kata kunci bahasa Inggris sering di mana bahasa lainnya menggunakan tanda baca, dan memiliki konstruksi sintaksis lebih sedikit daripada bahasa lainnya. Python is interpreted : diproses pada saat runtime oleh interpreter Tidak perlu untuk mengkompilasi program anda sebelum menge",stem_hit_only_requires_context_review
form,16,expanded_non_ru_uk_slavic,dsb,payload/recovered_slavic_github_tex_192100/dsb/dirsulaiman_skripsi/skripsi.tex,"ji %----------------------------------------------------------- {IMPLEMENTASI FILTER SPASIAL LINEAR PADA VIDEO STREAM MENGGUNAKAN FPGA HARDWARE ACCELERATOR } SULAEMAN H131 16 002 Sistem Informasi Matematika Matematika dan Ilmu Pengetahuan Alam Universitas Hasanuddin Makassar 2021 Dr. Eng. Armin Lawi, S.Si., M.Eng. 197204231995121001 Supri Bin Hj Amir, S.Si., M.Eng. 1",stem_hit_only_requires_context_review
linear,12,expanded_non_ru_uk_slavic,dsb,payload/recovered_slavic_github_tex_192100/dsb/dirsulaiman_skripsi/skripsi.tex,"=================================================== % Definisi Data Peneliti, Judul, Pembimbing dan Penguji %----------------------------------------------------------- {IMPLEMENTASI FILTER SPASIAL LINEAR PADA VIDEO STREAM MENGGUNAKAN FPGA HARDWARE ACCELERATOR } SULAEMAN H131 16 002 Sistem Informasi Matematika Matematika dan Ilmu Pengetahuan Alam Universitas Hasanuddin Makassar",stem_hit_only_requires_context_review
