id,citation_form,current_lemma,entry_class,action,confidence,dict_status,w_facing,s_facing,e_facing,allowed_surfaces,candidate_normalizations,warning,branch_evidence,current_lexicon_variants,source_use,permitted_use_weight,status
step,krok,korak,proof_grammar,prepare_candidate_rewrites_after_review,high,dict headword 'krok'=step; korak NOT a headword,krok (native),korak (hr/sr/sl) — documented alias,krok (uk крок),krok; kroky; krokov; krokah,korak* -> krok* in final prose,,krok W-only(v1) korak S-only; be крок family,korak; koraka; korakov; krokah; krokov; kroku; kroky,generated_internal_consistency,0.35,draft_apply_plan_no_text_edit
corresponds,odpovědati,sootvětstvovati,proof_predicate,prepare_candidate_rewrites_after_review,high,dict 'odpovědati'=correspond/be-equivalent; sootvětstvovati NOT headword,odpovídá/odpowiada (native),odgovarati,sootvětstvovati (documented E-alias),odpověda*; odgovara* (S-alias),sootvet*/sootvęt* -> odpovědati family in prose; group lemma changes sootvětstvovati->odpovědati,lexicon group lemma should be re-headed to odpovědati,odpovídá W111/S0; odgovara S30; sootvetstv E+bg5,odgovara; odpovídá; sootvet; sootvęt; sootvět; odgovorno; odgovarajuču; odgovorny; odgovor; odgovornym; odgovarajuča; odgovarjati,generated_internal_consistency,0.35,draft_apply_plan_no_text_edit
reg-sostojati,sȯstojati sę (iz),sostojati,structure_predicate,record_sanctioned_doublet_no_global_replace,high,BOTH 'sȯstojati sę iz' AND 'skladati sę iz' are dict entries — sanctioned doublet pair (koljce/pŕstėnj precedent),skladati sę iz [ALSO SANCTIONED]; skládá se/składa się,sastoji se,sostoji iz,sostoji*; sostoja*; skladaje sę (sanctioned W-facing doublet),sastoji->sostoji orthography only,do NOT eliminate skladati — community-sanctioned,sostoji S25; skládá/składa W30; no pan root,sostaji; sostoj; sostojati; sostoji; sostojí; sostojat; sostojany; sostojajuči; sostojajuču,generated_internal_consistency,0.35,draft_apply_plan_no_text_edit
holds-is-valid,važiti (REGISTER EXTENSION),važi,proof_grammar,human_review_before_any_apply,medium,"dict 'važiti'=weigh/balance ONLY; math 'holds' sense is an S-usage register extension, NOT dict-backed","platí (cs/sk), zachodzi (pl)","važi (sr/mk native usage), vrijedi (hr), velja (sl)",справедливо/виконується,važi; važe; važeči,platn* -> važi* in prose with W-gloss documented,REGISTER-EXTENSION row: document explicitly that math sense extends dict sense; candidate for reviewer question,važi S-only; platí W-only; velja sl,platn; vazi; važat; važi; važiti; važy,generated_internal_consistency,0.35,draft_apply_plan_no_text_edit
entirely,sȯvsěm,sovsěm,discourse_adverb,record_sanctioned_doublet_no_global_replace,high,"dict 'sȯvsěm'; ALSO sanctioned: cělkom, cělkovito, vpȯlně, popȯlno — rich sanctioned field","zcela/úplně, całkowicie","sasvim, potpuno",sovsěm native,sovsěm; vpolně (sanctioned); popolno (SANCTIONED — correct earlier S-leak note),"sasvim -> sovsěm in prose (or keep as S-alias, reviewer call)",popolno is dict-sanctioned; v4 scatter note amended,sovsem E; sasvim S44; zcela W11,popolno; sasvim; sovsem; sovsěm,generated_internal_consistency,0.35,draft_apply_plan_no_text_edit
carry-out,provesti,provesti / izvesti,proof_operation,citation_rehead_only_or_no_text_change,high,dict 'provesti'=conduct/perform; 'izvesti'=derive/deduce — SENSES SPLIT in dict,"provést, przeprowadzić",izvesti (S corpus-dominant for carry-out),provesti,provesti; proved*; izved* (S-alias for carry-out; PRIMARY for derive),,"dict splits the senses: provesti=perform, izvesti=derive. Corpus uses izvesti for both — register doc should adopt the dict split (provesti=carry out construction, izvesti=derive result)",izved S72; przeprowadz pl33; provés cs20,izved; izvesti; proved; provesti; provedeno; provedenje,generated_internal_consistency,0.35,draft_apply_plan_no_text_edit
reg-pytanje,pytańje,pytanje,discourse_noun,prepare_candidate_rewrites_after_review,high,dict phrases confirm pytańje=question,"otázka (cs/sk), pytanie (pl native)","pitanje (hr/sr), vprašanje (sl)",pytannja (uk),pytanj*,"vprašanj* -> pytanje in prose (sl-leak), keep as alias",,otázka W; pytanie pl; pitanje/vprašanje S; вопрос E,pytanj; pytanja; pytanjam; pytanje; pytanjem; pytanju; vopros; vprasanj; vprašanj; vprašanja; vprašanje,generated_internal_consistency,0.35,draft_apply_plan_no_text_edit
reg-rěšenje,rěšeńje (math: solution-of-equation),rěšenje,math_general,human_review_before_any_apply,high,"dict rěšeńje=decision, råzrěšeńje=solution; MATH register uses rěšenje=solution per E/S practice","řešení (cs — same usage!), rozwiązanie (pl)",rješenje/rešitev,rěšennja/rešenije,rěšenj*; rěšen*,reseno -> rěšeno orthography,"dict-sense tension (decision vs solution) documented; cs řešení supports the math usage — no change needed, note kept",řešení W; rozwiązanie pl; rešitev sl; rješenje S,reseno; rěšena; rěšenje; rěšeno; rěšenj; rěšene,generated_internal_consistency,0.35,draft_apply_plan_no_text_edit
assumption-noun,prědpoložeńje,prědpoloženje,proof_grammar,citation_rehead_only_or_no_text_change,high,dict 'prědpoložeńje'=supposition,"předpoklad (cs/sk), założenie (pl)",pretpostavka,predpoložennja,prědpolož*; prědpostavka (S-facing formable doublet — keep documented),,both prědpoloženje and prědpostavka are real formations; citation = dict form; do not erase prědpostavka,předpoklad W; założenie pl; pretpostavka S,predpoloz; predpostav; prědpolož; prědpostav; prědpostavce; prědpoloženju; prědpostavky; prědpostavkami; prědpisanoju; prědpoloženje; prědpoloženjami; prědpoloženja,generated_internal_consistency,0.35,draft_apply_plan_no_text_edit
contrary,protivno,protivno,proof_connective,prepare_candidate_rewrites_after_review,high,dict 'protivno'=on the contrary,"naopak (cs), przeciwnie (pl)","naprotiv, nasprotno",naprotiv,protivno; naprotiv,proti/protiv bare forms stay function-words,,naopak cs; przeciwnie pl; protivn/naprotiv S+pan,proti; protiv; protivn; protivno; protivnosti; protivnom,generated_internal_consistency,0.35,draft_apply_plan_no_text_edit
