event,record_number,decision_id,json_path,transform_class,source_match_utf8_bytes,source_match_sha256,replacement
1,1,EG-20260718-0001,"$[""authority_and_cursor""][""authority""]",project_root,39,F73CBF164F2BC0763C2B7CA2C9A4A76ECD4680E2E68FE0698E12351F33A0F593,[PROJECT_ROOT]
2,1,EG-20260718-0001,"$[""evidence""][0][""path""]",project_root,39,F73CBF164F2BC0763C2B7CA2C9A4A76ECD4680E2E68FE0698E12351F33A0F593,[PROJECT_ROOT]
3,1,EG-20260718-0001,"$[""evidence""][1][""path""]",project_root,39,F73CBF164F2BC0763C2B7CA2C9A4A76ECD4680E2E68FE0698E12351F33A0F593,[PROJECT_ROOT]
4,1,EG-20260718-0001,"$[""changed_artifacts""][0]",project_root,39,F73CBF164F2BC0763C2B7CA2C9A4A76ECD4680E2E68FE0698E12351F33A0F593,[PROJECT_ROOT]
5,2,EG-20260718-0002,"$[""evidence""][0][""path""]",project_root,39,F73CBF164F2BC0763C2B7CA2C9A4A76ECD4680E2E68FE0698E12351F33A0F593,[PROJECT_ROOT]
6,2,EG-20260718-0002,"$[""changed_artifacts""][0]",project_root,39,F73CBF164F2BC0763C2B7CA2C9A4A76ECD4680E2E68FE0698E12351F33A0F593,[PROJECT_ROOT]
7,3,EG-20260718-0003,"$[""evidence""][4][""path""]",project_root,39,F73CBF164F2BC0763C2B7CA2C9A4A76ECD4680E2E68FE0698E12351F33A0F593,[PROJECT_ROOT]
8,3,EG-20260718-0003,"$[""evidence""][5][""path""]",project_root,39,F73CBF164F2BC0763C2B7CA2C9A4A76ECD4680E2E68FE0698E12351F33A0F593,[PROJECT_ROOT]
9,3,EG-20260718-0003,"$[""changed_artifacts""][0]",project_root,39,F73CBF164F2BC0763C2B7CA2C9A4A76ECD4680E2E68FE0698E12351F33A0F593,[PROJECT_ROOT]
10,3,EG-20260718-0003,"$[""changed_artifacts""][1]",project_root,39,F73CBF164F2BC0763C2B7CA2C9A4A76ECD4680E2E68FE0698E12351F33A0F593,[PROJECT_ROOT]
11,4,EG-20260718-0004,"$[""evidence""][3][""path""]",project_root,39,F73CBF164F2BC0763C2B7CA2C9A4A76ECD4680E2E68FE0698E12351F33A0F593,[PROJECT_ROOT]
12,4,EG-20260718-0004,"$[""evidence""][4][""path""]",project_root,39,F73CBF164F2BC0763C2B7CA2C9A4A76ECD4680E2E68FE0698E12351F33A0F593,[PROJECT_ROOT]
13,4,EG-20260718-0004,"$[""changed_artifacts""][0]",project_root,39,F73CBF164F2BC0763C2B7CA2C9A4A76ECD4680E2E68FE0698E12351F33A0F593,[PROJECT_ROOT]
14,4,EG-20260718-0004,"$[""changed_artifacts""][1]",project_root,39,F73CBF164F2BC0763C2B7CA2C9A4A76ECD4680E2E68FE0698E12351F33A0F593,[PROJECT_ROOT]
15,5,EG-20260718-0005,"$[""evidence""][2][""path""]",project_root,39,F73CBF164F2BC0763C2B7CA2C9A4A76ECD4680E2E68FE0698E12351F33A0F593,[PROJECT_ROOT]
16,5,EG-20260718-0005,"$[""evidence""][3][""path""]",project_root,39,F73CBF164F2BC0763C2B7CA2C9A4A76ECD4680E2E68FE0698E12351F33A0F593,[PROJECT_ROOT]
17,5,EG-20260718-0005,"$[""evidence""][4][""path""]",project_root,39,F73CBF164F2BC0763C2B7CA2C9A4A76ECD4680E2E68FE0698E12351F33A0F593,[PROJECT_ROOT]
18,5,EG-20260718-0005,"$[""changed_artifacts""][0]",project_root,39,F73CBF164F2BC0763C2B7CA2C9A4A76ECD4680E2E68FE0698E12351F33A0F593,[PROJECT_ROOT]
19,6,EG-20260718-0006,"$[""changed_artifacts""][0]",project_root,39,F73CBF164F2BC0763C2B7CA2C9A4A76ECD4680E2E68FE0698E12351F33A0F593,[PROJECT_ROOT]
20,7,EG-20260718-0007,"$[""evidence""][2][""path""]",project_root,39,F73CBF164F2BC0763C2B7CA2C9A4A76ECD4680E2E68FE0698E12351F33A0F593,[PROJECT_ROOT]
21,7,EG-20260718-0007,"$[""changed_artifacts""][0]",project_root,39,F73CBF164F2BC0763C2B7CA2C9A4A76ECD4680E2E68FE0698E12351F33A0F593,[PROJECT_ROOT]
22,7,EG-20260718-0007,"$[""changed_artifacts""][1]",project_root,39,F73CBF164F2BC0763C2B7CA2C9A4A76ECD4680E2E68FE0698E12351F33A0F593,[PROJECT_ROOT]
23,8,EG-20260718-0008,"$[""evidence""][1][""path""]",project_root,39,F73CBF164F2BC0763C2B7CA2C9A4A76ECD4680E2E68FE0698E12351F33A0F593,[PROJECT_ROOT]
24,8,EG-20260718-0008,"$[""evidence""][2][""path""]",project_root,39,F73CBF164F2BC0763C2B7CA2C9A4A76ECD4680E2E68FE0698E12351F33A0F593,[PROJECT_ROOT]
25,8,EG-20260718-0008,"$[""evidence""][3][""path""]",project_root,39,F73CBF164F2BC0763C2B7CA2C9A4A76ECD4680E2E68FE0698E12351F33A0F593,[PROJECT_ROOT]
26,8,EG-20260718-0008,"$[""changed_artifacts""][0]",project_root,39,F73CBF164F2BC0763C2B7CA2C9A4A76ECD4680E2E68FE0698E12351F33A0F593,[PROJECT_ROOT]
27,8,EG-20260718-0008,"$[""changed_artifacts""][1]",project_root,39,F73CBF164F2BC0763C2B7CA2C9A4A76ECD4680E2E68FE0698E12351F33A0F593,[PROJECT_ROOT]
28,8,EG-20260718-0008,"$[""changed_artifacts""][2]",project_root,39,F73CBF164F2BC0763C2B7CA2C9A4A76ECD4680E2E68FE0698E12351F33A0F593,[PROJECT_ROOT]
29,8,EG-20260718-0008,"$[""changed_artifacts""][3]",project_root,39,F73CBF164F2BC0763C2B7CA2C9A4A76ECD4680E2E68FE0698E12351F33A0F593,[PROJECT_ROOT]
30,9,EG-20260718-0009,"$[""evidence""][0][""path""]",project_root,39,F73CBF164F2BC0763C2B7CA2C9A4A76ECD4680E2E68FE0698E12351F33A0F593,[PROJECT_ROOT]
