record_id,revision,status,source_term,chosen_english,rejected_choice,reason,locator
N04-S06-TERM-001,1,active,invariante Bildung,invariant formation,invariant construction,continues established lane normalization,R823 4046 onward
N04-S06-TERM-002,1,active,Grundform,ground form,basic form,continues Noether paper normalization,R823 4046 onward
N04-S06-TERM-003,1,active,symbolische Darstellbarkeit,symbolic representability,symbolic expressibility,closer to established theorem language,R823 4046
N04-S06-TERM-004,1,active,explizite Darstellbarkeit,explicit representability,explicit presentation,parallel with symbolic representability,R823 4046
N04-S06-TERM-005,1,active,Schlussausdruecke,final expressions,concluding expressions,semantic target of the printed compound,R823 4048
N04-S06-TERM-006,1,active,Matrizenprodukt,matrix product,matrix-product form,established literal technical term,R823 4048 onward
N04-S06-TERM-007,1,active,Reihe,row,series,established symbolic-row terminology in this corpus,R823 throughout
N04-S06-TERM-008,1,active,Faltungsprozess,folding process,contraction process,preserves Noether's defined term,R823 4069 onward
N04-S06-TERM-009,1,active,Defekt der Faltung,defect of the folding,folding deficiency,consistent with prior defect terminology,R823 4086
N04-S06-TERM-010,1,active,kogredient,cogredient,contragredient,source says same transformation behavior,R823 4100
N04-S06-TERM-011,1,active,Differentiationsprozess,differentiation process,differential process,retains process noun and source parallelism,R823 4100 onward
N04-S06-TERM-012,1,active,Formenreihe,form row,sequence of forms,retains established Reihe distinction and disclosed literal meaning,R823 4108
