"path","bytes","sha256","role"
"ADVERSE_WITNESS_COMPARISON.csv","1442","0E9D3F168591532FF40AD6FBA31E1BAF2A85538F97ACA70F0950CB60D6641212","adverse witness and repair decisions"
"BUILD_RECORD.md","858","CFDF68D5453AC4724FBBCCA6B48E5BEAD5F93FA9EF1FE61853D17BD5205613A9","sanitized isolated build record"
"CONTINUATION_CURSOR.md","475","6253C9118746FFC9871E5756E8DC109CA1944F7B30B9EC404020BF6579CEB3F4","exact bounded continuation cursor"
"DIFFICULTY_AND_FAILURE_LEDGER_SCHEMA.md","474","705FBF724EFAC7CE65A71F54FFEE54CEE15AEE07FAF7EF44C2D579CF894E18AF","difficulty and failure ledger schema"
"DIFFICULTY_AND_FAILURE_LEDGER.jsonl","4567","9102D8C8E04C84F29C137B7CEE1C075F6E34A349C0B20B1F80A9EA8113EF7CD3","append-only difficulty and failure records"
"evidence/build/BUILD_PASS1_PUBLIC.md","436","7A023B9E1E033E3E67DED044E28366ADAE8717C7BECCDD4EB1710194A07C5C4A","sanitized isolated build pass 1 receipt"
"evidence/build/BUILD_PASS2_PUBLIC.md","447","8399FBAF1A2F842C14E157ADB553673D04F2BB8E36172397C1CDE4EEDF4A7B78","sanitized isolated build pass 2 receipt"
"evidence/rendered_english/contact_sheet.png","617619","5614470A807482EE2E66AA677C8AE16C12833CEA8A2167A886CB14641C495F8E","two-page English render contact sheet"
"evidence/rendered_english/page-1.png","666964","C2FCAF88929C359B7B6D5EEDEA7BB28DDD1AC7FD4FF0C111B88F5FDDD5E037AB","English PDF page 1 render"
"evidence/rendered_english/page-2.png","572291","D2F3E132D866A4AB7F4C00696DECC9F1D9C189B19FD8297AD4DB69BBF5CD5C80","English PDF page 2 render"
"INDEPENDENT_AUDIT_RECEIPT.md","2706","3FA2659BF456E610C671023CFE22121E10C32445FE556B0E1A9B25A30A31414C","independent pre-manifest audit receipt"
"LICENSE_AND_ATTRIBUTION_CAVEATS.md","799","9465EFD68E5BA1A47102CE7B500566696DD107DCC41A253F23ABF2193254ECC6","rights and attribution caveats"
"MACHINE_LEDGER_VALIDATION.md","1272","28446489688448912DEC46EDAF4D0AFCBA888CE80400AAE62872B5333B8FA6DB","machine ledger validation summary"
"MACHINE_READABLE_EVIDENCE_SCHEMA.md","978","4E87B271E59640EBCEE08C1EACFD3BA904D9E2CD53866FADB4FF61EFC35E67E3","machine-readable evidence contract"
