record_id,revision,status,r823_lines,printed_pages,physical_pages,unit_type,source_features,target_features,disposition
N04-S06-ALIGN-001,1,active,4045-4050,137-138,20-21,heading_theorem,"section heading; Theorem IV; compound-word defect","heading; Theorem IV; immediate footnote disclosure",print compound followed and R823 word break disclosed
N04-S06-ALIGN-002,1,active,4051-4067,138-139,21-22,proof_formula,"Theorem IV proof; formula (40); two unnumbered construction identities","proof; formula (40); two displayed identities",ordinary products and pairings preserved distinctly
N04-S06-ALIGN-003,1,active,4068-4069,139,22,theorem,"Theorem V","Theorem V",folding-process statement retained
N04-S06-ALIGN-004,1,active,4070-4077,139,22,formula_group,"formulas (41) (42) (43); paired upper endpoints","formulas (41) (42) (43); min notation for (41)",source bounds retained
N04-S06-ALIGN-005,1,active,4078-4086,139-140,22-23,formula_prose,"formulas (42a) (43a); Clebsch footnote; equivalence argument","formulas (42a) (43a); footnote; equivalence argument",formula structure and ordinary products preserved
N04-S06-ALIGN-006,1,active,4087-4091,140,23,formula,"formula (44)","formula (44)",even and odd bounds retained
N04-S06-ALIGN-007,1,active,4092-4098,140,23,formula_prose,"unnumbered folding identity; combined bounds; gtreqless condition","displayed identity; combined bounds; gtreqless condition",all indices and product/pairing roles retained
N04-S06-ALIGN-008,1,active,4099-4107,140,23,proof_theorem_formula,"differentiation substitutions; Theorem VI; formula (45)","differentiation substitutions; Theorem VI; formula (45); source-bound disclosure","source bound min(sigma,n-tau) restored against inherited witness"
N04-S06-ALIGN-009,1,active,4108-4109,140-141,23-24,consequence_footnote,"weight decrease; finiteness consequence; Clebsch footnote","weight decrease; finiteness consequence; Clebsch footnote",source content retained
N04-S06-ALIGN-010,1,active,4110,141,24,closing_paragraph,"extension to forms not satisfying (12)","extension to forms not satisfying (12)",complete section closure retained
