control_id,revision,status,role,locator,bytes,sha256,scope,method,disposition
N04-S06-CTRL-001,1,active,textual_authority,R823 cumulative German TeX,2125031,EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,lines 4045-4110,whole-file SHA-256,sole editable textual authority subject to scan adjudication
N04-S06-CTRL-002,1,active,authority_slice,R823 lines 4045-4110,10524,F8DDFA72D3BC0A8AC71F77C12C7778B4645907740868102D181436667AFA3031,66 lines,UTF-8 no BOM joined by LF with trailing LF,exact bounded source fingerprint
N04-S06-CTRL-003,1,active,original_print,paper 04 original scan,72444867,D7F7CE6D4B311FFD968ED47DC9C1478CFFCF9F446A86BF90263E0C9D1B41C9EF,printed pages 137-141 physical 20-24,whole-file SHA-256,original-print authority for visible historical readings
N04-S06-CTRL-004,1,active,rendered_scan_control,excluded source-control render receipt for physical page 20,1406772,0F4679043AD91CDE56603946C18B9D1C4E309D10FDFDB964067B5B1CDFDBD000,printed page 137 partial,300 dpi Poppler render,heading and Theorem IV control
N04-S06-CTRL-005,1,active,rendered_scan_control,excluded source-control render receipt for physical page 21,1644045,37B7215373D820BD213ACEC8FC1D235F8B3C564625B5C4067555E9312217984F,printed page 138,300 dpi Poppler render,proof and page transition control
N04-S06-CTRL-006,1,active,rendered_scan_control,excluded source-control render receipt for physical page 22,1264383,BF0A8A396BAFB3E8123D1F26F99FDF8E7290C8F33346833E0928D06F0EEE6351,printed page 139,300 dpi Poppler render,formulas 40-43a control
N04-S06-CTRL-007,1,active,rendered_scan_control,excluded source-control render receipt for physical page 23,1340380,A15AAECDECF60580B81A8697266867F469938482018FF5A2C21B5456ACAE4252,printed page 140,300 dpi Poppler render,formulas 44-45 control
N04-S06-CTRL-008,1,active,rendered_scan_control,excluded source-control render receipt for physical page 24,1439222,3CCAF3E31CDC923201EEA0501488F7E7FF5639971BA145970D801E97CE205C07,printed page 141 partial,300 dpi Poppler render,section closure and next-section boundary control
N04-S06-CTRL-009,1,active,comparison_only,inherited English Paper 04 TeX,109132,200C9F9115C22D93455A3B7AA372687059E539C6D01959D30EEB25BBEEFFE722,lines 858-922,whole-file SHA-256,target-language comparison only
N04-S06-CTRL-010,1,active,comparison_slice,inherited English lines 858-922,9886,830949A3D1679287860561BE80537A86E5276AAFE72D248D2ED699599EA1C879,65 lines,UTF-8 no BOM joined by LF with trailing LF,comparison fingerprint only
N04-S06-CTRL-011,1,active,source_defect_alert,excluded cross-language source-defect notice receipt,2719,02CCBFED268043DC25E4C541357CF3852F56B811B7EBA61F8C673EEA5E564969,R823 line 4048,durable notice receipt,follow print compound and disclose
N04-S06-CTRL-012,1,active,manager_decision,excluded cross-language source-governance decision receipt,4877,44CF0F1AB03A9BA4241531D0C22BFD8A13D2177DE24FBA968FDFA1BD6C1249C3,R823 line 4048,UTF-8 decision row joined with trailing LF,source-owner correction pending
