record_id,revision,status,locator,source_structure,inherited_witness,target_structure,check,disposition,notes
N04-S06-FORM-001,1,active,Theorem IV R823 4048,compound Schlussausdruecke,inherited final expressions,final expressions,PASS,print compound governs,orthographic source defect disclosed
N04-S06-FORM-002,1,active,formula 40 R823 4053-4056,pairing with sum mu equals sum nu,matching,pairing with both sums,PASS,retain,no delta
N04-S06-FORM-003,1,active,construction identity R823 4058-4061,"paired left side; ordinary parenthesized product right side","spurious -mu in p subscripts; paired right side","paired left side; ordinary parenthesized product right side",PASS,repair inherited,target follows source and print
N04-S06-FORM-004,1,active,second construction identity R823 4063-4066,"pairing equals pairing; no -mu in p subscripts","spurious -mu in p subscripts","pairing equals pairing; no -mu in p subscripts",PASS,repair inherited,target follows source and print
N04-S06-FORM-005,1,active,formula 41 R823 4072-4073,lambda endpoints tau and n-sigma,normalized to min(tau n-sigma),min(tau n-sigma),PASS,source-equivalent normalization,paired endpoints mean smaller endpoint
N04-S06-FORM-006,1,active,formula 42 R823 4074,mu equals sigma-tau+lambda,matching,matching,PASS,retain,no delta
N04-S06-FORM-007,1,active,formula 43 R823 4075-4076,nu range 1 through sigma-tau,matching,matching,PASS,retain,no delta
N04-S06-FORM-008,1,active,formula 42a R823 4079-4081,leading pairing plus alpha sum of pairings,matching,matching,PASS,retain,all subscripts checked
N04-S06-FORM-009,1,active,formula 43a R823 4082-4084,"ordinary Pi products then beta sum of pairings",matching,"ordinary Pi products then beta sum of pairings",PASS,retain,ordinary products not converted to pairings
N04-S06-FORM-010,1,active,Clebsch footnote R823 4086,Clebsch section 7,matching,Clebsch section 7,PASS,retain,first section-6 footnote
N04-S06-FORM-011,1,active,formula 44 R823 4087-4090,even and odd bounds,matching,matching,PASS,retain,no delta
N04-S06-FORM-012,1,active,folding identity R823 4093-4097,"combined alpha bounds; epsilon; pairing","matching in inherited witness","combined alpha bounds; epsilon; pairing",PASS,retain,all upper and lower indices checked
N04-S06-FORM-013,1,active,post-identity forms R823 4098,"two pairings; gtreqless condition",matching,"two pairings; gtreqless condition",PASS,retain,ordinary prose relation preserved
N04-S06-FORM-014,1,active,differentiation substitutions R823 4100,"two first derivatives; product interpreted as mixed second derivative",matching,"two first derivatives; mixed second derivative",PASS,retain,all multi-indices checked
N04-S06-FORM-015,1,active,formula 45 R823 4103-4106,lambda endpoints sigma and n-tau,inherited changes to tau and n-sigma,min(sigma n-tau),PASS,repair inherited and disclose,print and R823 agree
N04-S06-FORM-016,1,active,weight formula R823 4108,2(lambda squared plus lambda times sigma-tau),matching,matching,PASS,retain,positive decrement
N04-S06-FORM-017,1,active,Clebsch footnote R823 4108,sections 11 and 12 finiteness of elementary covariants,matching,matching,PASS,retain,second section-6 footnote
N04-S06-FORM-018,1,active,linear-factor product R823 4110,"m_rho factors A through M; pairings and exponent",matching,"m_rho factors A through M; pairings and exponent",PASS,retain,section closing formula content
